domain,category,source_file,dedup_source_file,preprocess_script,raw_records,dedup_records,removed_records,n_groups,prop_pct,area_max_msh,mean_area_msh,date_min,date_max,span_days_inclusive,note_cutoff_year,daily_avg_before_1982,daily_avg_after_1982,notes
SG,Onset SG,data/ready/sg_1874_2025_onset.csv,results/04_asymmetric/sg/cache_data/ready_Onset.parquet,notebooks/02_data_prep/08_table1_sg_lifecycle_stats.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,33278,33278,0,33166,77.23620782,1855,30.6505799627,1874-05-16,2025-04-01,55108,,,,SG groups count Hathaway IDs split by gaps >180 d; dedup_records are phase-analysis cache rows after coordinate conversion/deduplication.
SG,Diss SG,data/ready/sg_1874_2025_diss.csv,results/04_asymmetric/sg/cache_data/ready_Dissipation.parquet,notebooks/02_data_prep/08_table1_sg_lifecycle_stats.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,27870,27870,0,27755,64.6351971309,919,15.0448510944,1874-05-11,2025-03-30,55111,,,,SG groups count Hathaway IDs split by gaps >180 d; dedup_records are phase-analysis cache rows after coordinate conversion/deduplication.
SG,Dur SG,data/ready/sg_1874_2025_dur.csv,results/04_asymmetric/sg/cache_data/ready_Duration.parquet,notebooks/02_data_prep/08_table1_sg_lifecycle_stats.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,75678,75678,0,22976,53.5059733122,1650,34.748460583,1874-05-09,2025-04-02,55116,,,,SG groups count Hathaway IDs split by gaps >180 d; dedup_records are phase-analysis cache rows after coordinate conversion/deduplication.
SG,Daily SG,data/ready/sg_1874_2025_daily.csv,results/04_asymmetric/sg/cache_data/ready_Daily.parquet,notebooks/02_data_prep/08_table1_sg_lifecycle_stats.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,8301,8301,0,8300,19.3288465569,919,11.0772196121,1874-06-13,2025-03-16,55064,1982,73.1308411215,11.3095238095,SG groups count Hathaway IDs split by gaps >180 d; dedup_records are phase-analysis cache rows after coordinate conversion/deduplication.
SG,All SG,data/ready/sg_1874_2025_all.csv,results/04_asymmetric/sg/cache_data/ready_All.parquet,notebooks/02_data_prep/08_table1_sg_lifecycle_stats.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,256859,256824,35,42941,100,6132,157.916479469,1874-05-09,2025-04-02,55116,,,,SG groups count Hathaway IDs split by gaps >180 d; dedup_records are phase-analysis cache rows after coordinate conversion/deduplication.
SF,B-Class,data/ready/flare_1975_2017.csv,results/04_asymmetric/sf/cache_data/ready_Flare_All.parquet,notebooks/02_data_prep/02_download_flare.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,7127,7127,0,,,,,1983-04-25,2017-06-27,12483,,,,"SF raw counts are location-bearing GOES B/C/M/X records; dedup follows drop_duplicates(date, xray_class, hme_lon)."
SF,C-Class,data/ready/flare_1975_2017.csv,results/04_asymmetric/sf/cache_data/ready_Flare_All.parquet,notebooks/02_data_prep/02_download_flare.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,26657,26654,3,,,,,1975-09-01,2017-06-05,15254,,,,"SF raw counts are location-bearing GOES B/C/M/X records; dedup follows drop_duplicates(date, xray_class, hme_lon)."
SF,M-Class,data/ready/flare_1975_2017.csv,results/04_asymmetric/sf/cache_data/ready_Flare_All.parquet,notebooks/02_data_prep/02_download_flare.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,4826,4824,2,,,,,1975-11-16,2017-04-03,15115,,,,"SF raw counts are location-bearing GOES B/C/M/X records; dedup follows drop_duplicates(date, xray_class, hme_lon)."
SF,X-Class,data/ready/flare_1975_2017.csv,results/04_asymmetric/sf/cache_data/ready_Flare_All.parquet,notebooks/02_data_prep/02_download_flare.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,429,429,0,,,,,1976-03-23,2015-03-11,14233,,,,"SF raw counts are location-bearing GOES B/C/M/X records; dedup follows drop_duplicates(date, xray_class, hme_lon)."
SF,Total,data/ready/flare_1975_2017.csv,results/04_asymmetric/sf/cache_data/ready_Flare_All.parquet,notebooks/02_data_prep/02_download_flare.ipynb; notebooks/04_asymmetric/00_prepare_cache.py,39039,39034,5,,,,,1975-09-01,2017-06-27,15276,,,,"SF raw counts are location-bearing GOES B/C/M/X records; dedup follows drop_duplicates(date, xray_class, hme_lon)."
SSN,Daily SSN ready file,data/ready/ssn_daily_1849_2025.csv,,notebooks/02_data_prep/01_download_ssn_sg.ipynb,64495,64495,0,,,,,1849-01-01,2025-07-31,64495,,,,Local ready-file range; compare with tex narrative time range separately.
SFI,Daily SFI ready file,data/ready/sfi_1975-2024.csv,,data/ready/sfi_1975-2024.csv,17898,17898,0,,,,,1976-01-01,2024-12-31,17898,,,,Local ready-file range; compare with tex narrative time range separately.
EPHEM,8 planets/satellites lonlat ready file,data/ready/planets_satellites_lonlat.parquet,,notebooks/02_data_prep/03_download_ephemeris.ipynb; notebooks/02_data_prep/05_merge_781_planets_dwarfs_asteroids_parquet.ipynb,73780,73780,0,,,,,1849-01-01,2051-01-01,73780,,,,"Ready ephemeris includes 2051-01-01 endpoint for interpolation; tex narrative describes usable span as 1849--2050. J2000.0 frame is script metadata, not a data column."
EPHEM,781-body lonlat ready file,data/ready/781_planets_dwarfs_asteroids_lonlat.parquet,,notebooks/02_data_prep/03_download_ephemeris.ipynb; notebooks/02_data_prep/05_merge_781_planets_dwarfs_asteroids_parquet.ipynb,73780,73780,0,,,,,1849-01-01,2051-01-01,73780,,,,"Ready ephemeris includes 2051-01-01 endpoint for interpolation; tex narrative describes usable span as 1849--2050. J2000.0 frame is script metadata, not a data column."
