Class,Window,Conj_Ratio,Opp_Ratio,Asym,Conj_Z
Total,1,105.71,102.51,3.2,1.87
Total,2,107.29,100.24,7.05,3.03
Total,3,106.36,99.67,6.69,2.94
Total,4,105.11,100.05,5.06,2.52
Total,5,105.36,100.92,4.44,2.78
Total,6,105.61,101.02,4.59,3.09
Total,7,105.69,101.01,4.68,3.24
Total,8,105.25,100.72,4.53,3.12
Total,9,104.89,100.63,4.26,3.01
Total,10,105.06,101.1,3.96,3.18
Total,11,104.74,100.45,4.29,3.05
Total,12,104.04,100.49,3.55,2.7
Total,13,103.92,100.45,3.47,2.69
Total,14,103.88,100.27,3.61,2.72
Total,15,103.48,100.24,3.24,2.51
Total,16,103.44,100.19,3.25,2.52
Total,17,103.1,100.07,3.03,2.35
Total,18,102.9,99.95,2.95,2.22
Total,19,102.57,99.81,2.76,1.99
Total,20,102.51,99.7,2.81,1.98
Total,21,102.51,99.79,2.72,2.02
Total,22,102.46,99.64,2.82,2.0
Total,23,102.51,99.69,2.82,2.09
Total,24,102.36,99.97,2.39,1.99
Total,25,102.35,99.84,2.51,2.01
Total,26,102.26,99.84,2.42,1.97
Total,27,102.12,99.8,2.32,1.9
Total,28,101.97,99.84,2.13,1.77
Total,29,101.99,99.9,2.09,1.8
Total,30,101.92,100.05,1.87,1.75
Total,31,101.96,100.0,1.96,1.82
Total,32,101.81,99.86,1.95,1.7
Total,33,101.64,99.83,1.81,1.57
Total,34,101.57,99.79,1.78,1.53
Total,35,101.46,99.76,1.7,1.42
Total,36,101.49,99.78,1.71,1.47
Total,37,101.41,99.75,1.66,1.42
Total,38,101.38,99.85,1.53,1.41
Total,39,101.2,99.78,1.42,1.24
Total,40,101.23,99.67,1.56,1.29
Total,41,101.1,99.7,1.4,1.16
Total,42,101.1,99.72,1.38,1.19
Total,43,101.04,99.62,1.42,1.13
Total,44,101.04,99.48,1.56,1.16
Total,45,100.93,99.5,1.43,1.04
Total,46,100.94,99.57,1.37,1.06
Total,47,100.85,99.58,1.27,0.96
Total,48,100.78,99.55,1.23,0.9
Total,49,100.69,99.59,1.1,0.81
Total,50,100.72,99.64,1.08,0.84
B-Class,1,98.62,89.27,9.35,-0.19
B-Class,2,100.04,94.63,5.41,0.01
B-Class,3,102.56,94.79,7.77,0.52
B-Class,4,103.59,94.9,8.69,0.82
B-Class,5,104.01,95.54,8.47,0.96
B-Class,6,105.93,96.79,9.14,1.52
B-Class,7,106.3,96.87,9.43,1.68
B-Class,8,105.22,96.0,9.22,1.44
B-Class,9,104.81,97.88,6.93,1.38
B-Class,10,104.42,99.23,5.19,1.31
B-Class,11,104.15,98.66,5.49,1.26
B-Class,12,103.43,98.62,4.81,1.06
B-Class,13,103.94,98.63,5.31,1.25
B-Class,14,103.78,98.8,4.98,1.21
B-Class,15,103.52,98.59,4.93,1.15
B-Class,16,103.42,98.92,4.5,1.12
B-Class,17,102.74,98.36,4.38,0.92
B-Class,18,102.36,98.5,3.86,0.81
B-Class,19,101.82,98.2,3.62,0.62
B-Class,20,101.34,97.66,3.68,0.47
B-Class,21,101.48,97.78,3.7,0.52
