Planet,Angle_Center,Ratio,Z_score,p_val
Venus,-175.0,108.08,1.27,0.20937906209379062
Venus,-165.0,104.64,0.72,0.4991500849915009
Venus,-155.0,108.88,1.37,0.16718328167183283
Venus,-145.0,100.57,0.09,0.9627037296270373
Venus,-135.0,101.89,0.29,0.8127187281271873
Venus,-125.0,101.7,0.26,0.8147185281471853
Venus,-115.0,102.43,0.38,0.7241275872412759
Venus,-105.0,100.66,0.1,0.9653034696530347
Venus,-95.0,90.52,-1.48,0.15158484151584842
Venus,-85.0,84.47,-2.41,0.007399260073992601
Venus,-75.0,92.88,-1.1,0.3047695230476952
Venus,-65.0,90.26,-1.5,0.13938606139386062
Venus,-55.0,94.88,-0.81,0.43655634436556345
Venus,-45.0,92.76,-1.13,0.29177082291770823
Venus,-35.0,104.61,0.74,0.45635436456354367
Venus,-25.0,100.44,0.07,0.9703029697030296
Venus,-15.0,100.15,0.02,0.9973002699730027
Venus,-5.0,114.32,2.25,0.026997300269973004
Venus,5.0,108.29,1.31,0.18398160183981602
Venus,15.0,105.42,0.86,0.3875612438756124
Venus,25.0,94.28,-0.91,0.3785621437856214
Venus,35.0,100.02,0.0,0.9747025297470253
Venus,45.0,106.02,0.97,0.3281671832816718
Venus,55.0,102.64,0.43,0.7183281671832816
Venus,65.0,104.24,0.68,0.5045495450454954
Venus,75.0,94.82,-0.81,0.4363563643635636
Venus,85.0,96.19,-0.6,0.5521447855214479
Venus,95.0,90.8,-1.47,0.17498250174982502
Venus,105.0,98.17,-0.29,0.7883211678832117
Venus,115.0,101.28,0.2,0.8881111888811118
Venus,125.0,102.94,0.47,0.6741325867413258
Venus,135.0,99.18,-0.13,0.8905109489051095
Venus,145.0,92.73,-1.15,0.27417258274172585
Venus,155.0,104.59,0.72,0.49475052494750527
Venus,165.0,97.42,-0.4,0.6925307469253075
Venus,175.0,106.82,1.06,0.3043695630436956
Mars,-175.0,100.46,0.07,0.9209079092090791
Mars,-165.0,98.74,-0.18,0.8963103689631037
Mars,-155.0,106.23,0.91,0.36696330366963303
Mars,-145.0,100.37,0.05,0.9243075692430757
Mars,-135.0,100.04,0.01,0.9545045495450455
Mars,-125.0,95.15,-0.69,0.45995400459954006
Mars,-115.0,97.57,-0.34,0.7329267073292671
Mars,-105.0,86.19,-1.91,0.08159184081591841
Mars,-95.0,85.59,-2.02,0.0715928407159284
Mars,-85.0,87.68,-1.74,0.09779022097790221
Mars,-75.0,93.08,-0.98,0.31956804319568044
Mars,-65.0,97.47,-0.36,0.7067293270672933
Mars,-55.0,93.0,-1.04,0.30616938306169383
Mars,-45.0,92.66,-1.1,0.2937706229377062
Mars,-35.0,98.48,-0.23,0.8577142285771423
Mars,-25.0,105.29,0.82,0.3671632836716328
Mars,-15.0,99.98,-0.0,0.9883011698830118
Mars,-5.0,113.47,2.1,0.057194280571942806
Mars,5.0,113.95,2.22,0.050794920507949204
Mars,15.0,109.3,1.51,0.1481851814818518
Mars,25.0,108.84,1.46,0.15878412158784122
Mars,35.0,96.27,-0.62,0.5529447055294471
Mars,45.0,104.35,0.72,0.43015698430156984
Mars,55.0,105.89,0.96,0.3017698230176982
Mars,65.0,100.5,0.08,0.8459154084591541
Mars,75.0,100.4,0.06,0.8515148485151485
Mars,85.0,99.52,-0.07,0.9999000099990001
Mars,95.0,101.14,0.17,0.8037196280371963
Mars,105.0,100.82,0.13,0.8729127087291271
Mars,115.0,100.05,0.01,1.0
Mars,125.0,101.78,0.28,0.8063193680631937
Mars,135.0,102.75,0.42,0.6625337466253375
Mars,145.0,98.18,-0.28,0.7587241275872413
Mars,155.0,106.08,0.9,0.3421657834216578
Mars,165.0,92.52,-1.1,0.251974802519748
Mars,175.0,106.26,0.9,0.3685631436856314
Jupiter,-175.0,106.03,0.81,0.5617438256174383
Jupiter,-165.0,106.16,0.83,0.5543445655434457
Jupiter,-155.0,108.2,1.1,0.34536546345365465
Jupiter,-145.0,108.45,1.14,0.31716828317168283
Jupiter,-135.0,109.34,1.26,0.22817718228177183
Jupiter,-125.0,105.77,0.78,0.55994400559944
Jupiter,-115.0,101.85,0.25,0.8635136486351365
Jupiter,-105.0,102.14,0.29,0.8375162483751625
Jupiter,-95.0,106.55,0.89,0.46215378462153783
Jupiter,-85.0,109.14,1.26,0.24217578242175783
Jupiter,-75.0,103.78,0.51,0.6327367263273672
Jupiter,-65.0,111.13,1.56,0.11738826117388261
Jupiter,-55.0,106.32,0.88,0.41055894410558946
Jupiter,-45.0,97.01,-0.42,0.7581241875812419
Jupiter,-35.0,97.19,-0.4,0.7755224477552245
Jupiter,-25.0,94.22,-0.81,0.5013498650134987
Jupiter,-15.0,97.62,-0.33,0.8151184881511849
Jupiter,-5.0,98.16,-0.26,0.8639136086391361
Jupiter,5.0,95.81,-0.58,0.6397360263973603
Jupiter,15.0,100.84,0.12,0.9151084891510849
Jupiter,25.0,98.14,-0.26,0.8397160283971603
Jupiter,35.0,94.49,-0.75,0.5635436456354365
Jupiter,45.0,94.77,-0.71,0.5867413258674132
Jupiter,55.0,90.28,-1.32,0.21077892210778923
Jupiter,65.0,93.8,-0.84,0.5275472452754725
Jupiter,75.0,89.33,-1.45,0.1621837816218378
Jupiter,85.0,88.91,-1.49,0.13438656134386562
Jupiter,95.0,90.63,-1.26,0.25977402259774024
Jupiter,105.0,93.74,-0.84,0.5527447255274472
Jupiter,115.0,89.21,-1.45,0.1481851814818518
Jupiter,125.0,90.21,-1.31,0.2323767623237676
Jupiter,135.0,103.71,0.49,0.7263273672632736
Jupiter,145.0,97.75,-0.3,0.7953204679532047
Jupiter,155.0,101.63,0.22,0.8691130886911309
Jupiter,165.0,106.86,0.91,0.48795120487951205
Jupiter,175.0,110.86,1.46,0.12618738126187382
