Planet,Angle_Center,Ratio,Z_score,p_val,k_obs,k_exp,orbital_deg_per_day,source_note
Mercury,-175,104.69,0.86,0.357164283572,773,738.34,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-165,99.96,-0.01,1,738,738.29,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-155,118.21,3.3,0.000599940005999,871,736.83,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-145,106.91,1.25,0.200179982002,788,737.06,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-135,96.2,-0.68,0.49395060494,709,737.01,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-125,93.28,-1.07,0.269173082692,687,736.48,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-115,103.16,0.47,0.525947405259,760,736.75,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-105,103.44,0.48,0.516748325167,763,737.65,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-95,102.54,0.34,0.628137186281,757,738.22,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-85,96.39,-0.46,0.645735426457,712,738.65,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-75,98.58,-0.18,0.980901909809,728,738.46,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-65,98.61,-0.18,0.989901009899,729,739.29,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-55,91.2,-1.26,0.15398460154,674,739.07,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-45,97.14,-0.43,0.693530646935,719,740.19,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-35,96.51,-0.53,0.598940105989,714,739.78,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-25,102.26,0.37,0.755124487551,757,740.26,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-15,97.8,-0.38,0.719928007199,724,740.26,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,-5,109.94,1.68,0.10098990101,814,740.42,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,5,100.59,0.1,0.982901709829,745,740.66,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,15,89.81,-1.82,0.0837916208379,666,741.57,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,25,96.9,-0.62,0.507549245075,719,741.97,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,35,92.37,-1.67,0.120787921208,685,741.55,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,45,99.96,-0.01,0.964303569643,742,742.33,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,55,99.32,-0.16,0.844315568443,737,742.02,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,65,97.93,-0.47,0.622937706229,728,743.42,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,75,95.57,-0.94,0.3199680032,710,742.9,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,85,97.39,-0.53,0.648935106489,724,743.37,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,95,101.5,0.29,0.887911208879,755,743.83,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,105,95.83,-0.79,0.509149085091,712,742.97,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,115,103.13,0.59,0.599140085991,767,743.75,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,125,104.75,0.94,0.366163383662,779,743.68,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,135,100.45,0.09,1,746,742.63,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,145,106.18,1.28,0.198180181982,788,742.11,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,155,108.15,1.77,0.1199880012,802,741.56,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,165,96.5,-0.76,0.466553344666,715,740.92,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
Mercury,175,96.93,-0.62,0.552544745525,717,739.74,4.09230419461,Computed from Fig06 phase-rose logic for audit only; Fig06 CSV/figure remain Venus/Mars/Jupiter only.
