SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC21,1976-03,1986-08,764,Mercury,1,Conjunction,2,4.3,46.46,0.3339,-1.19
SC21,1976-03,1986-08,764,Mercury,1,Opposition,3,4.17,71.89,0.8902,-0.48
SC21,1976-03,1986-08,764,Venus,1,Conjunction,7,4.25,164.67,0.2935,1.25
SC21,1976-03,1986-08,764,Venus,1,Opposition,3,4.23,70.87,0.7862,-0.56
SC21,1976-03,1986-08,764,Mars,1,Conjunction,4,4.2,95.24,1.0,-0.09
SC21,1976-03,1986-08,764,Mars,1,Opposition,1,4.29,23.31,0.2036,-1.35
SC21,1976-03,1986-08,764,Jupiter,1,Conjunction,1,4.19,23.85,0.2104,-1.45
SC21,1976-03,1986-08,764,Jupiter,1,Opposition,2,4.21,47.56,0.4667,-1.0
SC21,1976-03,1986-08,764,Saturn,1,Conjunction,3,4.24,70.69,0.7866,-0.62
SC21,1976-03,1986-08,764,Saturn,1,Opposition,5,4.26,117.39,0.8594,0.37
SC21,1976-03,1986-08,764,Uranus,1,Conjunction,5,4.2,119.17,0.7495,0.36
SC21,1976-03,1986-08,764,Uranus,1,Opposition,1,4.29,23.32,0.1724,-1.49
SC21,1976-03,1986-08,764,Neptune,1,Conjunction,3,4.3,69.82,0.7502,-0.63
SC21,1976-03,1986-08,764,Neptune,1,Opposition,3,4.28,70.03,0.7698,-0.59
SC21,1976-03,1986-08,764,Mercury,2,Conjunction,5,8.54,58.56,0.2563,-1.23
SC21,1976-03,1986-08,764,Mercury,2,Opposition,13,8.5,153.01,0.2867,1.22
SC21,1976-03,1986-08,764,Venus,2,Conjunction,9,8.53,105.53,0.9366,0.14
SC21,1976-03,1986-08,764,Venus,2,Opposition,6,8.48,70.72,0.5583,-0.78
SC21,1976-03,1986-08,764,Mars,2,Conjunction,9,8.51,105.8,0.8594,0.13
SC21,1976-03,1986-08,764,Mars,2,Opposition,2,8.5,23.52,0.0672,-1.71
SC21,1976-03,1986-08,764,Jupiter,2,Conjunction,3,8.47,35.42,0.1164,-1.64
SC21,1976-03,1986-08,764,Jupiter,2,Opposition,7,8.46,82.75,0.8118,-0.46
SC21,1976-03,1986-08,764,Saturn,2,Conjunction,5,8.48,58.95,0.2911,-1.18
SC21,1976-03,1986-08,764,Saturn,2,Opposition,11,8.47,129.93,0.4479,0.87
SC21,1976-03,1986-08,764,Uranus,2,Conjunction,9,8.36,107.62,0.865,0.2
SC21,1976-03,1986-08,764,Uranus,2,Opposition,5,8.52,58.69,0.3419,-1.05
SC21,1976-03,1986-08,764,Neptune,2,Conjunction,7,8.62,81.25,0.7834,-0.5
SC21,1976-03,1986-08,764,Neptune,2,Opposition,6,8.5,70.57,0.5719,-0.75
SC21,1976-03,1986-08,764,Mercury,3,Conjunction,13,12.9,100.81,1.0,0.03
SC21,1976-03,1986-08,764,Mercury,3,Opposition,17,12.67,134.21,0.3767,0.93
SC21,1976-03,1986-08,764,Venus,3,Conjunction,16,12.88,124.27,0.4967,0.77
SC21,1976-03,1986-08,764,Venus,3,Opposition,10,12.81,78.06,0.6347,-0.71
SC21,1976-03,1986-08,764,Mars,3,Conjunction,13,12.78,101.76,0.9102,0.05
SC21,1976-03,1986-08,764,Mars,3,Opposition,5,12.83,38.97,0.1044,-1.54
SC21,1976-03,1986-08,764,Jupiter,3,Conjunction,7,12.72,55.01,0.184,-1.37
SC21,1976-03,1986-08,764,Jupiter,3,Opposition,10,12.73,78.55,0.5903,-0.69
SC21,1976-03,1986-08,764,Saturn,3,Conjunction,10,12.69,78.78,0.5075,-0.75
SC21,1976-03,1986-08,764,Saturn,3,Opposition,16,12.73,125.73,0.4071,0.9
SC21,1976-03,1986-08,764,Uranus,3,Conjunction,10,12.67,78.94,0.6471,-0.65
SC21,1976-03,1986-08,764,Uranus,3,Opposition,9,12.92,69.67,0.4079,-0.91
SC21,1976-03,1986-08,764,Neptune,3,Conjunction,12,12.85,93.38,0.9802,-0.22
SC21,1976-03,1986-08,764,Neptune,3,Opposition,12,12.77,93.95,0.9978,-0.18
SC21,1976-03,1986-08,764,Mercury,4,Conjunction,18,17.25,104.34,0.9478,0.18
SC21,1976-03,1986-08,764,Mercury,4,Opposition,21,16.77,125.22,0.5127,0.75
SC21,1976-03,1986-08,764,Venus,4,Conjunction,19,17.05,111.46,0.6983,0.42
SC21,1976-03,1986-08,764,Venus,4,Opposition,15,16.97,88.39,0.8246,-0.44
SC21,1976-03,1986-08,764,Mars,4,Conjunction,18,16.78,107.29,0.7882,0.21
SC21,1976-03,1986-08,764,Mars,4,Opposition,7,17.03,41.1,0.0676,-1.65
SC21,1976-03,1986-08,764,Jupiter,4,Conjunction,10,16.94,59.04,0.166,-1.42
SC21,1976-03,1986-08,764,Jupiter,4,Opposition,13,17.06,76.22,0.4447,-0.88
SC21,1976-03,1986-08,764,Saturn,4,Conjunction,15,17.05,87.95,0.7107,-0.48
SC21,1976-03,1986-08,764,Saturn,4,Opposition,20,16.79,119.15,0.5019,0.74
SC21,1976-03,1986-08,764,Uranus,4,Conjunction,16,17.02,94.0,0.987,-0.21
SC21,1976-03,1986-08,764,Uranus,4,Opposition,15,17.04,88.05,0.8318,-0.41
SC21,1976-03,1986-08,764,Neptune,4,Conjunction,16,17.16,93.24,0.8814,-0.25
SC21,1976-03,1986-08,764,Neptune,4,Opposition,13,16.8,77.37,0.5987,-0.74
SC21,1976-03,1986-08,764,Mercury,5,Conjunction,20,21.48,93.11,0.8914,-0.32
