Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,36,40.28,40.27,89.38,0.6087,42,38.93,38.98,107.9,0.7232,-18.52,1
2,Ven,1,False,50,39.61,39.6,126.23,0.2231,26,39.57,39.59,65.71,0.0567,60.51,1
3,Mer+Ven,2,False,85,79.66,79.64,106.7,0.6309,68,78.28,78.35,86.87,0.3773,19.83,1
8,Mar,1,False,45,39.63,39.67,113.54,0.4809,43,39.46,39.5,108.96,0.5975,4.57,1
9,Mer+Mar,2,False,81,79.69,79.71,101.65,0.9088,85,78.17,78.27,108.74,0.5339,-7.1,1
10,Ven+Mar,2,False,95,79.03,79.05,120.21,0.1466,69,78.81,78.87,87.55,0.3914,32.66,1
11,Mer+Ven+Mar,3,False,130,118.86,118.87,109.37,0.4006,111,117.31,117.43,94.62,0.6799,14.75,1
16,Jup,1,False,49,39.72,39.73,123.38,0.2222,33,39.47,39.45,83.62,0.4144,39.76,1
17,Mer+Jup,2,False,85,79.77,79.77,106.56,0.6188,75,78.18,78.21,95.94,0.8201,10.62,1
18,Ven+Jup,2,False,99,79.11,79.11,125.15,0.0868,59,78.81,78.82,74.86,0.0494,50.28,1
19,Mer+Ven+Jup,3,False,134,118.94,118.93,112.67,0.2586,101,117.31,117.37,86.1,0.2163,26.57,1
24,Mar+Jup,2,False,92,79.13,79.18,116.26,0.221,76,78.72,78.73,96.55,0.8681,19.72,1
25,Mer+Mar+Jup,3,False,128,118.96,119.0,107.6,0.476,118,117.21,117.29,100.67,0.9505,6.92,1
26,Ven+Mar+Jup,3,False,142,118.3,118.34,120.03,0.078,102,117.85,117.89,86.55,0.2193,33.48,1
27,Mer+Ven+Mar+Jup,4,False,177,157.91,157.93,112.09,0.2054,144,156.13,156.22,92.23,0.436,19.85,1
32,Sat,1,False,33,39.75,39.76,83.02,0.4481,44,39.39,39.42,111.7,0.5314,-28.69,1
33,Mer+Sat,2,False,69,79.8,79.8,86.46,0.3344,86,78.09,78.19,110.12,0.488,-23.66,1
34,Ven+Sat,2,False,83,79.14,79.14,104.88,0.7312,70,78.73,78.79,88.91,0.4515,15.97,1
35,Mer+Ven+Sat,3,False,118,118.97,118.95,99.19,1.0,112,117.22,117.34,95.54,0.7455,3.64,1
40,Mar+Sat,2,False,77,79.15,79.21,97.28,0.9127,87,78.64,78.71,110.63,0.438,-13.36,1
