Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,81,39.04,39.63,207.5,0.4944,0,39.93,39.56,0.0,0.8363,207.5,1
5,Mer+Ear,2,True,116,79.13,79.67,146.6,0.5866,42,78.64,78.32,53.41,0.6325,93.19,1
6,Ven+Ear,2,True,131,78.4,79.01,167.09,0.2741,26,79.27,78.93,32.8,0.0295,134.3,1
7,Mer+Ven+Ear,3,True,165,118.27,118.83,139.51,0.3881,68,117.77,117.48,57.74,0.174,81.77,1
12,Ear+Mar,2,True,126,78.44,79.08,160.63,0.3727,43,79.24,78.84,54.27,0.6838,106.36,1
13,Mer+Ear+Mar,3,True,161,118.32,118.9,136.08,0.4659,85,117.73,117.4,72.2,0.7216,63.88,1
14,Ven+Ear+Mar,3,True,176,117.59,118.24,149.67,0.1928,69,118.37,118.0,58.29,0.1813,91.38,1
15,Mer+Ven+Ear+Mar,4,True,210,157.24,157.84,133.55,0.2882,111,156.65,156.33,70.86,0.3163,62.69,1
20,Ear+Jup,2,True,130,78.55,79.14,165.5,0.2945,33,79.22,78.79,41.66,0.1873,123.84,1
21,Mer+Ear+Jup,3,True,165,118.42,118.96,139.33,0.3919,75,117.71,117.34,63.71,0.3833,75.62,1
22,Ven+Ear+Jup,3,True,180,117.69,118.3,152.94,0.1391,59,118.34,117.94,49.86,0.0226,103.08,1
23,Mer+Ven+Ear+Jup,4,True,214,157.34,157.89,136.01,0.225,101,156.62,156.28,64.49,0.1028,71.52,1
28,Ear+Mar+Jup,3,True,173,117.74,118.37,146.94,0.2321,76,118.31,117.86,64.24,0.4035,82.7,1
29,Mer+Ear+Mar+Jup,4,True,208,157.39,157.96,132.16,0.3195,118,156.6,156.19,75.35,0.5232,56.81,1
30,Ven+Ear+Mar+Jup,4,True,223,156.66,157.31,142.34,0.1105,102,157.22,156.79,64.88,0.102,77.46,1
31,Mer+Ven+Ear+Mar+Jup,5,True,257,196.1,196.68,131.06,0.1751,144,195.29,194.91,73.74,0.2062,57.32,1
36,Ear+Sat,2,True,114,78.66,79.17,144.92,0.6094,44,79.17,78.77,55.57,0.7163,89.35,1
37,Mer+Ear+Sat,3,True,149,118.52,118.99,125.71,0.6726,86,117.66,117.31,73.09,0.7395,52.62,1
38,Ven+Ear+Sat,3,True,164,117.81,118.33,139.21,0.3983,70,118.29,117.92,59.18,0.2069,80.04,1
39,Mer+Ven+Ear+Sat,4,True,198,157.45,157.92,125.76,0.4983,112,156.57,156.25,71.53,0.3455,54.22,1
44,Ear+Mar+Sat,3,True,158,117.85,118.4,134.07,0.5124,87,118.27,117.83,73.56,0.7633,60.51,1
45,Mer+Ear+Mar+Sat,4,True,193,157.49,157.99,122.55,0.5806,129,156.54,156.17,82.41,0.7967,40.15,1
46,Ven+Ear+Mar+Sat,4,True,208,156.78,157.34,132.67,0.3091,113,157.17,156.77,71.9,0.3593,60.78,1
47,Mer+Ven+Ear+Mar+Sat,5,True,242,196.19,196.71,123.35,0.4042,155,195.24,194.89,79.39,0.473,43.96,1
52,Ear+Jup+Sat,3,True,163,117.97,118.46,138.18,0.4228,77,118.25,117.78,65.12,0.439,73.06,1
53,Mer+Ear+Jup+Sat,4,True,198,157.61,158.05,125.63,0.4964,119,156.53,156.11,76.02,0.5503,49.61,1
54,Ven+Ear+Jup+Sat,4,True,213,156.89,157.4,135.76,0.2342,103,157.15,156.71,65.54,0.1196,70.22,1
55,Mer+Ven+Ear+Jup+Sat,5,True,247,196.31,196.77,125.82,0.3202,145,195.22,194.83,74.27,0.2282,51.55,1
60,Ear+Mar+Jup+Sat,4,True,205,156.93,157.47,130.64,0.3619,120,157.13,156.63,76.37,0.5673,54.27,1
61,Mer+Ear+Mar+Jup+Sat,5,True,240,196.35,196.84,122.23,0.4357,162,195.2,194.75,82.99,0.6492,39.24,1
62,Ven+Ear+Mar+Jup+Sat,5,True,255,195.64,196.19,130.34,0.1977,146,195.81,195.35,74.56,0.2317,55.78,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,289,234.84,235.34,123.06,0.2733,188,233.68,233.26,80.45,0.345,42.61,1
68,Ear+Ura,2,True,112,78.04,78.64,143.52,0.6559,24,79.6,79.31,30.15,0.0059,113.36,1
69,Mer+Ear+Ura,3,True,147,117.92,118.47,124.66,0.7118,65,118.09,117.87,55.04,0.1045,69.62,1
70,Ven+Ear+Ura,3,True,162,117.19,117.8,138.24,0.4418,50,118.71,118.46,42.12,0.0008,96.12,1
71,Mer+Ven+Ear+Ura,4,True,196,156.85,157.41,124.96,0.5393,91,157.0,156.8,57.96,0.0178,67.0,1
76,Ear+Mar+Ura,3,True,157,117.23,117.87,133.92,0.5342,67,118.68,118.37,56.45,0.1192,77.47,1
77,Mer+Ear+Mar+Ura,4,True,192,156.9,157.48,122.37,0.6037,108,156.97,156.72,68.8,0.2371,53.57,1
78,Ven+Ear+Mar+Ura,4,True,207,156.17,156.81,132.55,0.3349,93,157.59,157.3,59.01,0.0193,73.53,1
79,Mer+Ven+Ear+Mar+Ura,5,True,241,195.61,196.2,123.2,0.4258,134,195.66,195.44,68.48,0.0639,54.72,1
84,Ear+Jup+Ura,3,True,161,117.35,117.93,137.2,0.4578,57,118.67,118.32,48.03,0.012,89.16,1
85,Mer+Ear+Jup+Ura,4,True,196,157.01,157.54,124.83,0.5362,98,156.96,156.66,62.43,0.0606,62.4,1
86,Ven+Ear+Jup+Ura,4,True,211,156.29,156.88,135.01,0.2706,83,157.57,157.25,52.67,0.0011,82.33,1
87,Mer+Ven+Ear+Jup+Ura,5,True,245,195.72,196.26,125.18,0.3591,124,195.65,195.38,63.38,0.011,61.8,1
92,Ear+Mar+Jup+Ura,4,True,204,156.32,156.94,130.5,0.3825,100,157.55,157.17,63.47,0.0675,67.03,1
93,Mer+Ear+Mar+Jup+Ura,5,True,239,195.76,196.33,122.09,0.4584,141,195.63,195.3,72.08,0.1477,50.01,1
94,Ven+Ear+Mar+Jup+Ura,5,True,254,195.04,195.67,130.23,0.2155,126,196.23,195.88,64.21,0.0124,66.02,1
95,Mer+Ven+Ear+Mar+Jup+Ura,6,True,288,234.26,234.84,122.94,0.2924,167,234.1,233.8,71.34,0.0398,51.6,1
100,Ear+Sat+Ura,3,True,143,117.43,117.96,121.78,0.7505,68,118.56,118.3,57.35,0.1492,64.42,1
101,Mer+Ear+Sat+Ura,4,True,178,157.08,157.57,113.32,0.7886,109,156.84,156.64,69.5,0.2636,43.82,1
102,Ven+Ear+Sat+Ura,4,True,193,156.36,156.91,123.43,0.5772,94,157.46,157.23,59.7,0.0231,63.74,1
103,Mer+Ven+Ear+Sat+Ura,5,True,227,195.79,196.29,115.94,0.6467,135,195.53,195.35,69.04,0.0755,46.9,1
108,Ear+Mar+Sat+Ura,4,True,187,156.4,156.98,119.57,0.6663,111,157.44,157.14,70.5,0.3013,49.06,1
109,Mer+Ear+Mar+Sat+Ura,5,True,222,195.83,196.36,113.37,0.7165,152,195.51,195.27,77.75,0.3928,35.62,1
110,Ven+Ear+Mar+Sat+Ura,5,True,237,195.12,195.7,121.47,0.4832,137,196.12,195.86,69.85,0.0845,51.61,1
111,Mer+Ven+Ear+Mar+Sat+Ura,6,True,271,234.33,234.87,115.65,0.5578,178,233.98,233.78,76.07,0.1533,39.58,1
116,Ear+Jup+Sat+Ura,4,True,192,156.52,157.04,122.66,0.5912,101,157.43,157.09,64.16,0.0784,58.51,1
117,Mer+Ear+Jup+Sat+Ura,5,True,227,195.95,196.42,115.84,0.6492,142,195.51,195.22,72.63,0.1643,43.21,1
118,Ven+Ear+Jup+Sat+Ura,5,True,242,195.24,195.77,123.95,0.4024,127,196.11,195.81,64.76,0.0148,59.19,1
119,Mer+Ven+Ear+Jup+Sat+Ura,6,True,276,234.45,234.93,117.72,0.481,168,233.97,233.72,71.8,0.0439,45.92,1
124,Ear+Mar+Jup+Sat+Ura,5,True,234,195.27,195.83,119.83,0.5305,144,196.09,195.72,73.44,0.1843,46.4,1
125,Mer+Ear+Mar+Jup+Sat+Ura,6,True,269,234.49,235.0,114.72,0.5908,185,233.96,233.64,79.07,0.2737,35.65,1
126,Ven+Ear+Mar+Jup+Sat+Ura,6,True,284,233.78,234.34,121.48,0.3439,170,234.56,234.23,72.48,0.0501,49.01,1
127,Mer+Ven+Ear+Mar+Jup+Sat+Ura,7,True,318,272.77,273.29,116.58,0.4192,211,272.22,271.93,77.51,0.1016,39.07,1
132,Ear+Nep,2,True,111,78.24,78.75,141.87,0.6611,35,79.65,79.27,43.94,0.2736,97.93,1
