Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,49,39.98,40.06,122.56,0.2743,43,40.23,40.2,106.87,0.7095,15.69,1
2,Ven,1,False,54,40.16,40.17,134.46,0.1116,41,40.02,40.11,102.44,0.9062,32.02,1
3,Mer+Ven,2,False,102,79.91,80.0,127.65,0.0608,84,80.03,80.08,104.95,0.7191,22.69,1
8,Mar,1,False,47,39.53,39.61,118.88,0.3575,41,40.5,40.65,101.23,0.9398,17.65,1
9,Mer+Mar,2,False,96,79.3,79.45,121.06,0.1568,84,80.5,80.63,104.35,0.7267,16.71,1
10,Ven+Mar,2,False,101,79.46,79.56,127.1,0.0924,81,80.29,80.53,100.88,0.943,26.22,1
11,Mer+Ven+Mar,3,False,149,119.0,119.18,125.21,0.0488,124,120.07,120.28,103.27,0.753,21.94,1
16,Jup,1,False,40,39.92,39.87,100.21,1.0,49,40.35,40.41,121.44,0.2827,-21.23,1
17,Mer+Jup,2,False,89,79.68,79.71,111.7,0.4047,92,80.34,80.38,114.51,0.3055,-2.81,1
18,Ven+Jup,2,False,94,79.85,79.82,117.72,0.2064,90,80.16,80.29,112.28,0.3627,5.44,1
19,Mer+Ven+Jup,3,False,142,119.38,119.43,118.95,0.1036,133,119.93,120.04,110.9,0.3367,8.05,1
24,Mar+Jup,2,False,87,79.24,79.26,109.8,0.4843,90,80.63,80.83,111.63,0.3891,-1.83,1
25,Mer+Mar+Jup,3,False,136,118.79,118.88,114.49,0.2244,133,120.39,120.58,110.48,0.3331,4.01,1
26,Ven+Mar+Jup,3,False,141,118.94,118.99,118.55,0.1248,130,120.2,120.49,108.15,0.4559,10.4,1
27,Mer+Ven+Mar+Jup,4,False,189,158.26,158.39,119.43,0.0624,173,159.75,160.01,108.3,0.3739,11.13,1
32,Sat,1,False,32,40.17,40.11,79.66,0.3395,44,40.29,40.18,109.2,0.6779,-29.53,1
33,Mer+Sat,2,False,81,79.93,79.95,101.34,0.9342,87,80.3,80.15,108.35,0.5619,-7.0,1
34,Ven+Sat,2,False,86,80.09,80.06,107.37,0.6051,85,80.09,80.06,106.13,0.6655,1.24,1
35,Mer+Ven+Sat,3,False,134,119.62,119.67,112.02,0.2907,128,119.87,119.81,106.78,0.5539,5.24,1
40,Mar+Sat,2,False,79,79.48,79.51,99.4,1.0,85,80.57,80.61,105.49,0.6927,-6.1,1
41,Mer+Mar+Sat,3,False,128,119.02,119.12,107.54,0.5143,128,120.34,120.36,106.37,0.5767,1.18,1
42,Ven+Mar+Sat,3,False,133,119.18,119.23,111.6,0.3199,125,120.14,120.27,104.05,0.7095,7.55,1
43,Mer+Ven+Mar+Sat,4,False,181,158.49,158.63,114.2,0.1588,168,159.69,159.79,105.21,0.5995,8.99,1
48,Jup+Sat,2,False,72,79.84,79.76,90.18,0.5099,92,80.42,80.36,114.4,0.3155,-24.22,1
49,Mer+Jup+Sat,3,False,121,119.38,119.37,101.35,0.909,135,120.19,120.11,112.32,0.2967,-10.97,1
50,Ven+Jup+Sat,3,False,126,119.54,119.49,105.4,0.6387,133,120.0,120.02,110.83,0.3367,-5.43,1
51,Mer+Ven+Jup+Sat,4,False,174,158.85,158.88,109.54,0.3359,176,159.55,159.55,110.31,0.2943,-0.77,1
56,Mar+Jup+Sat,3,False,119,118.94,118.94,100.05,1.0,133,120.48,120.56,110.39,0.3431,-10.34,1
57,Mer+Mar+Jup+Sat,4,False,168,158.27,158.33,106.15,0.5395,176,160.01,160.09,109.99,0.2959,-3.84,1
58,Ven+Mar+Jup+Sat,4,False,173,158.41,158.44,109.21,0.3579,173,159.83,160.0,108.24,0.3899,0.97,1
59,Mer+Ven+Mar+Jup+Sat,5,False,221,197.51,197.62,111.89,0.1884,216,199.15,199.3,108.46,0.3323,3.43,1
64,Ura,1,False,36,39.86,40.19,90.32,0.7023,26,40.17,40.08,64.72,0.0828,25.6,1
65,Mer+Ura,2,False,85,79.62,80.04,106.75,0.6515,69,80.2,80.07,86.04,0.3523,20.71,1
66,Ven+Ura,2,False,89,79.81,80.14,111.52,0.4259,67,79.96,79.96,83.79,0.2659,27.73,1
67,Mer+Ven+Ura,3,False,137,119.34,119.76,114.8,0.2104,110,119.76,119.73,91.85,0.5035,22.95,1
72,Mar+Ura,2,False,81,79.17,79.58,102.31,0.8706,67,80.44,80.51,83.29,0.2296,19.02,1
73,Mer+Mar+Ura,3,False,130,118.72,119.21,109.5,0.4119,110,120.23,120.27,91.49,0.4715,18.0,1
74,Ven+Mar+Ura,3,False,134,118.89,119.31,112.71,0.2951,107,120.0,120.16,89.16,0.3551,23.54,1
75,Mer+Ven+Mar+Ura,4,False,182,158.21,158.72,115.03,0.1528,150,159.57,159.71,94.0,0.5743,21.03,1
80,Jup+Ura,2,False,76,79.57,79.84,95.52,0.8126,75,80.31,80.26,93.39,0.7003,2.13,1
81,Mer+Jup+Ura,3,False,125,119.12,119.47,104.94,0.6691,118,120.1,120.03,98.25,0.9294,6.68,1
82,Ven+Jup+Ura,3,False,129,119.29,119.56,108.14,0.4775,116,119.89,119.92,96.76,0.8362,11.38,1
83,Mer+Ven+Jup+Ura,4,False,177,158.61,158.97,111.6,0.2539,159,159.45,159.47,99.72,1.0,11.88,1
88,Mar+Jup+Ura,3,False,121,118.67,119.01,101.96,0.8486,116,120.36,120.46,96.38,0.815,5.58,1
89,Mer+Mar+Jup+Ura,4,False,170,158.01,158.42,107.59,0.4355,159,159.91,160.0,99.43,0.9942,8.16,1
90,Ven+Mar+Jup+Ura,4,False,174,158.16,158.52,110.02,0.3171,156,159.71,159.9,97.68,0.871,12.34,1
91,Mer+Ven+Mar+Jup+Ura,5,False,222,197.27,197.71,112.54,0.174,199,199.04,199.22,99.98,0.995,12.56,1
96,Sat+Ura,2,False,68,79.83,80.09,85.18,0.3259,70,80.22,80.04,87.26,0.3831,-2.08,1
97,Mer+Sat+Ura,3,False,117,119.37,119.71,98.01,0.8914,113,120.01,119.8,94.16,0.6579,3.85,1
98,Ven+Sat+Ura,3,False,121,119.54,119.81,101.22,0.939,111,119.78,119.7,92.67,0.5599,8.55,1
99,Mer+Ven+Sat+Ura,4,False,169,158.86,159.21,106.39,0.5255,154,159.35,159.24,96.64,0.769,9.74,1
104,Mar+Sat+Ura,3,False,113,118.92,119.26,95.02,0.7027,111,120.26,120.24,92.3,0.5259,2.73,1
105,Mer+Mar+Sat+Ura,4,False,162,158.25,158.66,102.37,0.8162,154,159.82,159.78,96.36,0.7491,6.01,1
106,Ven+Mar+Sat+Ura,4,False,166,158.41,158.76,104.79,0.6467,151,159.6,159.68,94.61,0.6135,10.18,1
107,Mer+Ven+Mar+Sat+Ura,5,False,214,197.51,197.95,108.35,0.3547,194,198.94,199.0,97.52,0.8154,10.83,1
112,Jup+Sat+Ura,3,False,108,119.29,119.51,90.53,0.4179,118,120.13,120.0,98.22,0.945,-7.69,1
113,Mer+Jup+Sat+Ura,4,False,157,158.62,158.91,98.98,0.9706,161,159.69,159.54,100.82,0.939,-1.84,1
114,Ven+Jup+Sat+Ura,4,False,161,158.78,159.02,101.4,0.8878,159,159.49,159.44,99.7,1.0,1.7,1
115,Mer+Ven+Jup+Sat+Ura,5,False,209,197.88,198.2,105.62,0.5367,202,198.82,198.76,101.6,0.859,4.02,1
120,Mar+Jup+Sat+Ura,4,False,153,158.17,158.47,96.73,0.793,159,159.96,159.98,99.4,1.0,-2.67,1
