Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,61,18.35,18.28,332.36,0.0204,0,18.43,18.23,0.0,0.9798,332.36,1
5,Mer+Ear,2,True,83,36.95,36.84,224.63,0.014,17,36.31,36.03,46.82,0.4807,177.81,1
6,Ven+Ear,2,True,95,36.59,36.43,259.63,0.0016,24,36.55,36.39,65.67,0.9078,193.97,1
7,Mer+Ven+Ear,3,True,117,55.08,54.89,212.41,0.0004,41,54.33,54.08,75.47,0.8098,136.94,1
12,Ear+Mar,2,True,84,36.47,36.48,230.33,0.01,11,36.48,36.32,30.15,0.1336,200.18,1
13,Mer+Ear+Mar,3,True,106,54.96,54.95,192.88,0.008,28,54.26,54.01,51.6,0.1592,141.28,1
14,Ven+Ear+Mar,3,True,118,54.61,54.53,216.08,0.0008,35,54.5,54.38,64.22,0.5095,151.86,1
15,Mer+Ven+Ear+Mar,4,True,140,72.99,72.89,191.8,0.0016,52,72.19,71.97,72.03,0.4707,119.77,1
20,Ear+Jup,2,True,80,36.63,36.52,218.38,0.0224,24,36.49,36.3,65.76,0.9414,152.62,1
21,Mer+Ear+Jup,3,True,102,55.13,54.99,185.03,0.0164,41,54.27,53.99,75.55,0.829,109.48,1
22,Ven+Ear+Jup,3,True,113,54.78,54.57,206.29,0.002,48,54.51,54.36,88.05,1.0,118.24,1
23,Mer+Ven+Ear+Jup,4,True,135,73.17,72.93,184.5,0.0012,65,72.19,71.95,90.03,0.9674,94.47,1
28,Ear+Mar+Jup,3,True,103,54.64,54.63,188.5,0.0124,35,54.44,54.28,64.29,0.4935,124.21,1
29,Mer+Ear+Mar+Jup,4,True,125,73.03,72.99,171.17,0.008,52,72.12,71.88,72.1,0.4743,99.07,1
30,Ven+Ear+Mar+Jup,4,True,136,72.69,72.58,187.09,0.0008,59,72.37,72.24,81.53,0.7562,105.57,1
31,Mer+Ven+Ear+Mar+Jup,5,True,158,90.97,90.83,173.68,0.0016,76,89.96,89.74,84.49,0.7103,89.19,1
36,Ear+Sat,2,True,88,36.56,36.54,240.73,0.0036,8,36.6,36.3,21.86,0.0084,218.87,1
37,Mer+Ear+Sat,3,True,109,55.05,55.0,198.0,0.0032,25,54.37,53.99,45.98,0.0584,152.02,1
38,Ven+Ear+Sat,3,True,122,54.68,54.59,223.1,0.0004,32,54.6,54.35,58.6,0.3339,164.5,1
39,Mer+Ven+Ear+Sat,4,True,143,73.07,72.95,195.69,0.0008,49,72.28,71.95,67.79,0.3259,127.9,1
44,Ear+Mar+Sat,3,True,110,54.57,54.65,201.58,0.004,19,54.54,54.28,34.84,0.0056,166.74,1
45,Mer+Ear+Mar+Sat,4,True,131,72.96,73.01,179.56,0.0036,36,72.22,71.88,49.85,0.0188,129.72,1
46,Ven+Ear+Mar+Sat,4,True,144,72.6,72.6,198.34,0.0004,43,72.45,72.24,59.35,0.1268,138.99,1
47,Mer+Ven+Ear+Mar+Sat,5,True,165,90.89,90.85,181.55,0.0008,60,90.04,89.74,66.64,0.1464,114.91,1
52,Ear+Jup+Sat,3,True,107,54.73,54.69,195.52,0.0076,32,54.56,54.26,58.65,0.3135,136.87,1
53,Mer+Ear+Jup+Sat,4,True,128,73.12,73.05,175.06,0.0064,49,72.23,71.86,67.84,0.3207,107.22,1
54,Ven+Ear+Jup+Sat,4,True,140,72.76,72.64,192.41,0.0008,56,72.47,72.22,77.27,0.6471,115.14,1
55,Mer+Ven+Ear+Jup+Sat,5,True,161,91.05,90.89,176.82,0.0008,73,90.05,89.71,81.06,0.6031,95.76,1
60,Ear+Mar+Jup+Sat,4,True,129,72.63,72.69,177.61,0.0032,43,72.4,72.15,59.39,0.1192,118.22,1
61,Mer+Ear+Mar+Jup+Sat,5,True,150,90.92,90.95,164.99,0.0048,60,89.98,89.64,66.68,0.14,98.31,1
62,Ven+Ear+Mar+Jup+Sat,5,True,162,90.57,90.54,178.86,0.0004,67,90.22,90.0,74.26,0.3563,104.6,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,183,108.76,108.69,168.27,0.0008,84,107.71,107.4,77.99,0.3431,90.28,1
68,Ear+Ura,2,True,80,36.31,36.18,220.34,0.0244,18,36.81,36.63,48.9,0.5447,171.44,1
69,Mer+Ear+Ura,3,True,102,54.81,54.65,186.1,0.014,35,54.6,54.32,64.11,0.4671,121.99,1
70,Ven+Ear+Ura,3,True,114,54.45,54.23,209.38,0.0008,42,54.83,54.68,76.6,0.8406,132.77,1
71,Mer+Ven+Ear+Ura,4,True,136,72.85,72.6,186.7,0.0004,59,72.52,72.28,81.36,0.7662,105.34,1
76,Ear+Mar+Ura,3,True,103,54.32,54.28,189.61,0.01,29,54.75,54.61,52.96,0.1928,136.65,1
77,Mer+Ear+Mar+Ura,4,True,125,72.72,72.65,171.9,0.0092,46,72.45,72.21,63.5,0.1972,108.41,1
78,Ven+Ear+Mar+Ura,4,True,137,72.37,72.23,189.32,0.0004,53,72.67,72.56,72.93,0.5111,116.39,1
79,Mer+Ven+Ear+Mar+Ura,5,True,159,90.66,90.5,175.39,0.0012,70,90.27,90.07,77.54,0.4803,97.84,1
84,Ear+Jup+Ura,3,True,99,54.49,54.32,181.69,0.0272,42,54.77,54.59,76.68,0.8662,105.01,1
85,Mer+Ear+Jup+Ura,4,True,121,72.89,72.69,166.01,0.0176,59,72.46,72.19,81.43,0.7818,84.58,1
86,Ven+Ear+Jup+Ura,4,True,132,72.54,72.28,181.98,0.0032,66,72.7,72.54,90.79,0.993,91.19,1
87,Mer+Ven+Ear+Jup+Ura,5,True,154,90.83,90.54,169.54,0.002,83,90.29,90.04,91.93,0.955,77.61,1
92,Ear+Mar+Jup+Ura,4,True,122,72.39,72.33,168.52,0.0168,53,72.62,72.47,72.99,0.4823,95.54,1
93,Mer+Ear+Mar+Jup+Ura,5,True,144,90.69,90.59,158.78,0.0092,70,90.21,89.97,77.6,0.4655,81.19,1
94,Ven+Ear+Mar+Jup+Ura,5,True,155,90.35,90.18,171.56,0.0004,77,90.44,90.33,85.14,0.7439,86.42,1
95,Mer+Ven+Ear+Mar+Jup+Ura,6,True,177,108.54,108.34,163.07,0.0012,94,107.94,107.73,87.08,0.7103,75.99,1
100,Ear+Sat+Ura,3,True,107,54.4,54.35,196.7,0.0056,26,54.85,54.59,47.4,0.0552,149.3,1
101,Mer+Ear+Sat+Ura,4,True,128,72.8,72.71,175.83,0.0052,43,72.54,72.19,59.28,0.0956,116.55,1
102,Ven+Ear+Sat+Ura,4,True,141,72.43,72.3,194.67,0.0004,50,72.76,72.54,68.72,0.3619,125.96,1
103,Mer+Ven+Ear+Sat+Ura,5,True,162,90.73,90.56,178.56,0.0008,67,90.36,90.04,74.15,0.3523,104.41,1
108,Ear+Mar+Sat+Ura,4,True,129,72.31,72.35,178.4,0.0036,37,72.69,72.47,50.9,0.0188,127.5,1
109,Mer+Ear+Mar+Sat+Ura,5,True,150,90.6,90.61,165.56,0.0052,54,90.29,89.97,59.81,0.0364,105.75,1
110,Ven+Ear+Mar+Sat+Ura,5,True,163,90.25,90.2,180.61,0.0004,61,90.51,90.33,67.4,0.1556,113.21,1
111,Mer+Ven+Ear+Mar+Sat+Ura,6,True,184,108.44,108.36,169.68,0.0004,78,108.01,107.73,72.22,0.1644,97.46,1
116,Ear+Jup+Sat+Ura,4,True,126,72.47,72.39,173.87,0.0088,50,72.72,72.45,68.76,0.3423,105.11,1
117,Mer+Ear+Jup+Sat+Ura,5,True,147,90.77,90.65,161.95,0.0068,67,90.3,89.95,74.2,0.3347,87.76,1
118,Ven+Ear+Jup+Sat+Ura,5,True,159,90.41,90.24,175.87,0.0004,74,90.53,90.31,81.74,0.6371,94.13,1
119,Mer+Ven+Ear+Jup+Sat+Ura,6,True,180,108.61,108.4,165.74,0.0012,91,108.03,107.71,84.24,0.6059,81.5,1
124,Ear+Mar+Jup+Sat+Ura,5,True,148,90.27,90.3,163.95,0.0056,61,90.46,90.24,67.44,0.1468,96.51,1
125,Mer+Ear+Mar+Jup+Sat+Ura,6,True,169,108.47,108.45,155.81,0.006,78,107.95,107.64,72.26,0.1504,83.55,1
126,Ven+Ear+Mar+Jup+Sat+Ura,6,True,181,108.12,108.05,167.4,0.0004,85,108.18,107.99,78.57,0.3743,88.83,1
127,Mer+Ven+Ear+Mar+Jup+Sat+Ura,7,True,202,126.21,126.11,160.05,0.0004,102,125.58,125.3,81.22,0.3643,78.82,1
132,Ear+Nep,2,True,80,36.34,36.26,220.13,0.0224,17,37.05,36.64,45.89,0.4111,174.24,1
133,Mer+Ear+Nep,3,True,102,54.85,54.73,185.95,0.016,34,54.82,54.34,62.02,0.3907,123.93,1
134,Ven+Ear+Nep,3,True,114,54.47,54.31,209.28,0.0012,40,55.05,54.7,72.66,0.7259,136.62,1
135,Mer+Ven+Ear+Nep,4,True,136,72.88,72.68,186.61,0.0004,57,72.73,72.3,78.37,0.6559,108.24,1
140,Ear+Mar+Nep,3,True,103,54.36,54.37,189.49,0.0148,27,55.0,54.63,49.09,0.1068,140.4,1
