SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC21,1976-03,1986-08,8240,Mercury,1,Conjunction,48,45.9,104.57,0.7686,0.25
SC21,1976-03,1986-08,8240,Mercury,1,Opposition,50,45.59,109.66,0.5647,0.57
SC21,1976-03,1986-08,8240,Venus,1,Conjunction,49,45.76,107.07,0.7471,0.44
SC21,1976-03,1986-08,8240,Venus,1,Opposition,49,45.9,106.75,0.7522,0.41
SC21,1976-03,1986-08,8240,Mars,1,Conjunction,51,45.98,110.92,0.5387,0.68
SC21,1976-03,1986-08,8240,Mars,1,Opposition,49,45.63,107.38,0.7219,0.37
SC21,1976-03,1986-08,8240,Jupiter,1,Conjunction,50,45.92,108.88,0.6127,0.55
SC21,1976-03,1986-08,8240,Jupiter,1,Opposition,46,45.5,101.1,1.0,0.07
SC21,1976-03,1986-08,8240,Saturn,1,Conjunction,54,45.96,117.5,0.2919,1.07
SC21,1976-03,1986-08,8240,Saturn,1,Opposition,53,45.56,116.32,0.3723,0.95
SC21,1976-03,1986-08,8240,Uranus,1,Conjunction,43,45.52,94.47,0.8138,-0.35
SC21,1976-03,1986-08,8240,Uranus,1,Opposition,56,45.77,122.35,0.1884,1.46
SC21,1976-03,1986-08,8240,Neptune,1,Conjunction,37,45.37,81.55,0.2523,-1.18
SC21,1976-03,1986-08,8240,Neptune,1,Opposition,48,46.55,103.11,0.883,0.2
SC21,1976-03,1986-08,8240,Mercury,2,Conjunction,101,91.94,109.85,0.4635,0.7
SC21,1976-03,1986-08,8240,Mercury,2,Opposition,91,90.99,100.01,0.9714,0.0
SC21,1976-03,1986-08,8240,Venus,2,Conjunction,108,91.3,118.29,0.1456,1.44
SC21,1976-03,1986-08,8240,Venus,2,Opposition,84,91.49,91.81,0.5035,-0.64
SC21,1976-03,1986-08,8240,Mars,2,Conjunction,96,91.92,104.44,0.7215,0.37
SC21,1976-03,1986-08,8240,Mars,2,Opposition,109,91.02,119.76,0.2188,1.25
SC21,1976-03,1986-08,8240,Jupiter,2,Conjunction,102,92.15,110.69,0.4335,0.86
SC21,1976-03,1986-08,8240,Jupiter,2,Opposition,78,91.1,85.62,0.2623,-1.11
SC21,1976-03,1986-08,8240,Saturn,2,Conjunction,103,91.92,112.05,0.3027,0.93
SC21,1976-03,1986-08,8240,Saturn,2,Opposition,95,91.34,104.01,0.8186,0.28
SC21,1976-03,1986-08,8240,Uranus,2,Conjunction,90,90.98,98.92,0.9938,-0.09
SC21,1976-03,1986-08,8240,Uranus,2,Opposition,98,91.39,107.24,0.5763,0.62
SC21,1976-03,1986-08,8240,Neptune,2,Conjunction,79,90.71,87.1,0.2899,-1.07
SC21,1976-03,1986-08,8240,Neptune,2,Opposition,80,93.28,85.76,0.2687,-1.13
SC21,1976-03,1986-08,8240,Mercury,3,Conjunction,146,137.49,106.19,0.5835,0.5
SC21,1976-03,1986-08,8240,Mercury,3,Opposition,130,136.37,95.33,0.755,-0.4
SC21,1976-03,1986-08,8240,Venus,3,Conjunction,150,137.51,109.08,0.5047,0.8
SC21,1976-03,1986-08,8240,Venus,3,Opposition,139,137.51,101.08,1.0,0.09
SC21,1976-03,1986-08,8240,Mars,3,Conjunction,140,137.93,101.5,0.9086,0.14
SC21,1976-03,1986-08,8240,Mars,3,Opposition,152,136.59,111.28,0.4667,0.79
SC21,1976-03,1986-08,8240,Jupiter,3,Conjunction,152,137.52,110.53,0.3683,0.97
SC21,1976-03,1986-08,8240,Jupiter,3,Opposition,142,136.82,103.78,0.7355,0.33
SC21,1976-03,1986-08,8240,Saturn,3,Conjunction,163,137.79,118.29,0.0976,1.61
SC21,1976-03,1986-08,8240,Saturn,3,Opposition,138,137.14,100.63,0.9866,0.05
