Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,165,148.25,148.21,111.3,0.258,162,147.75,147.81,109.64,0.3246,1.65,1
2,Ven,1,False,192,148.05,148.09,129.68,0.003,161,148.07,148.06,108.73,0.383,20.95,1
3,Mer+Ven,2,False,355,295.49,295.47,120.14,0.0051,322,295.0,295.05,109.15,0.2011,10.99,1
8,Mar,1,False,164,147.82,147.82,110.95,0.3058,138,148.17,148.34,93.13,0.5371,17.81,1
9,Mer+Mar,2,False,329,295.25,295.21,111.43,0.1107,300,295.1,295.33,101.66,0.8228,9.77,1
10,Ven+Mar,2,False,354,295.05,295.09,119.98,0.0062,298,295.41,295.58,100.88,0.915,19.1,1
11,Mer+Ven+Mar,3,False,517,441.67,441.66,117.06,0.004,459,441.52,441.75,103.96,0.5061,13.1,1
16,Jup,1,False,142,147.96,148.0,95.97,0.7628,177,148.07,148.18,119.54,0.0796,-23.57,1
17,Mer+Jup,2,False,307,295.39,295.38,103.93,0.5895,339,294.99,295.16,114.92,0.045,-10.99,1
18,Ven+Jup,2,False,332,295.2,295.27,112.47,0.101,337,295.32,295.42,114.11,0.0666,-1.65,1
19,Mer+Ven+Jup,3,False,495,441.81,441.83,112.04,0.0467,498,441.43,441.58,112.82,0.0353,-0.78,1
24,Mar+Jup,2,False,306,294.95,295.0,103.75,0.6064,315,295.43,295.7,106.63,0.3958,-2.88,1
25,Mer+Mar+Jup,3,False,471,441.56,441.56,106.67,0.2653,477,441.53,441.86,108.03,0.1891,-1.37,1
26,Ven+Mar+Jup,3,False,494,441.36,441.45,111.93,0.0507,474,441.85,442.12,107.28,0.2473,4.65,1
27,Mer+Ven+Mar+Jup,4,False,657,587.17,587.2,111.89,0.0236,635,587.15,587.47,108.15,0.1208,3.74,1
32,Sat,1,False,158,148.05,148.13,106.72,0.4706,146,147.99,148.06,98.65,0.8857,8.07,1
33,Mer+Sat,2,False,322,295.46,295.5,108.98,0.1772,307,294.9,295.03,104.1,0.542,4.88,1
34,Ven+Sat,2,False,350,295.27,295.4,118.53,0.0066,306,295.24,295.29,103.64,0.5955,14.89,1
35,Mer+Ven+Sat,3,False,512,441.87,441.94,115.87,0.0046,466,441.34,441.45,105.59,0.319,10.28,1
40,Mar+Sat,2,False,320,295.03,295.13,108.46,0.2132,284,295.34,295.58,96.16,0.5957,12.3,1
41,Mer+Mar+Sat,3,False,484,441.63,441.69,109.59,0.0828,445,441.43,441.73,100.81,0.894,8.79,1
42,Ven+Mar+Sat,3,False,510,441.44,441.58,115.53,0.0058,443,441.77,442.0,100.28,0.9714,15.25,1
43,Mer+Ven+Mar+Sat,4,False,672,587.23,587.32,114.44,0.0032,603,587.05,587.34,102.72,0.5869,11.72,1
48,Jup+Sat,2,False,300,295.19,295.31,101.63,0.8149,322,295.21,295.42,109.07,0.2032,-7.45,1
49,Mer+Jup+Sat,3,False,464,441.79,441.85,105.03,0.3748,483,441.3,441.56,109.45,0.1026,-4.42,1
50,Ven+Jup+Sat,3,False,490,441.6,441.76,110.96,0.0592,481,441.65,441.84,108.91,0.1274,2.05,1
51,Mer+Ven+Jup+Sat,4,False,652,587.39,587.48,111.0,0.0268,641,586.92,587.17,109.21,0.0651,1.79,1
56,Mar+Jup+Sat,3,False,462,441.34,441.49,104.68,0.4149,460,441.75,442.11,104.13,0.5007,0.55,1
57,Mer+Mar+Jup+Sat,4,False,626,587.13,587.22,106.62,0.1799,621,587.02,587.45,105.79,0.2572,0.83,1
58,Ven+Mar+Jup+Sat,4,False,650,586.94,587.12,110.74,0.034,618,587.36,587.72,105.22,0.3161,5.53,1
59,Mer+Ven+Mar+Jup+Sat,5,False,812,731.92,732.05,110.94,0.015,778,731.82,732.24,106.31,0.1647,4.63,1
64,Ura,1,False,153,147.73,147.73,103.57,0.7167,144,147.99,147.97,97.31,0.8083,6.26,1
