SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC21,1976-03,1986-08,1689,Mercury,1,Conjunction,11,9.52,115.58,0.7355,0.43
SC21,1976-03,1986-08,1689,Mercury,1,Opposition,9,9.15,98.35,1.0,-0.04
SC21,1976-03,1986-08,1689,Venus,1,Conjunction,7,9.34,74.93,0.5955,-0.78
SC21,1976-03,1986-08,1689,Venus,1,Opposition,7,9.32,75.08,0.5447,-0.79
SC21,1976-03,1986-08,1689,Mars,1,Conjunction,11,9.35,117.71,0.6683,0.52
SC21,1976-03,1986-08,1689,Mars,1,Opposition,13,9.3,139.73,0.3239,1.17
SC21,1976-03,1986-08,1689,Jupiter,1,Conjunction,14,9.43,148.54,0.2152,1.42
SC21,1976-03,1986-08,1689,Jupiter,1,Opposition,10,9.35,106.96,0.911,0.2
SC21,1976-03,1986-08,1689,Saturn,1,Conjunction,11,9.41,116.84,0.6947,0.5
SC21,1976-03,1986-08,1689,Saturn,1,Opposition,12,9.39,127.74,0.5067,0.77
SC21,1976-03,1986-08,1689,Uranus,1,Conjunction,14,9.19,152.31,0.1976,1.56
SC21,1976-03,1986-08,1689,Uranus,1,Opposition,7,9.6,72.95,0.5279,-0.85
SC21,1976-03,1986-08,1689,Neptune,1,Conjunction,8,9.34,85.69,0.8426,-0.44
SC21,1976-03,1986-08,1689,Neptune,1,Opposition,9,9.54,94.29,1.0,-0.17
SC21,1976-03,1986-08,1689,Mercury,2,Conjunction,18,19.23,93.59,0.9326,-0.24
SC21,1976-03,1986-08,1689,Mercury,2,Opposition,23,18.43,124.8,0.4747,0.77
SC21,1976-03,1986-08,1689,Venus,2,Conjunction,17,18.69,90.95,0.7854,-0.39
SC21,1976-03,1986-08,1689,Venus,2,Opposition,15,18.77,79.92,0.4375,-0.9
SC21,1976-03,1986-08,1689,Mars,2,Conjunction,18,18.83,95.61,0.959,-0.17
SC21,1976-03,1986-08,1689,Mars,2,Opposition,31,18.79,164.98,0.0292,2.56
SC21,1976-03,1986-08,1689,Jupiter,2,Conjunction,21,18.84,111.47,0.7047,0.44
SC21,1976-03,1986-08,1689,Jupiter,2,Opposition,18,18.81,95.71,0.9318,-0.16
SC21,1976-03,1986-08,1689,Saturn,2,Conjunction,18,18.78,95.86,0.9886,-0.17
SC21,1976-03,1986-08,1689,Saturn,2,Opposition,24,18.71,128.28,0.3547,1.04
SC21,1976-03,1986-08,1689,Uranus,2,Conjunction,28,18.47,151.6,0.0744,2.18
SC21,1976-03,1986-08,1689,Uranus,2,Opposition,19,18.94,100.34,1.0,0.01
SC21,1976-03,1986-08,1689,Neptune,2,Conjunction,23,18.53,124.12,0.3295,1.0
SC21,1976-03,1986-08,1689,Neptune,2,Opposition,16,19.16,83.5,0.6079,-0.64
SC21,1976-03,1986-08,1689,Mercury,3,Conjunction,28,28.71,97.54,0.9478,-0.1
SC21,1976-03,1986-08,1689,Mercury,3,Opposition,32,27.69,115.58,0.6063,0.55
SC21,1976-03,1986-08,1689,Venus,3,Conjunction,27,28.14,95.94,0.8798,-0.22
SC21,1976-03,1986-08,1689,Venus,3,Opposition,25,28.28,88.41,0.5587,-0.62
SC21,1976-03,1986-08,1689,Mars,3,Conjunction,23,28.18,81.62,0.4659,-0.81
SC21,1976-03,1986-08,1689,Mars,3,Opposition,40,28.04,142.65,0.084,2.0
SC21,1976-03,1986-08,1689,Jupiter,3,Conjunction,27,28.35,95.24,0.8838,-0.21
SC21,1976-03,1986-08,1689,Jupiter,3,Opposition,25,28.0,89.27,0.6679,-0.47
SC21,1976-03,1986-08,1689,Saturn,3,Conjunction,34,28.32,120.06,0.4415,0.96
SC21,1976-03,1986-08,1689,Saturn,3,Opposition,32,28.2,113.46,0.6459,0.57
SC21,1976-03,1986-08,1689,Uranus,3,Conjunction,45,27.91,161.24,0.0036,3.07
SC21,1976-03,1986-08,1689,Uranus,3,Opposition,27,28.41,95.03,0.9106,-0.26
SC21,1976-03,1986-08,1689,Neptune,3,Conjunction,34,27.78,122.41,0.2587,1.1
SC21,1976-03,1986-08,1689,Neptune,3,Opposition,25,28.58,87.49,0.6687,-0.57
SC21,1976-03,1986-08,1689,Mercury,4,Conjunction,36,38.33,93.92,0.7926,-0.28
SC21,1976-03,1986-08,1689,Mercury,4,Opposition,44,36.64,120.07,0.5363,0.77
SC21,1976-03,1986-08,1689,Venus,4,Conjunction,33,37.67,87.6,0.5083,-0.74
SC21,1976-03,1986-08,1689,Venus,4,Opposition,38,37.46,101.44,0.9902,0.09
