Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,27,26.71,26.74,101.09,1.0,33,26.89,26.88,122.74,0.2937,-21.65,1
2,Ven,1,False,23,26.78,26.8,85.88,0.5321,29,26.81,26.8,108.15,0.7149,-22.27,1
3,Mer+Ven,2,False,50,53.34,53.39,93.74,0.7172,62,53.55,53.53,115.78,0.2913,-22.04,1
8,Mar,1,False,31,26.84,26.79,115.52,0.5262,27,26.78,26.81,100.82,0.9873,14.69,1
9,Mer+Mar,2,False,58,53.4,53.38,108.62,0.5993,60,53.51,53.53,112.12,0.4418,-3.5,1
10,Ven+Mar,2,False,54,53.47,53.44,100.99,0.9829,56,53.44,53.46,104.78,0.7602,-3.79,1
11,Mer+Ven+Mar,3,False,81,79.88,79.88,101.4,0.9328,89,80.03,80.04,111.21,0.3647,-9.81,1
16,Jup,1,False,36,26.79,26.78,134.39,0.127,41,26.8,26.83,152.97,0.0158,-18.58,1
17,Mer+Jup,2,False,61,53.35,53.36,114.34,0.365,74,53.53,53.55,138.23,0.0205,-23.89,1
18,Ven+Jup,2,False,59,53.42,53.43,110.45,0.4905,70,53.47,53.48,130.93,0.0335,-20.48,1
19,Mer+Ven+Jup,3,False,84,79.83,79.87,105.23,0.69,103,80.05,80.06,128.67,0.0235,-23.45,1
24,Mar+Jup,2,False,66,53.47,53.41,123.43,0.1346,68,53.43,53.48,127.27,0.085,-3.84,1
25,Mer+Mar+Jup,3,False,91,79.89,79.85,113.91,0.2764,101,80.01,80.06,126.23,0.0434,-12.31,1
26,Ven+Mar+Jup,3,False,89,79.96,79.92,111.31,0.3654,97,79.95,79.99,121.33,0.0818,-10.02,1
27,Mer+Ven+Mar+Jup,4,False,114,106.22,106.21,107.32,0.5028,130,106.38,106.42,122.2,0.0411,-14.88,1
32,Sat,1,False,26,26.75,26.79,97.19,0.9904,36,26.89,26.86,133.9,0.1313,-36.7,1
33,Mer+Sat,2,False,53,53.31,53.38,99.42,1.0,69,53.62,53.58,128.68,0.0691,-29.26,1
34,Ven+Sat,2,False,49,53.38,53.44,91.79,0.6029,65,53.56,53.51,121.37,0.1454,-29.58,1
35,Mer+Ven+Sat,3,False,76,79.79,79.88,95.25,0.7265,98,80.14,80.09,122.29,0.0692,-27.04,1
40,Mar+Sat,2,False,56,53.44,53.43,104.8,0.7636,63,53.51,53.51,117.72,0.2604,-12.93,1
41,Mer+Mar+Sat,3,False,83,79.85,79.87,103.95,0.7672,96,80.1,80.09,119.85,0.121,-15.9,1
42,Ven+Mar+Sat,3,False,79,79.92,79.93,98.84,0.9799,92,80.04,80.02,114.95,0.2192,-16.1,1
43,Mer+Ven+Mar+Sat,4,False,106,106.18,106.23,99.83,1.0,125,106.47,106.45,117.4,0.1021,-17.58,1
48,Jup+Sat,2,False,61,53.39,53.42,114.25,0.3452,77,53.54,53.53,143.82,0.0052,-29.57,1
49,Mer+Jup+Sat,3,False,86,79.8,79.85,107.77,0.5467,110,80.12,80.11,137.3,0.0049,-29.53,1
50,Ven+Jup+Sat,3,False,84,79.88,79.92,105.16,0.6838,106,80.06,80.04,132.4,0.008,-27.24,1
51,Mer+Ven+Jup+Sat,4,False,109,106.13,106.21,102.7,0.8221,139,106.49,106.47,130.53,0.0055,-27.83,1
56,Mar+Jup+Sat,3,False,90,79.93,79.91,112.6,0.307,104,80.02,80.04,129.97,0.0198,-17.37,1
57,Mer+Mar+Jup+Sat,4,False,115,106.19,106.2,108.3,0.4446,137,106.45,106.47,128.7,0.0111,-20.4,1
58,Ven+Mar+Jup+Sat,4,False,113,106.26,106.26,106.34,0.5536,133,106.39,106.4,125.01,0.0185,-18.68,1
59,Mer+Ven+Mar+Jup+Sat,5,False,138,132.38,132.41,104.25,0.6682,166,132.67,132.68,125.12,0.0104,-20.87,1
64,Ura,1,False,32,26.81,26.79,119.35,0.344,24,26.75,26.74,89.72,0.7238,29.63,1
65,Mer+Ura,2,False,59,53.38,53.39,110.53,0.4954,57,53.49,53.48,106.55,0.6805,3.98,1
66,Ven+Ura,2,False,55,53.45,53.44,102.91,0.8556,53,53.41,53.4,99.23,1.0,3.68,1
67,Mer+Ven+Ura,3,False,82,79.86,79.89,102.68,0.8424,86,80.01,79.98,107.49,0.5459,-4.81,1
72,Mar+Ura,2,False,63,53.5,53.43,117.76,0.2446,51,53.38,53.4,95.54,0.852,22.23,1
73,Mer+Mar+Ura,3,False,90,79.92,79.88,112.62,0.3105,84,79.98,79.99,105.03,0.6921,7.59,1
74,Ven+Mar+Ura,3,False,86,79.98,79.93,107.52,0.5388,80,79.9,79.91,100.13,1.0,7.39,1
75,Mer+Ven+Mar+Ura,4,False,113,106.25,106.24,106.35,0.5543,113,106.34,106.35,106.26,0.5575,0.09,1
80,Jup+Ura,2,False,66,53.45,53.42,123.47,0.1192,65,53.41,53.42,121.71,0.1636,1.76,1
81,Mer+Jup+Ura,3,False,91,79.87,79.87,113.93,0.2531,98,80.0,80.01,122.5,0.0766,-8.57,1
82,Ven+Jup+Ura,3,False,89,79.94,79.92,111.34,0.3423,94,79.92,79.93,117.62,0.1467,-6.28,1
83,Mer+Ven+Jup+Ura,4,False,114,106.2,106.22,107.34,0.4845,127,106.36,106.36,119.4,0.0697,-12.06,1
88,Mar+Jup+Ura,3,False,96,79.99,79.9,120.02,0.108,92,79.89,79.93,115.16,0.2358,4.86,1
89,Mer+Mar+Jup+Ura,4,False,121,106.26,106.21,113.87,0.1956,125,106.33,106.37,117.55,0.1112,-3.68,1
