Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,46,26.65,26.8,172.59,0.792,0,26.95,26.8,0.0,0.9217,172.59,1
5,Mer+Ear,2,True,72,53.26,53.38,135.19,0.7668,33,53.7,53.53,61.45,0.8466,73.74,1
6,Ven+Ear,2,True,68,53.33,53.45,127.52,0.8396,29,53.61,53.46,54.09,0.6805,73.42,1
7,Mer+Ven+Ear,3,True,94,79.78,79.89,117.82,0.8249,62,80.21,80.04,77.3,0.8495,40.53,1
12,Ear+Mar,2,True,77,53.26,53.43,144.56,0.6298,27,53.63,53.46,50.34,0.5506,94.22,1
13,Mer+Ear+Mar,3,True,103,79.72,79.88,129.21,0.6176,60,80.24,80.04,74.78,0.7811,54.43,1
14,Ven+Ear+Mar,3,True,99,79.79,79.94,124.07,0.7273,56,80.14,79.97,69.88,0.6371,54.2,1
15,Mer+Ven+Ear+Mar,4,True,125,106.1,106.23,117.82,0.7145,89,106.6,106.4,83.49,0.8158,34.33,1
20,Ear+Jup,2,True,81,53.32,53.42,151.9,0.4872,41,53.64,53.48,76.44,0.9726,75.47,1
21,Mer+Ear+Jup,3,True,105,79.78,79.86,131.61,0.5597,74,80.24,80.06,92.23,0.9923,39.38,1
22,Ven+Ear+Jup,3,True,103,79.85,79.93,128.99,0.6243,70,80.14,79.99,87.34,0.9743,41.65,1
23,Mer+Ven+Ear+Jup,4,True,127,106.16,106.22,119.63,0.6668,103,106.6,106.42,96.63,1.0,23.01,1
28,Ear+Mar+Jup,3,True,111,79.79,79.91,139.12,0.3657,68,80.17,79.99,84.82,0.9479,54.3,1
29,Mer+Ear+Mar+Jup,4,True,135,106.09,106.21,127.25,0.4438,101,106.62,106.42,94.73,0.9886,32.52,1
30,Ven+Ear+Mar+Jup,4,True,133,106.17,106.27,125.27,0.4994,97,106.52,106.35,91.06,0.9585,34.21,1
31,Mer+Ven+Ear+Mar+Jup,5,True,157,132.33,132.42,118.65,0.5529,130,132.83,132.63,97.87,1.0,20.78,1
36,Ear+Sat,2,True,72,53.28,53.44,135.13,0.7658,36,53.68,53.51,67.07,0.9205,68.07,1
37,Mer+Ear+Sat,3,True,98,79.73,79.88,122.91,0.748,69,80.27,80.09,85.96,0.9531,36.95,1
38,Ven+Ear+Sat,3,True,94,79.81,79.94,117.78,0.8278,65,80.19,80.02,81.06,0.9138,36.72,1
39,Mer+Ven+Ear+Sat,4,True,120,106.11,106.23,113.09,0.8135,98,106.64,106.45,91.9,0.9631,21.19,1
44,Ear+Mar+Sat,3,True,102,79.75,79.93,127.91,0.6423,63,80.21,80.02,78.54,0.8671,49.36,1
45,Mer+Ear+Mar+Sat,4,True,128,106.05,106.22,120.7,0.6327,96,106.66,106.45,90.01,0.9362,30.7,1
46,Ven+Ear+Mar+Sat,4,True,124,106.13,106.29,116.84,0.7351,92,106.57,106.38,86.33,0.8854,30.51,1
47,Mer+Ven+Ear+Mar+Sat,5,True,150,132.28,132.43,113.39,0.725,125,132.88,132.66,94.07,0.9527,19.32,1
52,Ear+Jup+Sat,3,True,106,79.81,79.92,132.82,0.5223,77,80.22,80.04,95.99,0.9951,36.82,1
53,Mer+Ear+Jup+Sat,4,True,130,106.12,106.21,122.51,0.5808,110,106.66,106.47,103.13,0.9491,19.38,1
54,Ven+Ear+Jup+Sat,4,True,128,106.19,106.27,120.54,0.6385,106,106.57,106.4,99.46,0.9791,21.07,1
55,Mer+Ven+Ear+Jup+Sat,5,True,152,132.35,132.42,114.85,0.6753,139,132.87,132.68,104.61,0.9173,10.24,1
60,Ear+Mar+Jup+Sat,4,True,135,106.13,106.26,127.21,0.44,104,106.6,106.4,97.56,0.9945,29.64,1
61,Mer+Ear+Mar+Jup+Sat,5,True,159,132.28,132.4,120.2,0.4923,137,132.9,132.68,103.09,0.9378,17.11,1
62,Ven+Ear+Mar+Jup+Sat,5,True,157,132.37,132.47,118.61,0.5494,133,132.81,132.61,100.15,0.9748,18.47,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,181,158.37,158.47,114.29,0.5931,166,158.97,158.75,104.42,0.8999,9.86,1
68,Ear+Ura,2,True,78,53.26,53.44,146.45,0.6027,24,53.54,53.4,44.83,0.3179,101.62,1
69,Mer+Ear+Ura,3,True,104,79.72,79.89,130.45,0.5947,57,80.14,79.98,71.12,0.6686,59.33,1
70,Ven+Ear+Ura,3,True,100,79.79,79.94,125.34,0.7075,53,80.04,79.9,66.21,0.4786,59.12,1
71,Mer+Ven+Ear+Ura,4,True,126,106.1,106.24,118.76,0.6932,86,106.5,106.34,80.75,0.7305,38.01,1
76,Ear+Mar+Ura,3,True,109,79.72,79.93,136.72,0.4312,51,80.07,79.91,63.7,0.3926,73.02,1
77,Mer+Ear+Mar+Ura,4,True,135,106.04,106.23,127.32,0.4437,84,106.53,106.35,78.85,0.6588,48.46,1
78,Ven+Ear+Mar+Ura,4,True,131,106.1,106.28,123.46,0.559,80,106.43,106.27,75.17,0.5064,48.29,1
79,Mer+Ven+Ear+Mar+Ura,5,True,157,132.27,132.44,118.7,0.5554,113,132.74,132.56,85.13,0.721,33.57,1
