Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,142,60.13,60.26,236.17,0.3411,0,60.68,60.24,0.0,0.9302,236.17,1
5,Mer+Ear,2,True,204,120.49,120.67,169.31,0.3147,62,119.89,119.61,51.71,0.6071,117.59,1
6,Ven+Ear,2,True,205,119.88,120.15,171.0,0.2939,59,120.44,120.16,48.99,0.4619,122.01,1
7,Mer+Ven+Ear,3,True,267,179.92,180.23,148.4,0.2671,120,179.32,179.2,66.92,0.5251,81.48,1
12,Ear+Mar,2,True,206,120.47,120.45,171.0,0.2875,63,120.25,119.86,52.39,0.6315,118.61,1
13,Mer+Ear+Mar,3,True,268,180.49,180.54,148.49,0.2599,125,179.13,178.91,69.78,0.6531,78.71,1
14,Ven+Ear+Mar,3,True,269,179.87,180.02,149.55,0.238,122,179.68,179.45,67.9,0.5815,81.65,1
15,Mer+Ven+Ear+Mar,4,True,331,239.57,239.76,138.17,0.2132,183,238.23,238.17,76.82,0.6187,61.35,1
20,Ear+Jup,2,True,209,120.35,120.38,173.66,0.2511,59,120.39,119.93,49.01,0.4659,124.65,1
21,Mer+Ear+Jup,3,True,270,180.36,180.46,149.7,0.236,121,179.27,178.98,67.49,0.5591,82.21,1
22,Ven+Ear+Jup,3,True,271,179.78,179.94,150.74,0.2188,117,179.81,179.52,65.07,0.4139,85.67,1
23,Mer+Ven+Ear+Jup,4,True,332,239.46,239.69,138.64,0.2168,178,238.36,238.24,74.68,0.4935,63.97,1
28,Ear+Mar+Jup,3,True,273,180.35,180.24,151.37,0.198,122,179.63,179.22,67.92,0.5767,83.46,1
29,Mer+Ear+Mar+Jup,4,True,334,240.01,239.99,139.16,0.1956,184,238.18,237.94,77.25,0.6275,61.91,1
30,Ven+Ear+Mar+Jup,4,True,335,239.43,239.47,139.92,0.1736,180,238.72,238.48,75.4,0.5295,64.52,1
