Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,36,26.56,26.46,135.55,0.1356,21,25.12,25.1,83.58,0.5835,51.97,1
2,Ven,1,False,37,25.91,25.77,142.8,0.1616,30,25.66,25.76,116.93,0.5267,25.87,1
3,Mer+Ven,2,False,73,52.32,52.08,139.51,0.0456,51,50.65,50.72,100.7,0.9674,38.82,1
8,Mar,1,False,38,25.67,25.75,148.06,0.13,16,25.78,25.78,62.07,0.2028,85.99,1
9,Mer+Mar,2,False,74,52.07,52.06,142.12,0.0352,37,50.77,50.74,72.88,0.1516,69.24,1
10,Ven+Mar,2,False,75,51.44,51.38,145.8,0.0352,46,51.3,51.4,89.67,0.6863,56.13,1
11,Mer+Ven+Mar,3,False,111,77.7,77.54,142.86,0.0108,67,76.16,76.22,87.98,0.4887,54.88,1
16,Jup,1,False,28,25.85,25.87,108.3,0.7075,34,25.66,25.67,132.51,0.1948,-24.21,1
17,Mer+Jup,2,False,64,52.27,52.18,122.45,0.202,55,50.64,50.63,108.6,0.6199,13.85,1
18,Ven+Jup,2,False,64,51.63,51.5,123.96,0.2088,64,51.19,51.29,125.03,0.2,-1.08,1
19,Mer+Ven+Jup,3,False,100,77.9,77.66,128.37,0.0608,85,76.04,76.11,111.79,0.4435,16.58,1
24,Mar+Jup,2,False,66,51.37,51.47,128.47,0.1652,50,51.3,51.31,97.48,0.963,31.0,1
25,Mer+Mar+Jup,3,False,102,77.63,77.64,131.39,0.046,71,76.15,76.13,93.24,0.6983,38.15,1
26,Ven+Mar+Jup,3,False,102,77.02,76.96,132.44,0.05,80,76.69,76.78,104.32,0.7626,28.12,1
27,Mer+Ven+Mar+Jup,4,False,138,103.13,102.98,133.81,0.0172,101,101.41,101.47,99.6,1.0,34.21,1
32,Sat,1,False,34,25.9,25.93,131.25,0.2472,16,25.64,25.6,62.4,0.13,68.86,1
33,Mer+Sat,2,False,69,52.32,52.24,131.89,0.0768,37,50.62,50.56,73.09,0.1212,58.8,1
34,Ven+Sat,2,False,71,51.67,51.56,137.42,0.0592,46,51.15,51.22,89.93,0.6679,47.49,1
35,Mer+Ven+Sat,3,False,106,77.93,77.72,136.01,0.0232,67,76.0,76.04,88.16,0.4759,47.85,1
40,Mar+Sat,2,False,71,51.42,51.54,138.08,0.0576,32,51.27,51.24,62.41,0.0392,75.67,1
41,Mer+Mar+Sat,3,False,106,77.68,77.7,136.46,0.0228,53,76.12,76.06,69.63,0.0372,66.84,1
42,Ven+Mar+Sat,3,False,108,77.05,77.03,140.17,0.0168,62,76.65,76.71,80.89,0.2364,59.29,1
43,Mer+Ven+Mar+Sat,4,False,143,103.16,103.04,138.62,0.0068,83,101.36,101.4,81.89,0.1832,56.73,1
48,Jup+Sat,2,False,62,51.6,51.66,120.15,0.2703,50,51.16,51.13,97.73,0.9838,22.41,1
49,Mer+Jup+Sat,3,False,97,77.87,77.82,124.57,0.096,71,76.0,75.95,93.42,0.6923,31.15,1
50,Ven+Jup+Sat,3,False,98,77.23,77.14,126.89,0.0788,80,76.54,76.61,104.52,0.7451,22.37,1
51,Mer+Ven+Jup+Sat,4,False,133,103.36,103.16,128.68,0.0324,101,101.25,101.29,99.76,1.0,28.92,1
56,Mar+Jup+Sat,3,False,99,76.97,77.12,128.62,0.0768,66,76.65,76.62,86.1,0.3723,42.51,1
57,Mer+Mar+Jup+Sat,4,False,134,103.09,103.13,129.99,0.028,87,101.36,101.31,85.83,0.2799,44.15,1
58,Ven+Mar+Jup+Sat,4,False,135,102.47,102.46,131.75,0.02,96,101.9,101.96,94.21,0.7127,37.54,1
59,Mer+Ven+Mar+Jup+Sat,5,False,170,128.44,128.33,132.36,0.0068,117,126.47,126.51,92.51,0.5599,39.85,1
64,Ura,1,False,25,25.48,25.34,98.11,1.0,25,26.1,26.17,95.78,0.923,2.33,1
65,Mer+Ura,2,False,61,51.91,51.67,117.51,0.3027,45,51.1,51.13,88.06,0.5043,29.46,1
66,Ven+Ura,2,False,62,51.25,50.98,120.96,0.2575,55,51.62,51.79,106.56,0.7207,14.41,1
