SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC21,1976-03,1986-08,151,Mercury,1,Conjunction,1,0.9,111.68,1.0,0.11
SC21,1976-03,1986-08,151,Mercury,1,Opposition,0,0.79,0.0,0.933,-0.88
SC21,1976-03,1986-08,151,Venus,1,Conjunction,0,0.85,0.0,0.9026,-0.91
SC21,1976-03,1986-08,151,Venus,1,Opposition,0,0.84,0.0,0.8538,-0.91
SC21,1976-03,1986-08,151,Mars,1,Conjunction,0,0.88,0.0,0.8022,-0.96
SC21,1976-03,1986-08,151,Mars,1,Opposition,0,0.82,0.0,0.9422,-0.87
SC21,1976-03,1986-08,151,Jupiter,1,Conjunction,3,0.85,352.94,0.0652,2.56
SC21,1976-03,1986-08,151,Jupiter,1,Opposition,1,0.85,117.67,1.0,0.16
SC21,1976-03,1986-08,151,Saturn,1,Conjunction,0,0.85,0.0,0.7742,-0.99
SC21,1976-03,1986-08,151,Saturn,1,Opposition,0,0.81,0.0,0.991,-0.79
SC21,1976-03,1986-08,151,Uranus,1,Conjunction,3,0.78,384.91,0.1032,2.29
SC21,1976-03,1986-08,151,Uranus,1,Opposition,2,0.86,232.07,0.4555,1.1
SC21,1976-03,1986-08,151,Neptune,1,Conjunction,0,0.78,0.0,1.0,-0.81
SC21,1976-03,1986-08,151,Neptune,1,Opposition,1,0.91,110.06,1.0,0.09
SC21,1976-03,1986-08,151,Mercury,2,Conjunction,1,1.76,56.93,0.955,-0.57
SC21,1976-03,1986-08,151,Mercury,2,Opposition,0,1.59,0.0,0.3967,-1.3
SC21,1976-03,1986-08,151,Venus,2,Conjunction,0,1.7,0.0,0.4263,-1.27
SC21,1976-03,1986-08,151,Venus,2,Opposition,0,1.63,0.0,0.4035,-1.27
SC21,1976-03,1986-08,151,Mars,2,Conjunction,2,1.7,117.45,0.9882,0.23
SC21,1976-03,1986-08,151,Mars,2,Opposition,1,1.61,62.03,1.0,-0.48
SC21,1976-03,1986-08,151,Jupiter,2,Conjunction,4,1.73,230.95,0.1564,1.99
SC21,1976-03,1986-08,151,Jupiter,2,Opposition,1,1.64,61.09,1.0,-0.53
SC21,1976-03,1986-08,151,Saturn,2,Conjunction,1,1.73,57.84,1.0,-0.55
SC21,1976-03,1986-08,151,Saturn,2,Opposition,0,1.64,0.0,0.4263,-1.2
SC21,1976-03,1986-08,151,Uranus,2,Conjunction,3,1.64,183.35,0.4663,0.96
SC21,1976-03,1986-08,151,Uranus,2,Opposition,3,1.76,170.55,0.5379,0.85
SC21,1976-03,1986-08,151,Neptune,2,Conjunction,3,1.49,200.72,0.4299,1.04
SC21,1976-03,1986-08,151,Neptune,2,Opposition,1,1.84,54.23,0.9818,-0.55
SC21,1976-03,1986-08,151,Mercury,3,Conjunction,1,2.71,36.86,0.5319,-1.01
SC21,1976-03,1986-08,151,Mercury,3,Opposition,0,2.37,0.0,0.2004,-1.58
SC21,1976-03,1986-08,151,Venus,3,Conjunction,1,2.52,39.7,0.6083,-0.93
SC21,1976-03,1986-08,151,Venus,3,Opposition,2,2.52,79.26,1.0,-0.32
SC21,1976-03,1986-08,151,Mars,3,Conjunction,3,2.59,115.63,0.9846,0.25
SC21,1976-03,1986-08,151,Mars,3,Opposition,1,2.42,41.29,0.5583,-0.93
SC21,1976-03,1986-08,151,Jupiter,3,Conjunction,5,2.57,194.33,0.1652,1.83
SC21,1976-03,1986-08,151,Jupiter,3,Opposition,1,2.43,41.16,0.5575,-1.02
SC21,1976-03,1986-08,151,Saturn,3,Conjunction,5,2.58,193.75,0.2348,1.48
SC21,1976-03,1986-08,151,Saturn,3,Opposition,1,2.46,40.61,0.6475,-0.88
SC21,1976-03,1986-08,151,Uranus,3,Conjunction,3,2.48,121.15,0.8962,0.31
SC21,1976-03,1986-08,151,Uranus,3,Opposition,3,2.59,115.71,0.9278,0.23
SC21,1976-03,1986-08,151,Neptune,3,Conjunction,4,2.29,174.95,0.4727,0.92
SC21,1976-03,1986-08,151,Neptune,3,Opposition,2,2.82,70.89,0.9546,-0.42
SC21,1976-03,1986-08,151,Mercury,4,Conjunction,2,3.6,55.51,0.6647,-0.78
SC21,1976-03,1986-08,151,Mercury,4,Opposition,1,3.2,31.26,0.3059,-1.3
SC21,1976-03,1986-08,151,Venus,4,Conjunction,2,3.34,59.96,0.7838,-0.7
SC21,1976-03,1986-08,151,Venus,4,Opposition,3,3.33,90.2,1.0,-0.18
SC21,1976-03,1986-08,151,Mars,4,Conjunction,3,3.48,86.16,1.0,-0.26
SC21,1976-03,1986-08,151,Mars,4,Opposition,4,3.25,123.21,0.7922,0.44
SC21,1976-03,1986-08,151,Jupiter,4,Conjunction,5,3.44,145.54,0.4495,1.09
SC21,1976-03,1986-08,151,Jupiter,4,Opposition,1,3.27,30.53,0.2819,-1.44
SC21,1976-03,1986-08,151,Saturn,4,Conjunction,5,3.43,145.7,0.5767,0.83
SC21,1976-03,1986-08,151,Saturn,4,Opposition,1,3.32,30.15,0.3439,-1.21
SC21,1976-03,1986-08,151,Uranus,4,Conjunction,3,3.27,91.63,1.0,-0.14
SC21,1976-03,1986-08,151,Uranus,4,Opposition,4,3.51,113.86,0.9234,0.23
SC21,1976-03,1986-08,151,Neptune,4,Conjunction,6,3.01,199.18,0.3199,1.34
SC21,1976-03,1986-08,151,Neptune,4,Opposition,3,3.72,80.73,0.9766,-0.31
SC21,1976-03,1986-08,151,Mercury,5,Conjunction,2,4.46,44.87,0.4755,-1.01
SC21,1976-03,1986-08,151,Mercury,5,Opposition,1,3.94,25.39,0.2116,-1.58
