Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,3,2.38,2.39,125.86,0.8512,2,2.4,2.4,83.39,1.0,42.47,1
2,Ven,1,False,2,2.37,2.38,84.23,1.0,3,2.38,2.39,125.88,0.8533,-41.65,1
3,Mer+Ven,2,False,5,4.75,4.76,105.36,1.0,5,4.77,4.77,104.84,1.0,0.52,1
8,Mar,1,False,1,2.43,2.43,41.21,0.5937,0,2.32,2.33,0.0,0.2268,41.21,1
9,Mer+Mar,2,False,4,4.79,4.81,83.42,0.9433,2,4.71,4.72,42.48,0.318,40.94,1
10,Ven+Mar,2,False,3,4.79,4.8,62.67,0.6031,3,4.69,4.71,63.93,0.6367,-1.26,1
11,Mer+Ven+Mar,3,False,6,7.14,7.16,83.99,0.8555,5,7.07,7.08,70.76,0.5934,13.24,1
16,Jup,1,False,6,2.41,2.41,248.73,0.0678,3,2.36,2.36,126.92,0.8522,121.81,1
17,Mer+Jup,2,False,9,4.78,4.79,188.17,0.1107,5,4.75,4.74,105.29,1.0,82.87,1
18,Ven+Jup,2,False,8,4.77,4.77,167.59,0.2313,6,4.73,4.73,126.73,0.6868,40.85,1
19,Mer+Ven+Jup,3,False,11,7.13,7.14,154.23,0.2262,8,7.11,7.1,112.57,0.8356,41.66,1
24,Mar+Jup,2,False,7,4.83,4.82,145.03,0.4174,3,4.67,4.68,64.2,0.6233,80.83,1
25,Mer+Mar+Jup,3,False,10,7.18,7.19,139.24,0.3781,5,7.04,7.05,70.97,0.5889,68.26,1
26,Ven+Mar+Jup,3,False,9,7.17,7.18,125.45,0.5946,6,7.03,7.04,85.34,0.8889,40.11,1
27,Mer+Ven+Mar+Jup,4,False,12,9.52,9.53,126.08,0.5103,8,9.39,9.4,85.19,0.8153,40.89,1
32,Sat,1,False,1,2.4,2.39,41.74,0.6004,4,2.38,2.38,168.32,0.4511,-126.58,1
33,Mer+Sat,2,False,4,4.77,4.77,83.92,0.9638,6,4.76,4.77,125.99,0.6889,-42.07,1
34,Ven+Sat,2,False,3,4.76,4.76,63.06,0.6097,7,4.75,4.76,147.48,0.412,-84.42,1
35,Mer+Ven+Sat,3,False,6,7.12,7.12,84.32,0.8621,9,7.12,7.13,126.41,0.5781,-42.09,1
40,Mar+Sat,2,False,2,4.81,4.81,41.59,0.2719,4,4.69,4.7,85.34,0.9777,-43.75,1
41,Mer+Mar+Sat,3,False,5,7.16,7.17,69.79,0.5516,6,7.06,7.07,84.98,0.8684,-15.19,1
42,Ven+Mar+Sat,3,False,4,7.16,7.16,55.89,0.3239,7,7.04,7.06,99.37,1.0,-43.48,1
43,Mer+Ven+Mar+Sat,4,False,7,9.5,9.51,73.68,0.5347,9,9.41,9.42,95.69,1.0,-22.01,1
48,Jup+Sat,2,False,7,4.8,4.78,145.9,0.4045,7,4.73,4.73,148.06,0.398,-2.16,1
49,Mer+Jup+Sat,3,False,10,7.16,7.15,139.75,0.3678,9,7.1,7.1,126.76,0.5773,13.0,1
50,Ven+Jup+Sat,3,False,9,7.15,7.14,125.94,0.584,10,7.09,7.09,141.14,0.3638,-15.2,1
51,Mer+Ven+Jup+Sat,4,False,12,9.49,9.49,126.42,0.496,12,9.45,9.45,127.05,0.4861,-0.62,1
56,Mar+Jup+Sat,3,False,8,7.2,7.19,111.13,0.8708,7,7.03,7.04,99.64,1.0,11.48,1
57,Mer+Mar+Jup+Sat,4,False,11,9.54,9.54,115.29,0.7184,9,9.38,9.39,95.9,1.0,19.39,1
58,Ven+Mar+Jup+Sat,4,False,10,9.53,9.53,104.89,0.9739,10,9.37,9.38,106.72,0.926,-1.84,1
59,Mer+Ven+Mar+Jup+Sat,5,False,13,11.86,11.87,109.57,0.8155,12,11.72,11.73,102.41,1.0,7.16,1
64,Ura,1,False,4,2.39,2.4,167.12,0.4573,3,2.38,2.39,125.83,0.8555,41.29,1
65,Mer+Ura,2,False,7,4.76,4.78,146.93,0.4218,5,4.77,4.77,104.81,1.0,42.12,1
66,Ven+Ura,2,False,6,4.75,4.76,126.2,0.6904,6,4.75,4.76,126.19,0.6943,0.01,1
67,Mer+Ven+Ura,3,False,9,7.11,7.13,126.53,0.5861,8,7.13,7.13,112.22,0.8437,14.31,1
72,Mar+Ura,2,False,5,4.81,4.82,104.04,1.0,3,4.69,4.7,63.9,0.6252,40.14,1
73,Mer+Mar+Ura,3,False,8,7.16,7.18,111.72,0.8591,5,7.07,7.07,70.74,0.5873,40.98,1
74,Ven+Mar+Ura,3,False,7,7.15,7.17,97.86,1.0,6,7.05,7.07,85.08,0.8921,12.79,1
75,Mer+Ven+Mar+Ura,4,False,10,9.5,9.52,105.31,0.9604,8,9.41,9.42,84.98,0.8101,20.33,1
80,Jup+Ura,2,False,10,4.79,4.79,208.59,0.043,6,4.74,4.73,126.65,0.695,81.93,1
81,Mer+Jup+Ura,3,False,13,7.15,7.16,181.77,0.0558,8,7.11,7.1,112.51,0.8425,69.26,1
82,Ven+Jup+Ura,3,False,12,7.14,7.14,168.02,0.123,9,7.1,7.09,126.84,0.5784,41.18,1
83,Mer+Ven+Jup+Ura,4,False,15,9.49,9.5,158.1,0.1219,11,9.46,9.45,116.33,0.7027,41.77,1
88,Mar+Jup+Ura,3,False,11,7.19,7.2,152.91,0.2158,6,7.03,7.04,85.3,0.8756,67.61,1
89,Mer+Mar+Jup+Ura,4,False,14,9.54,9.55,146.8,0.2023,8,9.39,9.4,85.15,0.8029,61.65,1
90,Ven+Mar+Jup+Ura,4,False,13,9.53,9.54,136.44,0.3282,9,9.38,9.39,95.95,1.0,40.49,1
91,Mer+Ven+Mar+Jup+Ura,5,False,16,11.86,11.88,134.92,0.2885,11,11.73,11.73,93.79,0.9891,41.13,1
96,Sat+Ura,2,False,5,4.77,4.77,104.76,1.0,7,4.74,4.76,147.6,0.4068,-42.84,1
97,Mer+Sat+Ura,3,False,8,7.13,7.14,112.19,0.8429,9,7.12,7.13,126.47,0.5786,-14.27,1
98,Ven+Sat+Ura,3,False,7,7.12,7.13,98.29,1.0,10,7.1,7.12,140.84,0.3612,-42.55,1
99,Mer+Ven+Sat+Ura,4,False,10,9.47,9.48,105.63,0.9505,12,9.46,9.47,126.82,0.4946,-21.19,1
104,Mar+Sat+Ura,3,False,6,7.17,7.18,83.66,0.8366,7,7.04,7.06,99.41,1.0,-15.76,1
105,Mer+Mar+Sat+Ura,4,False,9,9.51,9.53,94.59,1.0,9,9.4,9.42,95.72,1.0,-1.12,1
106,Ven+Mar+Sat+Ura,4,False,8,9.51,9.52,84.15,0.7746,10,9.39,9.41,106.54,0.9264,-22.39,1
107,Mer+Ven+Mar+Sat+Ura,5,False,11,11.84,11.86,92.93,0.9521,12,11.74,11.75,102.25,1.0,-9.33,1
112,Jup+Sat+Ura,3,False,11,7.16,7.15,153.56,0.201,10,7.08,7.09,141.17,0.3538,12.38,1
113,Mer+Jup+Sat+Ura,4,False,14,9.51,9.51,147.24,0.1896,12,9.44,9.45,127.07,0.4892,20.18,1
114,Ven+Jup+Sat+Ura,4,False,13,9.5,9.49,136.86,0.3216,13,9.43,9.44,137.88,0.3174,-1.02,1
115,Mer+Ven+Jup+Sat+Ura,5,False,16,11.83,11.83,135.23,0.2825,15,11.78,11.78,127.37,0.4202,7.86,1
120,Mar+Jup+Sat+Ura,4,False,12,9.55,9.54,125.65,0.4805,10,9.37,9.38,106.74,0.9367,18.91,1
121,Mer+Mar+Jup+Sat+Ura,5,False,15,11.88,11.89,126.26,0.4232,12,11.72,11.73,102.42,1.0,23.85,1
122,Ven+Mar+Jup+Sat+Ura,5,False,14,11.87,11.87,117.92,0.6018,13,11.7,11.72,111.1,0.7847,6.82,1
123,Mer+Ven+Mar+Jup+Sat+Ura,6,False,17,14.19,14.2,119.8,0.5143,15,14.04,14.05,106.86,0.87,12.95,1
128,Nep,1,False,0,2.27,2.26,0.0,0.215,2,2.46,2.45,81.44,1.0,-81.44,1
129,Mer+Nep,2,False,3,4.64,4.64,64.72,0.6603,4,4.84,4.83,82.62,0.9456,-17.9,1
130,Ven+Nep,2,False,2,4.63,4.63,43.23,0.3503,5,4.82,4.82,103.64,1.0,-60.4,1
131,Mer+Ven+Nep,3,False,5,6.98,7.0,71.59,0.6263,7,7.2,7.19,97.25,1.0,-25.66,1
136,Mar+Nep,2,False,1,4.68,4.68,21.37,0.1092,2,4.77,4.77,41.96,0.3008,-20.59,1
137,Mer+Mar+Nep,3,False,4,7.03,7.05,56.87,0.3526,4,7.14,7.14,56.03,0.332,0.84,1
138,Ven+Mar+Nep,3,False,3,7.03,7.03,42.7,0.1731,5,7.12,7.13,70.2,0.584,-27.5,1
139,Mer+Ven+Mar+Nep,4,False,6,9.37,9.39,64.04,0.365,7,9.48,9.49,73.81,0.5525,-9.77,1
144,Jup+Nep,2,False,6,4.67,4.65,128.61,0.6581,5,4.81,4.8,104.04,1.0,24.57,1
145,Mer+Jup+Nep,3,False,9,7.02,7.02,128.15,0.5563,7,7.18,7.16,97.52,1.0,30.63,1
146,Ven+Jup+Nep,3,False,8,7.01,7.01,114.07,0.8156,8,7.16,7.16,111.7,0.8555,2.37,1
147,Mer+Ven+Jup+Nep,4,False,11,9.36,9.36,117.53,0.6825,10,9.52,9.51,105.01,0.959,12.52,1
152,Mar+Jup+Nep,3,False,7,7.07,7.06,99.06,1.0,5,7.1,7.1,70.39,0.5765,28.67,1
153,Mer+Mar+Jup+Nep,4,False,10,9.41,9.41,106.28,0.9284,7,9.46,9.46,73.97,0.5484,32.31,1
154,Ven+Mar+Jup+Nep,4,False,9,9.4,9.4,95.74,1.0,8,9.45,9.45,84.68,0.7966,11.05,1
155,Mer+Ven+Mar+Jup+Nep,5,False,12,11.73,11.74,102.29,1.0,10,11.79,11.79,84.78,0.7457,17.51,1
160,Sat+Nep,2,False,1,4.65,4.64,21.51,0.0967,6,4.82,4.82,124.45,0.6948,-102.94,1
161,Mer+Sat+Nep,3,False,4,7.01,7.0,57.09,0.3444,8,7.19,7.19,111.2,0.8596,-54.11,1
162,Ven+Sat+Nep,3,False,3,7.0,6.99,42.87,0.1644,9,7.18,7.18,125.4,0.5899,-82.53,1
163,Mer+Ven+Sat+Nep,4,False,6,9.34,9.35,64.22,0.3613,11,9.54,9.54,115.33,0.72,-51.11,1
168,Mar+Sat+Nep,3,False,2,7.05,7.04,28.37,0.0522,6,7.12,7.13,84.27,0.8533,-55.9,1
169,Mer+Mar+Sat+Nep,4,False,5,9.39,9.4,53.24,0.1807,8,9.48,9.48,84.38,0.7809,-31.14,1
