Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,4,2.38,2.38,168.38,0.7043,0,2.39,2.39,0.0,0.9696,168.38,1
5,Mer+Ear,2,True,7,4.76,4.76,147.07,0.5688,2,4.76,4.77,42.0,0.5849,105.07,1
6,Ven+Ear,2,True,6,4.74,4.75,126.51,0.757,3,4.76,4.76,62.99,0.833,63.52,1
7,Mer+Ven+Ear,3,True,9,7.11,7.11,126.52,0.66,5,7.12,7.13,70.19,0.7454,56.33,1
12,Ear+Mar,2,True,5,4.8,4.8,104.16,0.9601,0,4.7,4.71,0.0,0.1097,104.16,1
13,Mer+Ear+Mar,3,True,8,7.17,7.16,111.57,0.8633,2,7.06,7.08,28.31,0.1615,83.26,1
14,Ven+Ear+Mar,3,True,7,7.16,7.15,97.83,1.0,3,7.06,7.07,42.47,0.3229,55.36,1
15,Mer+Ven+Ear+Mar,4,True,10,9.51,9.5,105.12,0.9517,5,9.41,9.42,53.12,0.319,52.0,1
20,Ear+Jup,2,True,10,4.77,4.77,209.57,0.1658,3,4.72,4.73,63.53,0.8365,146.04,1
21,Mer+Ear+Jup,3,True,13,7.14,7.14,182.02,0.1501,5,7.08,7.1,70.58,0.7426,111.44,1
22,Ven+Ear+Jup,3,True,12,7.13,7.13,168.4,0.2348,6,7.08,7.09,84.7,0.9614,83.7,1
23,Mer+Ven+Ear+Jup,4,True,15,9.48,9.48,158.17,0.2078,8,9.43,9.45,84.81,0.8785,73.36,1
28,Ear+Mar+Jup,3,True,11,7.18,7.18,153.13,0.3497,3,7.02,7.04,42.71,0.3209,110.42,1
29,Mer+Ear+Mar+Jup,4,True,14,9.54,9.53,146.74,0.3065,5,9.37,9.4,53.34,0.3168,93.4,1
30,Ven+Ear+Mar+Jup,4,True,13,9.53,9.52,136.47,0.434,6,9.37,9.39,64.02,0.4958,72.45,1
31,Mer+Ven+Ear+Mar+Jup,5,True,16,11.87,11.86,134.79,0.38,8,11.71,11.73,68.33,0.4655,66.47,1
36,Ear+Sat,2,True,5,4.75,4.76,105.3,0.9461,4,4.75,4.76,84.2,1.0,21.1,1
37,Mer+Ear+Sat,3,True,8,7.12,7.12,112.37,0.8467,6,7.11,7.13,84.36,0.9628,28.01,1
38,Ven+Ear+Sat,3,True,7,7.1,7.11,98.57,1.0,7,7.11,7.12,98.41,1.0,0.16,1
39,Mer+Ven+Ear+Sat,4,True,10,9.46,9.46,105.71,0.9383,9,9.46,9.47,95.12,1.0,10.59,1
44,Ear+Mar+Sat,3,True,6,7.16,7.16,83.81,0.9397,4,7.05,7.07,56.71,0.5216,27.1,1
45,Mer+Ear+Mar+Sat,4,True,9,9.52,9.51,94.58,1.0,6,9.4,9.42,63.82,0.4872,30.76,1
46,Ven+Ear+Mar+Sat,4,True,8,9.5,9.5,84.21,0.8581,7,9.4,9.41,74.45,0.6881,9.75,1
47,Mer+Ven+Ear+Mar+Sat,5,True,11,11.84,11.84,92.87,0.9814,9,11.74,11.75,76.68,0.6362,16.19,1
