Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect
Flare_All,B-Class,1,Conjunction,7127,274,277.57,277.59,98.71,0.9034619307613848,-0.17,Suppression
Flare_All,B-Class,1,Opposition,7127,247,276.74,276.86,89.25,0.13287734245315094,-1.48,Suppression
Flare_All,B-Class,2,Conjunction,7127,556,554.86,555.14,100.2,0.9634207315853683,0.04,Enhancement
Flare_All,B-Class,2,Opposition,7127,524,553.62,553.74,94.65,0.34403311933761327,-0.96,Suppression
Flare_All,B-Class,3,Conjunction,7127,854,832.78,832.74,102.55,0.5965080698386033,0.52,Enhancement
Flare_All,B-Class,3,Opposition,7127,787,830.65,830.6,94.74,0.28199436011279777,-1.09,Suppression
Flare_All,B-Class,4,Conjunction,7127,1150,1110.11,1110.4,103.59,0.4237115257694846,0.81,Enhancement
Flare_All,B-Class,4,Opposition,7127,1051,1107.76,1107.47,94.88,0.24603507929841403,-1.18,Suppression
Flare_All,B-Class,5,Conjunction,7127,1444,1387.99,1388.05,104.04,0.33531329373412533,0.98,Enhancement
Flare_All,B-Class,5,Opposition,7127,1323,1384.54,1384.35,95.55,0.28447431051378974,-1.09,Suppression
Flare_All,B-Class,6,Conjunction,7127,1765,1665.61,1665.67,105.97,0.13823723525529488,1.53,Enhancement
Flare_All,B-Class,6,Opposition,7127,1608,1661.33,1661.26,96.79,0.4215515689686206,-0.83,Suppression
Flare_All,B-Class,7,Conjunction,7127,2065,1942.9,1943.28,106.28,0.1114777704445911,1.67,Enhancement
Flare_All,B-Class,7,Opposition,7127,1878,1938.95,1938.2,96.86,0.4090318193636127,-0.85,Suppression
Flare_All,B-Class,8,Conjunction,7127,2338,2221.09,2220.9,105.26,0.16567668646627068,1.45,Enhancement
Flare_All,B-Class,8,Opposition,7127,2126,2215.66,2215.13,95.95,0.26035479290414193,-1.14,Suppression
Flare_All,B-Class,9,Conjunction,7127,2619,2498.66,2498.45,104.82,0.1866762664746705,1.38,Enhancement
Flare_All,B-Class,9,Opposition,7127,2440,2492.87,2492.08,97.88,0.5659486810263795,-0.61,Suppression
Flare_All,B-Class,10,Conjunction,7127,2901,2775.03,2776.01,104.54,0.20207595848083038,1.33,Enhancement
Flare_All,B-Class,10,Opposition,7127,2747,2768.55,2769.06,99.22,0.8422231555368893,-0.23,Suppression
Flare_All,B-Class,11,Conjunction,7127,3181,3052.6,3053.56,104.21,0.2240755184896302,1.27,Enhancement
Flare_All,B-Class,11,Opposition,7127,3007,3046.38,3046.06,98.71,0.7130257394852103,-0.39,Suppression
Flare_All,B-Class,12,Conjunction,7127,3445,3330.28,3331.08,103.44,0.2982740345193096,1.07,Enhancement
Flare_All,B-Class,12,Opposition,7127,3279,3322.65,3323.04,98.69,0.7048659026819464,-0.41,Suppression
Flare_All,B-Class,13,Conjunction,7127,3752,3608.03,3608.57,103.99,0.2252354952900942,1.25,Enhancement
Flare_All,B-Class,13,Opposition,7127,3550,3598.93,3600.05,98.64,0.6812263754724905,-0.43,Suppression
Flare_All,B-Class,14,Conjunction,7127,4032,3886.9,3886.02,103.73,0.24427511449771006,1.2,Enhancement
Flare_All,B-Class,14,Opposition,7127,3830,3877.05,3877.06,98.79,0.7203055938881222,-0.39,Suppression
Flare_All,B-Class,15,Conjunction,7127,4309,4163.96,4163.44,103.48,0.2705545889082218,1.13,Enhancement
Flare_All,B-Class,15,Opposition,7127,4096,4153.88,4154.06,98.61,0.6701065978680426,-0.45,Suppression
Flare_All,B-Class,16,Conjunction,7127,4589,4441.26,4440.83,103.33,0.28475430491390175,1.1,Enhancement
Flare_All,B-Class,16,Opposition,7127,4383,4430.34,4431.06,98.93,0.743145137097258,-0.35,Suppression
Flare_All,B-Class,17,Conjunction,7127,4847,4718.49,4718.23,102.72,0.3658726825463491,0.91,Enhancement
