Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect
Flare_All,B-Class,1,Conjunction,7127,265,272.91,273.02,97.1,0.7224655506889862,-0.4,Suppression
Flare_All,B-Class,1,Opposition,7127,244,272.48,272.31,89.55,0.14499710005799885,-1.45,Suppression
Flare_All,B-Class,2,Conjunction,7127,526,537.05,537.03,97.94,0.741905161896762,-0.37,Suppression
Flare_All,B-Class,2,Opposition,7127,503,535.99,535.72,93.85,0.2658746825063499,-1.12,Suppression
Flare_All,B-Class,3,Conjunction,7127,783,791.99,792.36,98.86,0.8447431051378972,-0.23,Suppression
Flare_All,B-Class,3,Opposition,7127,745,790.9,790.42,94.2,0.22879542409151818,-1.22,Suppression
Flare_All,B-Class,4,Conjunction,7127,1034,1038.82,1039.26,99.54,0.9389012219755605,-0.11,Suppression
Flare_All,B-Class,4,Opposition,7127,973,1037.11,1036.69,93.82,0.16439671206575868,-1.4,Suppression
Flare_All,B-Class,5,Conjunction,7127,1292,1277.86,1277.89,101.11,0.7997040059198816,0.27,Enhancement
Flare_All,B-Class,5,Opposition,7127,1206,1275.78,1274.75,94.53,0.19099618007639846,-1.32,Suppression
Flare_All,B-Class,6,Conjunction,7127,1546,1508.66,1508.46,102.48,0.5505489890202196,0.62,Enhancement
Flare_All,B-Class,6,Opposition,7127,1446,1506.55,1504.86,95.98,0.32295354092918144,-1.01,Suppression
Flare_All,B-Class,7,Conjunction,7127,1776,1731.76,1731.24,102.55,0.5218295634087319,0.66,Enhancement
Flare_All,B-Class,7,Opposition,7127,1665,1729.83,1727.23,96.25,0.34319313613727725,-0.97,Suppression
Flare_All,B-Class,8,Conjunction,7127,1980,1947.41,1946.44,101.67,0.6764664706705866,0.44,Enhancement
Flare_All,B-Class,8,Opposition,7127,1841,1944.79,1942.04,94.66,0.1632367352652947,-1.4,Suppression
Flare_All,B-Class,9,Conjunction,7127,2163,2156.01,2154.23,100.32,0.9712605747885042,0.09,Enhancement
Flare_All,B-Class,9,Opposition,7127,2079,2153.31,2149.53,96.55,0.36851262974740506,-0.91,Suppression
Flare_All,B-Class,10,Conjunction,7127,2357,2357.53,2354.87,99.98,0.9629007419851603,-0.01,Suppression
Flare_All,B-Class,10,Opposition,7127,2292,2354.46,2349.93,97.35,0.4893102137957241,-0.71,Suppression
Flare_All,B-Class,11,Conjunction,7127,2526,2551.3,2548.57,99.01,0.744065118697626,-0.27,Suppression
