Body,Window,Type,k_obs,k_exp,Ratio_Freq,Avg_Area,Ratio_Amp,p_val,Effect,Stage,p_adj_bh,sig_fdr
SSB_lon,1,Conjunction,207,218.64,94.68,183.04,60.290000915527344,0.452983778420607,Suppression,Flare_All,0.8089424644189322,False
SSB_lon,1,Opposition,229,217.28,105.39,274.89,90.54000091552734,0.4423998825101221,Enhancement,Flare_All,0.8688399847694684,False
SSB_lon,2,Conjunction,422,438.05,96.34,171.45,56.470001220703125,0.4571338744002893,Suppression,Flare_All,0.7491854230415309,False
SSB_lon,2,Opposition,458,435.26,105.22,255.04,84.01000213623047,0.284210095103094,Enhancement,Flare_All,0.6645751026213066,False
SSB_lon,3,Conjunction,646,657.13,98.31,245.03,80.70999908447266,0.679736848923659,Suppression,Flare_All,0.8603734382530077,False
SSB_lon,3,Opposition,665,653.08,101.83,262.54,86.4800033569336,0.6485521039725617,Enhancement,Flare_All,0.9077404896103418,False
SSB_lon,4,Conjunction,857,875.75,97.86,273.28,90.01000213623047,0.5350951301998735,Suppression,Flare_All,0.7570820592139516,False
SSB_lon,4,Opposition,890,871.01,102.18,260.58,85.83000183105469,0.5243111208737103,Enhancement,Flare_All,0.7912477152332515,False
SSB_lon,5,Conjunction,1060,1093.89,96.9,291.29,95.9499969482422,0.305640685368268,Suppression,Flare_All,0.5246271984013567,False
SSB_lon,5,Opposition,1121,1089.05,102.93,259.69,85.54000091552734,0.3336182921335106,Enhancement,Flare_All,0.6073563779866474,False
SSB_lon,6,Conjunction,1275,1312.67,97.13,276.19,90.97000122070312,0.2964470511505053,Suppression,Flare_All,0.49607888421441776,False
SSB_lon,6,Opposition,1362,1307.32,104.18,269.43,88.73999786376953,0.1288405434852504,Enhancement,Flare_All,0.3277669852181777,False
SSB_lon,7,Conjunction,1507,1531.2,98.42,278.69,91.79000091552734,0.53826029755521,Suppression,Flare_All,0.6959955172030116,False
SSB_lon,7,Opposition,1571,1524.97,103.02,299.31,98.58999633789062,0.234919702516131,Enhancement,Flare_All,0.4541393259037087,False
