Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,274,277.8,98.62,-0.19,0.8945,247,276.7,89.27,-1.47,0.1362
2,4,0.3,556,555.8,100.04,0.01,0.9823,524,553.8,94.63,-0.97,0.3362
3,6,0.45,854,832.7,102.56,0.52,0.5945,787,830.3,94.79,-1.08,0.286
4,8,0.61,1150,1110.1,103.59,0.82,0.4296,1051,1107.5,94.9,-1.16,0.2538
5,10,0.76,1444,1388.4,104.01,0.96,0.3428,1323,1384.8,95.54,-1.07,0.2946
6,12,0.91,1765,1666.2,105.93,1.52,0.1402,1608,1661.4,96.79,-0.84,0.4158
7,14,1.06,2065,1942.6,106.3,1.68,0.1098,1878,1938.6,96.87,-0.83,0.4128
8,16,1.21,2338,2222.0,105.22,1.44,0.1702,2126,2214.6,96.0,-1.11,0.2676
9,18,1.36,2619,2498.9,104.81,1.38,0.19,2440,2492.8,97.88,-0.61,0.5547
10,20,1.52,2901,2778.2,104.42,1.31,0.2104,2747,2768.3,99.23,-0.23,0.8465
11,22,1.67,3181,3054.1,104.15,1.26,0.2264,3007,3047.9,98.66,-0.41,0.7069
12,24,1.82,3445,3330.6,103.43,1.06,0.3018,3279,3324.7,98.62,-0.43,0.6773
13,26,1.97,3752,3609.7,103.94,1.25,0.2246,3550,3599.5,98.63,-0.43,0.6909
14,28,2.12,4032,3885.1,103.78,1.21,0.2428,3830,3876.4,98.8,-0.39,0.7161
15,30,2.27,4309,4162.6,103.52,1.15,0.2802,4096,4154.4,98.59,-0.45,0.6677
16,32,2.42,4589,4437.2,103.42,1.12,0.2744,4383,4431.0,98.92,-0.36,0.7415
17,34,2.58,4847,4717.6,102.74,0.92,0.3666,4631,4708.1,98.36,-0.55,0.6091
18,36,2.73,5114,4996.1,102.36,0.81,0.4176,4912,4986.7,98.5,-0.51,0.6205
19,38,2.88,5370,5274.1,101.82,0.62,0.5311,5167,5261.7,98.2,-0.63,0.5399
20,40,3.03,5623,5548.8,101.34,0.47,0.6159,5411,5540.6,97.66,-0.83,0.429
21,42,3.18,5915,5828.8,101.48,0.52,0.5863,5686,5814.9,97.78,-0.8,0.4422
22,44,3.33,6214,6105.2,101.78,0.63,0.5147,5944,6092.8,97.56,-0.88,0.3958
23,46,3.48,6508,6380.3,102.0,0.73,0.4752,6209,6372.0,97.44,-0.95,0.3562
24,48,3.64,6789,6661.5,101.91,0.7,0.4754,6511,6646.7,97.96,-0.76,0.4676
25,50,3.79,7066,6936.7,101.86,0.7,0.4842,6783,6925.5,97.94,-0.78,0.4532
26,52,3.94,7324,7217.1,101.48,0.56,0.5785,7033,7201.6,97.66,-0.9,0.3734
27,54,4.09,7602,7485.6,101.55,0.6,0.5481,7306,7478.8,97.69,-0.91,0.3742
28,56,4.24,7866,7767.9,101.26,0.49,0.6251,7577,7753.0,97.73,-0.9,0.383
29,58,4.39,8135,8047.6,101.09,0.42,0.6611,7836,8029.4,97.59,-0.97,0.3458
30,60,4.55,8412,8320.7,101.1,0.43,0.6463,8084,8308.0,97.3,-1.09,0.2826
31,62,4.7,8708,8603.3,101.22,0.49,0.6239,8344,8581.8,97.23,-1.13,0.2654
32,64,4.85,8971,8878.0,101.05,0.42,0.6611,8612,8858.4,97.22,-1.15,0.2634
33,66,5.0,9225,9158.1,100.73,0.3,0.7359,8884,9140.2,97.2,-1.17,0.257
34,68,5.15,9514,9435.7,100.83,0.34,0.7187,9131,9416.7,96.97,-1.28,0.2052
35,70,5.3,9800,9713.3,100.89,0.37,0.6897,9390,9694.1,96.86,-1.32,0.2008
36,72,5.45,10094,9989.5,101.05,0.44,0.6577,9672,9970.6,97.01,-1.28,0.218
37,74,5.61,10363,10261.2,100.99,0.42,0.6581,9954,10244.4,97.17,-1.23,0.2368
38,76,5.76,10664,10541.7,101.16,0.49,0.6275,10228,10525.6,97.17,-1.24,0.2254
39,78,5.91,10925,10819.9,100.97,0.41,0.6769,10509,10803.9,97.27,-1.2,0.2492
40,80,6.06,11183,11099.0,100.76,0.33,0.7173,10779,11081.9,97.27,-1.23,0.2408
41,82,6.21,11457,11372.4,100.74,0.33,0.7227,11051,11360.5,97.28,-1.23,0.2428
42,84,6.36,11733,11653.5,100.68,0.3,0.7495,11344,11633.3,97.51,-1.12,0.279
43,86,6.52,11990,11926.4,100.53,0.24,0.7717,11621,11912.0,97.56,-1.11,0.2914
44,88,6.67,12297,12209.5,100.72,0.32,0.7331,11865,12188.1,97.35,-1.22,0.2462
45,90,6.82,12566,12485.4,100.65,0.3,0.7383,12126,12468.8,97.25,-1.27,0.222
46,92,6.97,12842,12761.8,100.63,0.29,0.7579,12404,12745.1,97.32,-1.26,0.2334
47,94,7.12,13117,13034.1,100.64,0.29,0.7495,12660,13014.6,97.28,-1.32,0.206
48,96,7.27,13365,13313.1,100.39,0.18,0.8247,12926,13290.3,97.26,-1.33,0.206
49,98,7.42,13623,13591.8,100.23,0.11,0.8689,13193,13579.5,97.15,-1.41,0.1712
50,100,7.58,13926,13869.2,100.41,0.19,0.8179,13497,13847.2,97.47,-1.25,0.2334
