Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,1112,1036.9,107.24,1.99,0.0496,1070,1037.8,103.11,0.87,0.3898
2,4,0.3,2273,2073.8,109.6,3.34,0.0008,2077,2074.8,100.11,0.04,0.9713
3,6,0.45,3326,3110.9,106.92,2.65,0.0072,3111,3109.1,100.06,0.02,0.9915
4,8,0.61,4373,4149.6,105.38,2.24,0.0262,4168,4149.3,100.45,0.2,0.8625
5,10,0.76,5499,5186.0,106.03,2.65,0.0056,5268,5186.5,101.57,0.72,0.4792
6,12,0.91,6597,6221.4,106.04,2.74,0.0042,6328,6220.8,101.72,0.82,0.4158
7,14,1.06,7716,7262.0,106.25,2.96,0.0012,7381,7261.7,101.64,0.81,0.4262
8,16,1.21,8789,8297.0,105.93,2.94,0.0036,8430,8294.0,101.64,0.83,0.4096
9,18,1.36,9851,9335.4,105.52,2.83,0.0028,9442,9333.3,101.16,0.61,0.5623
10,20,1.52,10965,10370.4,105.73,3.02,0.0012,10530,10370.2,101.54,0.81,0.4246
11,22,1.67,12021,11409.3,105.36,2.85,0.0034,11493,11407.0,100.75,0.4,0.6939
12,24,1.82,13016,12448.6,104.56,2.51,0.0104,12555,12442.6,100.9,0.49,0.6379
13,26,1.97,14075,13483.3,104.39,2.5,0.01,13609,13480.6,100.95,0.52,0.6201
14,28,2.12,15155,14520.3,104.37,2.53,0.0102,14628,14518.3,100.76,0.42,0.6963
15,30,2.27,16151,15557.7,103.81,2.24,0.0178,15659,15549.5,100.7,0.39,0.7099
16,32,2.42,17247,16593.1,103.94,2.39,0.0162,16686,16589.0,100.58,0.33,0.7667
17,34,2.58,18272,17630.2,103.64,2.24,0.0206,17716,17631.8,100.48,0.27,0.8015
18,36,2.73,19317,18668.8,103.47,2.22,0.0214,18718,18659.1,100.32,0.18,0.8787
19,38,2.88,20316,19709.4,103.08,2.0,0.043,19752,19702.1,100.25,0.15,0.8975
20,40,3.03,21373,20742.5,103.04,1.98,0.0416,20797,20741.4,100.27,0.16,0.9037
21,42,3.18,22390,21778.4,102.81,1.86,0.0502,21873,21776.1,100.44,0.26,0.8139
22,44,3.33,23424,22817.5,102.66,1.81,0.0678,22907,22816.5,100.4,0.24,0.8307
23,46,3.48,24479,23854.5,102.62,1.82,0.062,23956,23850.4,100.44,0.27,0.8075
24,48,3.64,25494,24880.8,102.46,1.72,0.0786,25058,24890.8,100.67,0.42,0.6969
25,50,3.79,26554,25930.1,102.41,1.71,0.0834,26049,25925.5,100.48,0.3,0.7965
26,52,3.94,27618,26964.7,102.42,1.73,0.0798,27102,26959.5,100.53,0.34,0.7645
27,54,4.09,28617,28002.4,102.19,1.59,0.1044,28158,27998.6,100.57,0.37,0.7403
28,56,4.24,29634,29034.1,102.07,1.5,0.1308,29201,29033.1,100.58,0.38,0.7227
29,58,4.39,30677,30068.0,102.03,1.49,0.1386,30263,30074.1,100.63,0.41,0.7019
30,60,4.55,31733,31106.9,102.01,1.51,0.129,31395,31103.5,100.94,0.62,0.5577
31,62,4.7,32791,32152.5,101.99,1.52,0.1206,32445,32148.1,100.92,0.63,0.5359
32,64,4.85,33808,33191.2,101.86,1.43,0.1476,33448,33175.7,100.82,0.56,0.6015
33,66,5.0,34810,34220.9,101.72,1.33,0.1874,34483,34216.0,100.78,0.54,0.6113
34,68,5.15,35819,35263.6,101.57,1.23,0.2226,35529,35256.7,100.77,0.53,0.6137
35,70,5.3,36799,36300.7,101.37,1.09,0.2906,36533,36287.9,100.68,0.48,0.6625
36,72,5.45,37831,37329.6,101.34,1.08,0.2874,37579,37333.2,100.66,0.47,0.6513
37,74,5.61,38850,38367.1,101.26,1.04,0.3136,38612,38361.1,100.65,0.47,0.6521
38,76,5.76,39893,39408.6,101.23,1.01,0.3328,39694,39399.4,100.75,0.54,0.6225
39,78,5.91,40872,40440.7,101.07,0.89,0.3882,40692,40437.2,100.63,0.46,0.6653
40,80,6.06,41915,41471.6,101.07,0.91,0.3736,41703,41485.4,100.52,0.39,0.7157
41,82,6.21,42915,42516.6,100.94,0.81,0.4234,42759,42507.8,100.59,0.44,0.6867
42,84,6.36,43961,43550.7,100.94,0.83,0.415,43777,43547.9,100.53,0.39,0.7145
43,86,6.52,44988,44588.5,100.9,0.78,0.4372,44745,44584.6,100.36,0.27,0.8077
44,88,6.67,46025,45633.7,100.86,0.76,0.4542,45718,45618.6,100.22,0.17,0.8875
45,90,6.82,46998,46671.7,100.7,0.62,0.5553,46794,46659.1,100.29,0.23,0.8419
46,92,6.97,48059,47701.4,100.75,0.68,0.5171,47841,47700.6,100.29,0.23,0.8259
47,94,7.12,49046,48739.2,100.63,0.57,0.5817,48880,48727.8,100.31,0.25,0.8133
48,96,7.27,50061,49762.4,100.6,0.55,0.6043,49906,49758.0,100.3,0.24,0.8247
49,98,7.42,51083,50803.6,100.55,0.51,0.6297,50982,50802.4,100.35,0.29,0.7865
50,100,7.58,52125,51849.6,100.53,0.5,0.6439,52002,51829.7,100.33,0.27,0.8033
