Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,1606,1518.9,105.73,1.87,0.064,1556,1519.0,102.44,0.8,0.4294
2,4,0.3,3259,3037.7,107.28,3.02,0.0038,3044,3038.1,100.19,0.08,0.9325
3,6,0.45,4845,4555.8,106.35,2.91,0.003,4540,4552.9,99.72,-0.13,0.8731
4,8,0.61,6385,6077.6,105.06,2.52,0.0126,6077,6073.7,100.05,0.03,0.9825
5,10,0.76,8002,7596.0,105.34,2.81,0.0038,7662,7592.4,100.92,0.51,0.6107
6,12,0.91,9628,9112.9,105.65,3.09,0.0014,9206,9108.4,101.07,0.63,0.5301
7,14,1.06,11238,10635.8,105.66,3.23,0.0002,10736,10630.4,100.99,0.6,0.5569
8,16,1.21,12797,12151.7,105.31,3.16,0.001,12234,12142.2,100.76,0.47,0.6497
9,18,1.36,14340,13673.6,104.87,3.01,0.0024,13746,13666.6,100.58,0.37,0.7141
10,20,1.52,15956,15190.3,105.04,3.2,0.0008,15348,15184.3,101.08,0.71,0.4842
11,22,1.67,17503,16709.8,104.75,3.04,0.0014,16779,16700.0,100.47,0.32,0.7627
12,24,1.82,18962,18232.3,104.0,2.64,0.0094,18310,18217.2,100.51,0.35,0.7357
13,26,1.97,20523,19749.2,103.92,2.7,0.0078,19828,19737.1,100.46,0.32,0.7689
14,28,2.12,22092,21269.5,103.87,2.71,0.0066,21312,21257.5,100.26,0.18,0.8845
15,30,2.27,23573,22787.7,103.45,2.44,0.0152,22828,22768.9,100.26,0.18,0.8811
16,32,2.42,25143,24303.0,103.46,2.54,0.0132,24338,24289.3,100.2,0.14,0.9239
17,34,2.58,26621,25821.9,103.09,2.28,0.0232,25826,25815.8,100.04,0.03,1.0
18,36,2.73,28139,27343.5,102.91,2.24,0.0264,27319,27323.3,99.98,-0.01,0.9557
19,38,2.88,29602,28864.6,102.55,2.0,0.048,28790,28848.8,99.8,-0.15,0.8447
20,40,3.03,31146,30382.7,102.51,1.98,0.0454,30278,30370.5,99.7,-0.23,0.7931
21,42,3.18,32695,31900.6,102.49,2.01,0.041,31815,31884.4,99.78,-0.17,0.8437
22,44,3.33,34242,33420.2,102.46,2.01,0.047,33289,33410.1,99.64,-0.28,0.7589
23,46,3.48,35810,34937.8,102.5,2.09,0.0382,34814,34920.4,99.7,-0.24,0.7913
24,48,3.64,37305,36449.4,102.35,1.99,0.0454,36430,36442.8,99.96,-0.03,0.9429
25,50,3.79,38867,37980.7,102.33,2.0,0.045,37893,37959.6,99.82,-0.14,0.8557
26,52,3.94,40391,39492.8,102.27,1.99,0.0484,39411,39475.2,99.84,-0.13,0.8647
27,54,4.09,41872,41015.4,102.09,1.85,0.068,40918,40996.9,99.81,-0.16,0.8509
28,56,4.24,43369,42528.7,101.98,1.75,0.0744,42446,42512.3,99.84,-0.13,0.8785
29,58,4.39,44923,44043.4,102.0,1.79,0.0784,43990,44035.1,99.9,-0.09,0.9113
30,60,4.55,46444,45565.9,101.93,1.77,0.0786,45575,45543.4,100.07,0.06,0.9793
31,62,4.7,48010,47090.1,101.95,1.83,0.0682,47054,47068.8,99.97,-0.03,0.9455
32,64,4.85,49498,48611.2,101.82,1.72,0.0808,48518,48581.3,99.87,-0.11,0.8825
33,66,5.0,50949,50125.0,101.64,1.56,0.1142,50024,50099.7,99.85,-0.13,0.8655
34,68,5.15,52454,51651.9,101.55,1.5,0.131,51522,51622.1,99.81,-0.17,0.8415
35,70,5.3,53938,53166.6,101.45,1.42,0.1584,53018,53137.0,99.78,-0.2,0.8155
36,72,5.45,55497,54673.6,101.51,1.49,0.132,54538,54667.1,99.76,-0.22,0.7949
37,74,5.61,56989,56193.7,101.42,1.43,0.152,56036,56170.7,99.76,-0.22,0.7945
38,76,5.76,58521,57722.5,101.38,1.42,0.1548,57606,57692.5,99.85,-0.14,0.8653
39,78,5.91,59953,59234.6,101.21,1.25,0.2132,59074,59215.2,99.76,-0.23,0.7983
40,80,6.06,61486,60744.6,101.22,1.28,0.2024,60534,60737.9,99.66,-0.32,0.7315
41,82,6.21,62967,62272.8,101.11,1.19,0.235,62070,62248.9,99.71,-0.28,0.7613
42,84,6.36,64504,63788.4,101.12,1.22,0.2216,63598,63767.2,99.73,-0.26,0.7687
43,86,6.52,65986,65304.0,101.04,1.13,0.257,65037,65286.3,99.62,-0.38,0.6887
44,88,6.67,67517,66837.2,101.02,1.12,0.258,66436,66797.3,99.46,-0.55,0.5757
45,90,6.82,68978,68357.3,100.91,1.01,0.3228,67975,68325.7,99.49,-0.52,0.6009
46,92,6.97,70523,69866.2,100.94,1.07,0.2922,69527,69846.9,99.54,-0.48,0.6217
47,94,7.12,71982,71380.6,100.84,0.96,0.3514,71056,71353.0,99.58,-0.44,0.6525
48,96,7.27,73475,72884.4,100.81,0.94,0.3502,72546,72865.6,99.56,-0.47,0.6347
49,98,7.42,74942,74407.2,100.72,0.84,0.398,74087,74398.7,99.58,-0.45,0.6419
50,100,7.58,76488,75934.5,100.73,0.86,0.395,75630,75904.3,99.64,-0.39,0.6677
