Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,203,187.5,108.24,1.1,0.286,222,187.8,118.21,2.32,0.0274
2,4,0.3,394,375.5,104.94,0.88,0.3922,418,375.9,111.21,1.93,0.0592
3,6,0.45,611,563.0,108.53,1.76,0.0798,594,563.2,105.47,1.1,0.2792
4,8,0.61,794,751.3,105.68,1.33,0.192,790,750.3,105.28,1.19,0.2366
5,10,0.76,974,938.7,103.76,0.95,0.348,988,938.4,105.28,1.34,0.177
6,12,0.91,1162,1125.7,103.23,0.86,0.3922,1167,1126.3,103.61,0.97,0.335
7,14,1.06,1338,1313.9,101.83,0.52,0.6081,1355,1313.7,103.14,0.89,0.3732
8,16,1.21,1532,1500.3,102.11,0.61,0.5547,1546,1500.5,103.03,0.88,0.3848
9,18,1.36,1721,1689.7,101.85,0.55,0.5881,1721,1690.0,101.84,0.56,0.5877
10,20,1.52,1926,1876.5,102.64,0.83,0.421,1912,1876.7,101.88,0.59,0.5483
11,22,1.67,2118,2064.8,102.58,0.82,0.4222,2098,2064.9,101.6,0.52,0.6005
12,24,1.82,2301,2252.5,102.15,0.7,0.4824,2280,2252.0,101.24,0.42,0.6751
13,26,1.97,2479,2440.4,101.58,0.54,0.5931,2454,2440.1,100.57,0.2,0.8487
14,28,2.12,2669,2628.9,101.53,0.52,0.6009,2632,2627.0,100.19,0.07,0.9441
15,30,2.27,2864,2817.0,101.67,0.58,0.5671,2833,2815.0,100.64,0.23,0.8209
16,32,2.42,3046,3004.2,101.39,0.5,0.6153,3016,3002.6,100.45,0.16,0.8775
17,34,2.58,3223,3191.9,100.97,0.36,0.7139,3207,3191.6,100.48,0.18,0.8661
18,36,2.73,3418,3378.9,101.16,0.44,0.6585,3401,3377.2,100.7,0.27,0.7991
19,38,2.88,3610,3566.1,101.23,0.47,0.6311,3570,3566.9,100.09,0.03,0.9859
20,40,3.03,3830,3754.4,102.01,0.79,0.4288,3759,3755.1,100.1,0.04,0.9839
21,42,3.18,4053,3943.8,102.77,1.11,0.2804,3931,3942.9,99.7,-0.12,0.9015
22,44,3.33,4249,4129.2,102.9,1.17,0.2554,4097,4130.0,99.2,-0.33,0.7377
23,46,3.48,4455,4318.4,103.16,1.29,0.2026,4295,4317.5,99.48,-0.21,0.8209
24,48,3.64,4637,4506.6,102.89,1.21,0.2366,4483,4505.9,99.49,-0.21,0.8367
25,50,3.79,4849,4695.1,103.28,1.4,0.172,4671,4693.7,99.52,-0.2,0.8337
26,52,3.94,5035,4882.6,103.12,1.36,0.1832,4864,4880.1,99.67,-0.14,0.8845
27,54,4.09,5218,5071.1,102.9,1.28,0.2074,5025,5068.5,99.14,-0.36,0.7119
28,56,4.24,5418,5258.0,103.04,1.36,0.183,5227,5255.1,99.47,-0.23,0.8093
29,58,4.39,5634,5444.6,103.48,1.57,0.1216,5426,5445.5,99.64,-0.16,0.8567
30,60,4.55,5806,5631.1,103.11,1.42,0.167,5616,5632.2,99.71,-0.12,0.8951
31,62,4.7,6002,5819.8,103.13,1.46,0.1484,5769,5819.4,99.13,-0.39,0.6997
32,64,4.85,6198,6008.7,103.15,1.47,0.1502,5949,6007.4,99.03,-0.43,0.6601
33,66,5.0,6380,6196.0,102.97,1.42,0.1646,6133,6195.6,98.99,-0.45,0.6447
34,68,5.15,6567,6386.1,102.83,1.36,0.1836,6321,6385.2,98.99,-0.45,0.6421
35,70,5.3,6763,6572.1,102.91,1.4,0.1628,6528,6570.6,99.35,-0.3,0.7593
36,72,5.45,6972,6757.6,103.17,1.57,0.1202,6700,6759.8,99.11,-0.41,0.6767
37,74,5.61,7164,6944.8,103.16,1.57,0.1222,6865,6946.6,98.83,-0.55,0.5829
38,76,5.76,7331,7136.9,102.72,1.37,0.1812,7059,7134.3,98.94,-0.5,0.6155
39,78,5.91,7509,7321.3,102.56,1.31,0.2,7232,7320.8,98.79,-0.58,0.5529
40,80,6.06,7721,7506.8,102.85,1.46,0.152,7397,7511.4,98.48,-0.74,0.4698
41,82,6.21,7906,7699.4,102.68,1.4,0.1724,7590,7700.4,98.57,-0.7,0.476
42,84,6.36,8107,7883.6,102.83,1.5,0.1442,7789,7884.0,98.8,-0.6,0.5577
43,86,6.52,8297,8073.5,102.77,1.47,0.146,7974,8074.7,98.75,-0.63,0.5157
44,88,6.67,8469,8260.3,102.53,1.36,0.1884,8144,8261.2,98.58,-0.72,0.469
45,90,6.82,8672,8449.6,102.63,1.45,0.1482,8332,8449.1,98.61,-0.71,0.4878
46,92,6.97,8862,8636.3,102.61,1.44,0.1554,8542,8642.1,98.84,-0.6,0.5513
47,94,7.12,9032,8822.4,102.38,1.33,0.1968,8743,8821.2,99.11,-0.46,0.6335
48,96,7.27,9241,9009.0,102.58,1.46,0.1574,8931,9011.9,99.1,-0.48,0.6283
49,98,7.42,9416,9198.2,102.37,1.36,0.1902,9114,9198.0,99.09,-0.49,0.6265
50,100,7.58,9602,9385.9,102.3,1.34,0.1924,9310,9389.6,99.15,-0.47,0.6317
