SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC21,1976-03,1986-08,10844,Mercury,1,Conjunction,62,60.54,102.42,0.8554,0.15
SC21,1976-03,1986-08,10844,Mercury,1,Opposition,62,59.71,103.84,0.8102,0.24
SC21,1976-03,1986-08,10844,Venus,1,Conjunction,63,60.22,104.62,0.8102,0.32
SC21,1976-03,1986-08,10844,Venus,1,Opposition,59,60.32,97.81,0.923,-0.15
SC21,1976-03,1986-08,10844,Mars,1,Conjunction,66,60.42,109.23,0.5423,0.63
SC21,1976-03,1986-08,10844,Mars,1,Opposition,63,59.98,105.03,0.773,0.3
SC21,1976-03,1986-08,10844,Jupiter,1,Conjunction,68,60.41,112.56,0.3983,0.9
SC21,1976-03,1986-08,10844,Jupiter,1,Opposition,59,59.88,98.53,1.0,-0.1
SC21,1976-03,1986-08,10844,Saturn,1,Conjunction,68,60.5,112.39,0.3843,0.87
SC21,1976-03,1986-08,10844,Saturn,1,Opposition,70,59.99,116.68,0.2543,1.13
SC21,1976-03,1986-08,10844,Uranus,1,Conjunction,65,59.77,108.74,0.5783,0.6
SC21,1976-03,1986-08,10844,Uranus,1,Opposition,66,60.49,109.1,0.5311,0.64
SC21,1976-03,1986-08,10844,Neptune,1,Conjunction,48,59.77,80.31,0.17,-1.39
SC21,1976-03,1986-08,10844,Neptune,1,Opposition,61,61.26,99.58,1.0,-0.03
SC21,1976-03,1986-08,10844,Mercury,2,Conjunction,125,121.56,102.83,0.8406,0.22
SC21,1976-03,1986-08,10844,Mercury,2,Opposition,127,119.38,106.38,0.6011,0.51
SC21,1976-03,1986-08,10844,Venus,2,Conjunction,134,120.1,111.58,0.3747,1.01
SC21,1976-03,1986-08,10844,Venus,2,Opposition,105,120.52,87.13,0.2927,-1.11
SC21,1976-03,1986-08,10844,Mars,2,Conjunction,125,120.99,103.31,0.7758,0.29
SC21,1976-03,1986-08,10844,Mars,2,Opposition,143,119.95,119.22,0.188,1.37
SC21,1976-03,1986-08,10844,Jupiter,2,Conjunction,130,121.13,107.33,0.5207,0.7
SC21,1976-03,1986-08,10844,Jupiter,2,Opposition,104,120.07,86.61,0.2511,-1.21
SC21,1976-03,1986-08,10844,Saturn,2,Conjunction,127,120.9,105.04,0.6407,0.44
SC21,1976-03,1986-08,10844,Saturn,2,Opposition,130,120.18,108.17,0.4915,0.68
SC21,1976-03,1986-08,10844,Uranus,2,Conjunction,130,119.39,108.88,0.4507,0.8
SC21,1976-03,1986-08,10844,Uranus,2,Opposition,125,120.56,103.68,0.7594,0.34
SC21,1976-03,1986-08,10844,Neptune,2,Conjunction,112,119.38,93.82,0.5955,-0.55
SC21,1976-03,1986-08,10844,Neptune,2,Opposition,103,122.85,83.84,0.1528,-1.33
SC21,1976-03,1986-08,10844,Mercury,3,Conjunction,188,181.79,103.42,0.7866,0.3
SC21,1976-03,1986-08,10844,Mercury,3,Opposition,179,179.03,99.98,0.9666,-0.0
SC21,1976-03,1986-08,10844,Venus,3,Conjunction,194,180.86,107.27,0.5331,0.72
SC21,1976-03,1986-08,10844,Venus,3,Opposition,176,181.07,97.2,0.8062,-0.27
SC21,1976-03,1986-08,10844,Mars,3,Conjunction,179,181.46,98.65,0.8798,-0.13
SC21,1976-03,1986-08,10844,Mars,3,Opposition,198,179.74,110.16,0.4347,0.81
SC21,1976-03,1986-08,10844,Jupiter,3,Conjunction,191,181.17,105.43,0.6039,0.6
SC21,1976-03,1986-08,10844,Jupiter,3,Opposition,178,180.01,98.88,0.9298,-0.12
SC21,1976-03,1986-08,10844,Saturn,3,Conjunction,212,181.47,116.83,0.1076,1.7
SC21,1976-03,1986-08,10844,Saturn,3,Opposition,187,180.51,103.59,0.6955,0.34
SC21,1976-03,1986-08,10844,Uranus,3,Conjunction,183,179.75,101.81,0.927,0.19
SC21,1976-03,1986-08,10844,Uranus,3,Opposition,172,181.22,94.91,0.5851,-0.53
SC21,1976-03,1986-08,10844,Neptune,3,Conjunction,175,178.98,97.78,0.8378,-0.21
SC21,1976-03,1986-08,10844,Neptune,3,Opposition,162,183.86,88.11,0.2448,-1.09
SC21,1976-03,1986-08,10844,Mercury,4,Conjunction,245,243.5,100.61,1.0,0.06
SC21,1976-03,1986-08,10844,Mercury,4,Opposition,246,238.6,103.1,0.7798,0.29
SC21,1976-03,1986-08,10844,Venus,4,Conjunction,246,241.36,101.92,0.8766,0.2
SC21,1976-03,1986-08,10844,Venus,4,Opposition,253,241.22,104.88,0.6539,0.52
SC21,1976-03,1986-08,10844,Mars,4,Conjunction,244,241.63,100.98,0.9174,0.1
SC21,1976-03,1986-08,10844,Mars,4,Opposition,274,239.92,114.2,0.2472,1.16
SC21,1976-03,1986-08,10844,Jupiter,4,Conjunction,235,241.95,97.13,0.7475,-0.35
SC21,1976-03,1986-08,10844,Jupiter,4,Opposition,229,240.03,95.41,0.6115,-0.53
SC21,1976-03,1986-08,10844,Saturn,4,Conjunction,279,242.01,115.28,0.1248,1.67
SC21,1976-03,1986-08,10844,Saturn,4,Opposition,238,240.0,99.17,0.9126,-0.08
SC21,1976-03,1986-08,10844,Uranus,4,Conjunction,243,238.96,101.69,0.9242,0.19
SC21,1976-03,1986-08,10844,Uranus,4,Opposition,231,241.99,95.46,0.5663,-0.52
SC21,1976-03,1986-08,10844,Neptune,4,Conjunction,228,238.63,95.55,0.6035,-0.46
SC21,1976-03,1986-08,10844,Neptune,4,Opposition,212,245.02,86.52,0.192,-1.32
SC21,1976-03,1986-08,10844,Mercury,5,Conjunction,302,303.49,99.51,0.9298,-0.05
SC21,1976-03,1986-08,10844,Mercury,5,Opposition,311,298.87,104.06,0.7063,0.4
SC21,1976-03,1986-08,10844,Venus,5,Conjunction,309,300.53,102.82,0.8102,0.31
SC21,1976-03,1986-08,10844,Venus,5,Opposition,324,300.35,107.87,0.4159,0.87
SC21,1976-03,1986-08,10844,Mars,5,Conjunction,312,302.54,103.13,0.8182,0.33
SC21,1976-03,1986-08,10844,Mars,5,Opposition,354,299.82,118.07,0.1468,1.6
