Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,231,217.65,217.61,106.13,0.4857,239,216.15,216.06,110.57,0.222,-4.44,1
2,Ven,1,False,267,216.81,216.87,123.15,0.016,219,216.94,216.84,100.95,0.9066,22.19,1
3,Mer+Ven,2,False,495,433.27,433.27,114.25,0.0243,457,431.88,431.7,105.82,0.3426,8.43,1
8,Mar,1,False,241,216.89,216.71,111.12,0.2142,208,216.89,216.98,95.9,0.672,15.22,1
9,Mer+Mar,2,False,472,433.33,433.11,108.92,0.1454,447,431.83,431.85,103.51,0.5716,5.41,1
10,Ven+Mar,2,False,506,432.5,432.37,117.0,0.0088,426,432.62,432.62,98.47,0.8269,18.52,1
11,Mer+Ven+Mar,3,False,734,647.75,647.58,113.32,0.0085,664,646.37,646.29,102.73,0.5867,10.59,1
16,Jup,1,False,233,216.95,216.92,107.4,0.3742,254,216.73,216.82,117.2,0.0546,-9.8,1
17,Mer+Jup,2,False,462,433.39,433.3,106.6,0.261,493,431.67,431.67,114.21,0.0217,-7.61,1
18,Ven+Jup,2,False,498,432.57,432.58,115.13,0.0203,472,432.47,432.46,109.14,0.1492,5.99,1
19,Mer+Ven+Jup,3,False,724,647.81,647.77,111.76,0.0189,710,646.22,646.11,109.87,0.0515,1.89,1
24,Mar+Jup,2,False,471,432.63,432.41,108.87,0.147,462,432.44,432.59,106.83,0.2809,2.03,1
25,Mer+Mar+Jup,3,False,700,647.87,647.61,108.05,0.101,701,646.18,646.26,108.48,0.0914,-0.44,1
26,Ven+Mar+Jup,3,False,734,647.04,646.88,113.44,0.0092,679,646.97,647.03,104.95,0.3351,8.49,1
27,Mer+Ven+Mar+Jup,4,False,960,861.1,860.88,111.49,0.0073,917,859.53,859.51,106.69,0.1248,4.8,1
32,Sat,1,False,218,217.13,217.07,100.4,0.9469,230,216.74,216.72,106.12,0.4109,-5.72,1
33,Mer+Sat,2,False,448,433.56,433.44,103.33,0.5584,468,431.66,431.56,108.42,0.136,-5.09,1
34,Ven+Sat,2,False,485,432.73,432.74,112.08,0.0445,448,432.47,432.36,103.59,0.5294,8.49,1
35,Mer+Ven+Sat,3,False,712,647.96,647.9,109.88,0.0425,685,646.19,646.0,106.01,0.2104,3.88,1
40,Mar+Sat,2,False,455,432.8,432.57,105.13,0.3748,438,432.43,432.5,101.29,0.8312,3.84,1
41,Mer+Mar+Sat,3,False,685,648.02,647.75,105.71,0.23,676,646.15,646.16,104.62,0.3331,1.09,1
42,Ven+Mar+Sat,3,False,720,647.2,647.04,111.25,0.0233,655,646.95,646.94,101.24,0.8011,10.0,1
43,Mer+Ven+Mar+Sat,4,False,947,861.24,861.02,109.96,0.0176,892,859.49,859.4,103.78,0.3674,6.18,1
48,Jup+Sat,2,False,450,432.89,432.78,103.95,0.4721,483,432.23,432.34,111.74,0.0363,-7.79,1
49,Mer+Jup+Sat,3,False,678,648.11,647.94,104.61,0.318,721,645.96,645.97,111.62,0.0132,-7.0,1
50,Ven+Jup+Sat,3,False,715,647.3,647.25,110.46,0.034,700,646.77,646.77,108.23,0.09,2.23,1
51,Mer+Ven+Jup+Sat,4,False,940,861.32,861.21,109.13,0.0296,937,859.3,859.22,109.04,0.0305,0.09,1
56,Mar+Jup+Sat,3,False,684,647.35,647.08,105.66,0.2343,691,646.74,646.91,106.84,0.1441,-1.18,1
57,Mer+Mar+Jup+Sat,4,False,912,861.37,861.05,105.88,0.1546,929,859.27,859.36,108.11,0.047,-2.24,1
58,Ven+Mar+Jup+Sat,4,False,947,860.56,860.35,110.04,0.0183,907,860.08,860.16,105.46,0.1955,4.59,1
59,Mer+Ven+Mar+Jup+Sat,5,False,1172,1073.4,1073.14,109.19,0.0147,1144,1071.43,1071.43,106.77,0.0699,2.41,1
64,Ura,1,False,220,216.13,216.14,101.79,0.8427,195,217.04,217.07,89.85,0.1917,11.94,1
