Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,489,216.24,216.92,226.14,0.3961,0,216.99,216.8,0.0,0.8438,226.14,1
5,Mer+Ear,2,True,716,432.52,433.31,165.54,0.3017,239,431.96,431.65,55.33,0.8533,110.21,1
6,Ven+Ear,2,True,752,431.81,432.58,174.15,0.0924,219,432.63,432.43,50.62,0.5431,123.53,1
7,Mer+Ven+Ear,3,True,977,646.91,647.77,151.03,0.0718,457,646.43,646.09,70.7,0.8039,80.33,1
12,Ear+Mar,2,True,727,431.84,432.42,168.35,0.2232,208,432.71,432.58,48.07,0.319,120.28,1
13,Mer+Ear+Mar,3,True,954,646.92,647.62,147.47,0.1594,447,646.47,646.25,69.14,0.6924,78.32,1
14,Ven+Ear+Mar,3,True,988,646.23,646.89,152.89,0.0413,426,647.16,647.01,65.83,0.4041,87.06,1
15,Mer+Ven+Ear+Mar,4,True,1213,860.14,860.89,141.02,0.0304,664,859.75,859.49,77.23,0.6908,63.79,1
20,Ear+Jup,2,True,721,431.86,432.63,166.95,0.2614,254,432.6,432.41,58.72,0.9305,108.24,1
21,Mer+Ear+Jup,3,True,946,646.94,647.81,146.23,0.2002,493,646.36,646.06,76.27,0.9623,69.95,1
22,Ven+Ear+Jup,3,True,982,646.24,647.1,151.96,0.0548,472,647.04,646.85,72.95,0.8966,79.01,1
23,Mer+Ven+Ear+Jup,4,True,1205,860.14,861.08,140.09,0.0428,710,859.64,859.31,82.59,0.9505,57.5,1
28,Ear+Mar+Jup,3,True,956,646.25,646.93,147.93,0.1438,462,647.14,646.99,71.39,0.8257,76.54,1
29,Mer+Ear+Mar+Jup,4,True,1181,860.14,860.92,137.3,0.106,701,859.71,859.46,81.54,0.9256,55.76,1
30,Ven+Ear+Mar+Jup,4,True,1215,859.45,860.21,141.37,0.0266,679,860.39,860.23,78.92,0.8049,62.45,1
31,Mer+Ven+Ear+Mar+Jup,5,True,1438,1072.17,1073.01,134.12,0.0188,917,1071.8,1071.52,85.56,0.9123,48.56,1
36,Ear+Sat,2,True,705,432.05,432.78,163.18,0.3761,230,432.63,432.31,53.16,0.7587,110.01,1
37,Mer+Ear+Sat,3,True,931,647.1,647.94,143.87,0.283,468,646.37,645.95,72.4,0.893,71.47,1
38,Ven+Ear+Sat,3,True,968,646.42,647.25,149.75,0.0912,448,647.09,646.75,69.23,0.711,80.52,1
39,Mer+Ven+Ear+Sat,4,True,1192,860.28,861.21,138.56,0.0718,685,859.67,859.2,79.68,0.8652,58.88,1
44,Ear+Mar+Sat,3,True,939,646.43,647.09,145.26,0.234,438,647.15,646.9,67.68,0.5644,77.58,1
45,Mer+Ear+Mar+Sat,4,True,1165,860.28,861.06,135.42,0.169,676,859.69,859.35,78.63,0.8061,56.79,1
46,Ven+Ear+Mar+Sat,4,True,1200,859.63,860.37,139.6,0.0474,655,860.42,860.14,76.13,0.5877,63.47,1
47,Mer+Ven+Ear+Mar+Sat,5,True,1424,1072.31,1073.15,132.8,0.0366,892,1071.81,1071.42,83.22,0.7938,49.57,1
52,Ear+Jup+Sat,3,True,936,646.49,647.29,144.78,0.2513,483,647.01,646.73,74.65,0.9483,70.13,1
53,Mer+Ear+Jup+Sat,4,True,1160,860.34,861.25,134.83,0.1936,721,859.56,859.17,83.88,0.9739,50.95,1
54,Ven+Ear+Jup+Sat,4,True,1197,859.66,860.57,139.24,0.0532,700,860.28,859.98,81.37,0.93,57.87,1
55,Mer+Ven+Ear+Jup+Sat,5,True,1419,1072.34,1073.33,132.33,0.0449,937,1071.67,1071.23,87.43,0.968,44.89,1
60,Ear+Mar+Jup+Sat,4,True,1167,859.66,860.4,135.75,0.1579,691,860.36,860.11,80.32,0.8927,55.44,1
61,Mer+Ear+Mar+Jup+Sat,5,True,1391,1072.33,1073.17,129.72,0.1179,929,1071.72,1071.38,86.68,0.9559,43.03,1
62,Ven+Ear+Mar+Jup+Sat,5,True,1426,1071.67,1072.49,133.06,0.0293,907,1072.44,1072.18,84.57,0.8758,48.49,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,1648,1283.17,1284.08,128.43,0.0224,1144,1282.65,1282.27,89.19,0.9479,39.24,1
68,Ear+Ura,2,True,709,431.15,431.86,164.45,0.3454,195,432.82,432.66,45.05,0.0981,119.39,1
69,Mer+Ear+Ura,3,True,934,646.28,647.11,144.52,0.2695,430,646.64,646.38,66.5,0.4598,78.02,1
70,Ven+Ear+Ura,3,True,970,645.53,646.33,150.26,0.0842,411,647.27,647.1,63.5,0.2,86.77,1
71,Mer+Ven+Ear+Ura,4,True,1193,859.48,860.38,138.81,0.0674,645,859.92,859.63,75.01,0.4775,63.8,1
76,Ear+Mar+Ura,3,True,945,645.54,646.17,146.39,0.2029,403,647.33,647.24,62.26,0.123,84.13,1
77,Mer+Ear+Mar+Ura,4,True,1170,859.49,860.23,136.13,0.147,638,859.96,859.78,74.19,0.3904,61.94,1
78,Ven+Ear+Mar+Ura,4,True,1204,858.75,859.45,140.2,0.0393,618,860.59,860.49,71.81,0.1818,68.39,1
79,Mer+Ven+Ear+Mar+Ura,5,True,1427,1071.53,1072.32,133.17,0.0302,852,1072.06,1071.84,79.47,0.4164,53.7,1
84,Ear+Jup+Ura,3,True,937,645.65,646.39,145.13,0.2425,449,647.3,647.09,69.37,0.711,75.76,1
85,Mer+Ear+Jup+Ura,4,True,1160,859.58,860.43,134.95,0.1912,684,859.92,859.61,79.54,0.8558,55.41,1
86,Ven+Ear+Jup+Ura,4,True,1196,858.84,859.67,139.26,0.0578,664,860.55,860.33,77.16,0.6893,62.1,1
87,Mer+Ven+Ear+Jup+Ura,5,True,1417,1071.6,1072.52,132.23,0.0462,898,1072.02,1071.67,83.77,0.8341,48.46,1
92,Ear+Mar+Jup+Ura,4,True,1170,858.83,859.49,136.23,0.1454,657,860.63,860.47,76.34,0.6057,59.89,1
93,Mer+Ear+Mar+Jup+Ura,5,True,1393,1071.59,1072.36,129.99,0.112,892,1072.08,1071.81,83.2,0.7845,46.79,1
