Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,17,16.6,102.26,0.09,0.9863,17,16.8,101.39,0.06,1.0
2,4,0.3,36,33.2,108.36,0.47,0.6797,25,33.3,75.02,-1.43,0.1762
3,6,0.45,54,50.0,108.06,0.55,0.6307,48,50.1,95.87,-0.3,0.8201
4,8,0.61,68,66.6,102.16,0.17,0.8917,68,66.6,102.07,0.17,0.8971
5,10,0.76,85,83.3,102.07,0.18,0.8843,83,83.5,99.46,-0.05,1.0
6,12,0.91,104,99.9,104.13,0.37,0.7301,103,100.1,102.94,0.31,0.8029
7,14,1.06,119,116.7,101.96,0.19,0.8495,122,116.8,104.43,0.49,0.6569
8,16,1.21,138,133.3,103.52,0.36,0.7291,132,133.4,98.98,-0.12,0.9365
9,18,1.36,149,150.1,99.29,-0.08,0.9879,143,150.2,95.23,-0.62,0.5791
10,20,1.52,164,166.5,98.51,-0.17,0.9079,159,167.1,95.17,-0.65,0.5415
11,22,1.67,183,183.2,99.9,-0.01,1.0,181,183.5,98.63,-0.19,0.8749
12,24,1.82,200,199.9,100.06,0.01,0.9969,196,200.4,97.79,-0.32,0.7739
13,26,1.97,217,216.5,100.23,0.03,0.9811,215,217.1,99.05,-0.14,0.9143
14,28,2.12,236,233.4,101.1,0.14,0.8893,222,233.7,94.98,-0.79,0.4512
15,30,2.27,249,250.3,99.47,-0.07,0.9775,240,250.6,95.75,-0.69,0.5051
16,32,2.42,261,266.4,97.96,-0.28,0.8113,253,267.3,94.66,-0.88,0.393
17,34,2.58,279,283.3,98.48,-0.21,0.8757,272,284.1,95.76,-0.72,0.4816
18,36,2.73,290,300.3,96.56,-0.49,0.6427,288,300.6,95.8,-0.73,0.476
19,38,2.88,306,316.5,96.67,-0.49,0.6393,301,316.9,94.97,-0.88,0.3954
20,40,3.03,320,333.6,95.92,-0.61,0.5581,311,333.8,93.16,-1.22,0.2342
21,42,3.18,337,350.2,96.24,-0.58,0.5825,325,350.4,92.75,-1.31,0.2076
22,44,3.33,355,366.6,96.83,-0.49,0.6405,341,367.2,92.85,-1.31,0.1998
23,46,3.48,368,383.3,96.01,-0.62,0.5499,354,383.8,92.25,-1.47,0.1564
24,48,3.64,385,400.4,96.15,-0.62,0.5525,378,400.4,94.4,-1.06,0.3018
25,50,3.79,398,416.8,95.5,-0.73,0.4776,390,417.2,93.47,-1.26,0.223
26,52,3.94,414,433.3,95.55,-0.74,0.4744,412,434.0,94.93,-1.0,0.3368
27,54,4.09,435,450.7,96.53,-0.59,0.5711,429,450.9,95.15,-0.96,0.3562
28,56,4.24,451,467.0,96.57,-0.58,0.5809,441,467.3,94.37,-1.14,0.269
29,58,4.39,477,483.5,98.65,-0.23,0.8487,465,483.7,96.14,-0.79,0.4538
30,60,4.55,493,500.2,98.56,-0.25,0.8445,480,500.8,95.85,-0.87,0.41
31,62,4.7,509,517.0,98.45,-0.27,0.8215,496,517.4,95.87,-0.87,0.4074
32,64,4.85,521,533.3,97.7,-0.41,0.7085,509,533.9,95.34,-0.98,0.349
33,66,5.0,534,550.2,97.05,-0.53,0.6249,524,550.5,95.19,-1.02,0.3316
34,68,5.15,554,567.3,97.66,-0.43,0.6817,541,567.1,95.39,-0.99,0.3482
35,70,5.3,576,583.8,98.66,-0.25,0.8369,567,584.2,97.06,-0.64,0.5519
36,72,5.45,600,600.5,99.92,-0.02,1.0,587,600.9,97.69,-0.51,0.6229
37,74,5.61,612,616.8,99.22,-0.15,0.9185,605,617.6,97.97,-0.46,0.6541
38,76,5.76,633,633.8,99.87,-0.02,1.0,625,633.9,98.59,-0.32,0.7503
39,78,5.91,647,650.2,99.52,-0.09,0.9489,641,650.7,98.51,-0.35,0.7291
40,80,6.06,667,667.2,99.97,-0.01,1.0,655,667.5,98.12,-0.44,0.6649
41,82,6.21,689,683.9,100.74,0.15,0.8747,670,684.4,97.9,-0.5,0.6367
42,84,6.36,703,700.7,100.33,0.07,0.9455,688,701.1,98.13,-0.46,0.6705
43,86,6.52,711,717.5,99.1,-0.18,0.8659,697,717.8,97.1,-0.71,0.486
44,88,6.67,726,733.4,98.99,-0.21,0.8381,709,734.0,96.59,-0.83,0.4118
45,90,6.82,742,750.9,98.82,-0.25,0.8179,723,750.6,96.32,-0.92,0.3792
46,92,6.97,760,767.1,99.07,-0.2,0.8587,740,768.5,96.29,-0.94,0.3572
47,94,7.12,787,783.9,100.4,0.09,0.9479,773,784.4,98.55,-0.37,0.7211
48,96,7.27,808,800.1,100.98,0.21,0.8351,783,800.9,97.76,-0.57,0.5701
49,98,7.42,820,817.3,100.33,0.07,0.9567,798,817.7,97.59,-0.62,0.5479
50,100,7.58,835,833.3,100.21,0.05,0.9667,821,834.5,98.38,-0.43,0.6811
