SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC12,1878-12,1890-02,1032,Mercury,1,Conjunction,8,5.71,140.08,0.4435,0.91
SC12,1878-12,1890-02,1032,Mercury,1,Opposition,6,5.72,104.96,0.9982,0.12
SC12,1878-12,1890-02,1032,Venus,1,Conjunction,5,5.72,87.39,1.0,-0.31
SC12,1878-12,1890-02,1032,Venus,1,Opposition,9,5.71,157.68,0.2424,1.36
SC12,1878-12,1890-02,1032,Mars,1,Conjunction,5,5.73,87.32,0.9858,-0.3
SC12,1878-12,1890-02,1032,Mars,1,Opposition,4,5.8,68.99,0.6259,-0.76
SC12,1878-12,1890-02,1032,Jupiter,1,Conjunction,4,5.69,70.34,0.6307,-0.76
SC12,1878-12,1890-02,1032,Jupiter,1,Opposition,4,5.79,69.11,0.5943,-0.8
SC12,1878-12,1890-02,1032,Saturn,1,Conjunction,7,5.72,122.35,0.7199,0.57
SC12,1878-12,1890-02,1032,Saturn,1,Opposition,4,5.72,69.95,0.6527,-0.72
SC12,1878-12,1890-02,1032,Uranus,1,Conjunction,5,5.78,86.44,0.9594,-0.33
SC12,1878-12,1890-02,1032,Uranus,1,Opposition,4,5.62,71.11,0.6379,-0.72
SC12,1878-12,1890-02,1032,Neptune,1,Conjunction,5,5.79,86.32,0.909,-0.37
SC12,1878-12,1890-02,1032,Neptune,1,Opposition,6,5.71,105.08,1.0,0.13
SC12,1878-12,1890-02,1032,Mercury,2,Conjunction,13,11.51,112.96,0.7427,0.41
SC12,1878-12,1890-02,1032,Mercury,2,Opposition,15,11.46,130.88,0.3447,1.11
SC12,1878-12,1890-02,1032,Venus,2,Conjunction,10,11.44,87.38,0.7922,-0.45
SC12,1878-12,1890-02,1032,Venus,2,Opposition,14,11.38,123.01,0.5155,0.76
SC12,1878-12,1890-02,1032,Mars,2,Conjunction,8,11.3,70.81,0.4375,-0.93
SC12,1878-12,1890-02,1032,Mars,2,Opposition,12,11.45,104.85,0.8938,0.16
SC12,1878-12,1890-02,1032,Jupiter,2,Conjunction,7,11.49,60.93,0.14,-1.53
