Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,101,101.01,101.03,99.99,1.0,103,100.36,100.36,102.64,0.7932,-2.64,1
2,Ven,1,False,94,100.6,100.63,93.44,0.5393,111,100.56,100.6,110.38,0.3442,-16.94,1
3,Mer+Ven,2,False,194,201.04,201.1,96.5,0.6404,212,200.35,200.39,105.81,0.4327,-9.32,1
8,Mar,1,False,118,100.39,100.42,117.54,0.1071,98,100.72,100.78,97.3,0.8537,20.25,1
9,Mer+Mar,2,False,219,200.84,200.89,109.04,0.225,201,200.51,200.59,100.24,0.9783,8.8,1
10,Ven+Mar,2,False,211,200.43,200.49,105.27,0.4786,209,200.72,200.82,104.12,0.5901,1.15,1
11,Mer+Ven+Mar,3,False,311,300.32,300.41,103.56,0.554,310,299.96,300.07,103.35,0.5779,0.21,1
16,Jup,1,False,97,100.63,100.56,96.4,0.7836,100,100.73,100.64,99.28,0.9819,-2.88,1
17,Mer+Jup,2,False,198,201.07,201.03,98.47,0.8709,202,200.52,200.43,100.74,0.9508,-2.27,1
18,Ven+Jup,2,False,191,200.67,200.64,95.18,0.5367,210,200.73,200.68,104.62,0.5745,-9.44,1
19,Mer+Ven+Jup,3,False,291,300.55,300.54,96.82,0.614,310,299.96,299.92,103.35,0.5945,-6.52,1
24,Mar+Jup,2,False,214,200.45,200.42,106.76,0.388,197,200.88,200.86,98.07,0.8185,8.69,1
25,Mer+Mar+Jup,3,False,315,300.34,300.33,104.88,0.4236,299,300.12,300.1,99.63,0.9732,5.25,1
26,Ven+Mar+Jup,3,False,307,299.93,299.94,102.36,0.7115,307,300.33,300.34,102.22,0.7381,0.13,1
27,Mer+Ven+Mar+Jup,4,False,407,399.27,399.29,101.94,0.7215,407,399.01,399.03,102.0,0.7122,-0.07,1
32,Sat,1,False,118,100.73,100.75,117.15,0.0986,99,100.6,100.58,98.41,0.9112,18.74,1
33,Mer+Sat,2,False,219,201.16,201.21,108.87,0.2217,202,200.39,200.36,100.8,0.9306,8.07,1
34,Ven+Sat,2,False,212,200.76,200.82,105.6,0.4382,209,200.6,200.62,104.19,0.5867,1.41,1
35,Mer+Ven+Sat,3,False,312,300.63,300.72,103.78,0.5152,310,299.84,299.85,103.39,0.5697,0.39,1
40,Mar+Sat,2,False,234,200.55,200.61,116.68,0.0208,196,200.76,200.8,97.63,0.7666,19.05,1
