Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,241,101.04,100.65,238.53,0.2854,0,100.45,100.58,0.0,0.9944,238.53,1
5,Mer+Ear,2,True,341,201.49,201.12,169.24,0.286,103,200.25,200.37,51.44,0.6602,117.81,1
6,Ven+Ear,2,True,334,201.07,200.72,166.11,0.3663,111,200.45,200.61,55.38,0.8817,110.73,1
7,Mer+Ven+Ear,3,True,433,300.97,300.63,143.87,0.3654,212,299.69,299.85,70.74,0.8389,73.13,1
12,Ear+Mar,2,True,359,200.86,200.51,178.73,0.1093,98,200.63,200.8,48.85,0.4363,129.88,1
13,Mer+Ear+Mar,3,True,459,300.76,300.42,152.62,0.1169,201,299.86,300.04,67.03,0.5557,85.58,1
14,Ven+Ear+Mar,3,True,451,300.35,300.03,150.16,0.1787,209,300.07,300.28,69.65,0.7586,80.51,1
15,Mer+Ven+Ear+Mar,4,True,550,399.69,399.39,137.61,0.1858,310,398.75,398.98,77.74,0.7629,59.86,1
20,Ear+Jup,2,True,338,201.1,200.65,168.07,0.3181,100,200.62,200.66,49.85,0.5,118.23,1
21,Mer+Ear+Jup,3,True,438,301.0,300.56,145.52,0.3131,202,299.86,299.89,67.36,0.5693,78.15,1
22,Ven+Ear+Jup,3,True,431,300.58,300.17,143.39,0.3887,210,300.06,300.14,69.99,0.7634,73.4,1
23,Mer+Ven+Ear+Jup,4,True,530,399.92,399.52,132.53,0.3788,310,398.75,398.82,77.74,0.7551,54.78,1
28,Ear+Mar+Jup,3,True,455,300.37,299.96,151.48,0.1471,197,300.23,300.32,65.62,0.4198,85.86,1
29,Mer+Ear+Mar+Jup,4,True,555,399.71,399.31,138.85,0.1457,299,398.91,399.01,74.95,0.5027,63.9,1
