Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,60,67.8,67.9,88.5,0.3307,76,69.9,69.67,108.72,0.4643,-20.22,1
2,Ven,1,False,67,68.59,68.73,97.69,0.8898,68,68.76,68.75,98.9,0.9738,-1.21,1
3,Mer+Ven,2,False,127,136.01,136.25,93.37,0.4515,144,138.28,138.04,104.14,0.6475,-10.76,1
8,Mar,1,False,70,68.93,68.78,101.55,0.9338,66,68.7,68.68,96.07,0.8454,5.48,1
9,Mer+Mar,2,False,128,136.34,136.3,93.88,0.5319,142,138.23,137.97,102.73,0.775,-8.85,1
10,Ven+Mar,2,False,137,137.12,137.13,99.91,1.0,134,137.08,137.05,97.75,0.8566,2.16,1
11,Mer+Ven+Mar,3,False,195,204.17,204.27,95.51,0.5667,210,206.24,205.96,101.83,0.8122,-6.32,1
16,Jup,1,False,78,68.78,68.64,113.4,0.2675,71,68.88,68.85,103.08,0.8042,10.32,1
17,Mer+Jup,2,False,138,136.21,136.16,101.32,0.9026,147,138.38,138.13,106.23,0.4567,-4.91,1
18,Ven+Jup,2,False,144,137.0,136.99,105.11,0.5687,139,137.25,137.22,101.27,0.8886,3.84,1
19,Mer+Ven+Jup,3,False,204,204.06,204.13,99.97,1.0,215,206.38,206.12,104.18,0.5455,-4.2,1
24,Mar+Jup,2,False,148,137.34,137.04,107.76,0.4243,135,137.19,137.15,98.41,0.9062,9.36,1
25,Mer+Mar+Jup,3,False,206,204.38,204.18,100.79,0.947,211,206.32,206.05,102.27,0.757,-1.48,1
26,Ven+Mar+Jup,3,False,214,205.17,205.01,104.31,0.5691,203,205.19,205.14,98.93,0.9298,5.37,1
27,Mer+Ven+Mar+Jup,4,False,272,271.85,271.78,100.06,1.0,279,273.95,273.66,101.84,0.7714,-1.79,1
32,Sat,1,False,75,68.44,68.55,109.59,0.4531,54,69.05,69.0,78.2,0.088,31.39,1
33,Mer+Sat,2,False,135,135.86,136.06,99.37,0.9966,130,138.55,138.28,93.83,0.4959,5.54,1
34,Ven+Sat,2,False,142,136.64,136.9,103.92,0.6571,122,137.42,137.37,88.78,0.2296,15.14,1
35,Mer+Ven+Sat,3,False,202,203.69,204.04,99.17,0.9502,198,206.54,206.27,95.87,0.5823,3.3,1
40,Mar+Sat,2,False,145,136.99,136.95,105.85,0.5435,120,137.36,137.3,87.36,0.1848,18.49,1
41,Mer+Mar+Sat,3,False,203,204.03,204.09,99.49,0.9946,196,206.49,206.2,94.92,0.5119,4.57,1
42,Ven+Mar+Sat,3,False,212,204.81,204.92,103.51,0.6399,188,205.36,205.29,91.55,0.2711,11.96,1
43,Mer+Ven+Mar+Sat,4,False,270,271.48,271.68,99.45,0.9842,264,274.11,273.8,96.31,0.5899,3.14,1
48,Jup+Sat,2,False,153,136.85,136.81,111.8,0.1836,125,137.55,137.47,90.87,0.2907,20.92,1
49,Mer+Jup+Sat,3,False,213,203.91,203.95,104.46,0.5375,201,206.65,206.36,97.26,0.7055,7.2,1
50,Ven+Jup+Sat,3,False,219,204.7,204.78,106.99,0.3371,193,205.54,205.46,93.9,0.4039,13.09,1
51,Mer+Ven+Jup+Sat,4,False,279,271.38,271.54,102.81,0.6547,269,274.26,273.96,98.08,0.7722,4.73,1
56,Mar+Jup+Sat,3,False,223,205.03,204.83,108.76,0.2511,189,205.47,205.38,91.98,0.2823,16.78,1
57,Mer+Mar+Jup+Sat,4,False,281,271.71,271.59,103.42,0.6091,265,274.21,273.89,96.64,0.6015,6.78,1
58,Ven+Mar+Jup+Sat,4,False,289,272.49,272.42,106.06,0.3579,257,273.09,273.0,94.11,0.3619,11.95,1
59,Mer+Ven+Mar+Jup+Sat,5,False,347,338.8,338.81,102.42,0.6747,333,341.45,341.13,97.53,0.6923,4.89,1
64,Ura,1,False,65,69.49,69.26,93.54,0.6555,66,68.23,68.25,96.73,0.8546,-3.19,1
65,Mer+Ura,2,False,125,136.92,136.8,91.3,0.3195,140,137.78,137.56,101.61,0.8642,-10.32,1
66,Ven+Ura,2,False,132,137.69,137.61,95.87,0.6787,133,136.61,136.62,97.36,0.8126,-1.49,1
67,Mer+Ven+Ura,3,False,192,204.75,204.77,93.77,0.3811,207,205.78,205.55,100.59,0.9394,-6.82,1
72,Mar+Ura,2,False,133,138.02,137.66,96.36,0.7379,132,136.55,136.55,96.67,0.7483,-0.31,1
73,Mer+Mar+Ura,3,False,191,205.08,204.82,93.14,0.3711,206,205.73,205.47,100.13,0.9846,-7.0,1
74,Ven+Mar+Ura,3,False,200,205.84,205.62,97.16,0.7375,199,204.56,204.54,97.28,0.7582,-0.12,1
75,Mer+Ven+Mar+Ura,4,False,258,272.53,272.41,94.67,0.4071,273,273.36,273.09,99.87,1.0,-5.2,1
80,Jup+Ura,2,False,143,137.9,137.53,103.7,0.6759,137,136.74,136.72,100.19,0.9994,3.51,1
81,Mer+Jup+Ura,3,False,203,204.96,204.68,99.04,0.9178,211,205.89,205.64,102.48,0.7243,-3.44,1
