Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,385,146.23,150.21,263.28,0.1676,0,153.08,150.11,0.0,0.947,263.28,1
5,Mer+Ear,2,True,531,296.34,300.13,179.18,0.1736,160,301.7,298.84,53.03,0.8066,126.15,1
6,Ven+Ear,2,True,552,295.57,299.57,186.76,0.0824,161,302.63,299.41,53.2,0.8118,133.56,1
7,Mer+Ven+Ear,3,True,697,444.86,448.65,156.68,0.0972,319,450.44,447.32,70.82,0.8794,85.86,1
12,Ear+Mar,2,True,516,295.41,299.34,174.67,0.2416,164,302.44,299.63,54.23,0.811,120.45,1
13,Mer+Ear+Mar,3,True,661,444.67,448.44,148.65,0.2599,323,450.22,447.54,71.74,0.8934,76.91,1
14,Ven+Ear+Mar,3,True,683,443.91,447.87,153.86,0.156,324,451.17,448.1,71.81,0.887,82.04,1
15,Mer+Ven+Ear+Mar,4,True,827,592.36,596.13,139.61,0.1728,481,598.14,595.2,80.42,0.9306,59.19,1
20,Ear+Jup,2,True,526,295.67,299.53,177.9,0.1988,148,302.61,299.43,48.91,0.4379,129.0,1
21,Mer+Ear+Jup,3,True,672,444.91,448.61,151.04,0.2032,308,450.39,447.34,68.39,0.6955,82.66,1
22,Ven+Ear+Jup,3,True,692,444.16,448.06,155.8,0.1188,308,451.33,447.91,68.24,0.6787,87.56,1
23,Mer+Ven+Ear+Jup,4,True,837,592.59,596.31,141.24,0.1292,466,598.31,594.99,77.89,0.8078,63.36,1
28,Ear+Mar+Jup,3,True,656,443.98,447.83,147.75,0.2719,312,451.15,448.12,69.16,0.7251,78.6,1
29,Mer+Ear+Mar+Jup,4,True,801,592.39,596.08,135.22,0.2863,471,598.09,595.2,78.75,0.8442,56.46,1
30,Ven+Ear+Mar+Jup,4,True,822,591.65,595.53,138.93,0.196,471,599.05,595.77,78.63,0.8358,60.31,1
31,Mer+Ven+Ear+Mar+Jup,5,True,966,739.25,742.96,130.67,0.2064,628,745.19,742.04,84.27,0.8994,46.4,1
36,Ear+Sat,2,True,534,295.77,299.72,180.55,0.1636,157,302.2,299.33,51.95,0.6835,128.59,1
37,Mer+Ear+Sat,3,True,680,445.02,448.79,152.8,0.1704,317,449.95,447.22,70.45,0.841,82.35,1
38,Ven+Ear+Sat,3,True,700,444.28,448.24,157.56,0.0844,315,450.91,447.81,69.86,0.8046,87.7,1
39,Mer+Ven+Ear+Sat,4,True,845,592.72,596.48,142.56,0.0936,473,597.84,594.88,79.12,0.8894,63.45,1
44,Ear+Mar+Sat,3,True,664,444.12,448.02,149.51,0.2416,321,450.74,448.02,71.22,0.8542,78.29,1
45,Mer+Ear+Mar+Sat,4,True,809,592.53,596.26,136.53,0.2543,480,597.64,595.1,80.32,0.9254,56.22,1
46,Ven+Ear+Mar+Sat,4,True,830,591.81,595.72,140.25,0.1512,478,598.62,595.67,79.85,0.9014,60.4,1
47,Mer+Ven+Ear+Mar+Sat,5,True,974,739.41,743.14,131.73,0.1684,635,744.72,741.93,85.27,0.9502,46.46,1
52,Ear+Jup+Sat,3,True,668,444.32,448.2,150.34,0.2232,305,450.87,447.82,67.65,0.6079,82.7,1
53,Mer+Ear+Jup+Sat,4,True,814,592.71,596.43,137.34,0.2296,465,597.78,594.89,77.79,0.7874,59.55,1
54,Ven+Ear+Jup+Sat,4,True,833,591.99,595.9,140.71,0.14,462,598.75,595.48,77.16,0.7263,63.55,1
55,Mer+Ven+Ear+Jup+Sat,5,True,978,739.58,743.31,132.24,0.1512,620,744.85,741.72,83.24,0.8406,49.0,1
60,Ear+Mar+Jup+Sat,4,True,797,591.81,595.67,134.67,0.3011,469,598.58,595.68,78.35,0.8026,56.32,1
61,Mer+Ear+Mar+Jup+Sat,5,True,942,739.37,743.09,127.41,0.3115,628,744.66,741.93,84.33,0.891,43.07,1
62,Ven+Ear+Mar+Jup+Sat,5,True,962,738.66,742.55,130.24,0.2208,625,745.64,742.52,83.82,0.8698,46.42,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,1106,885.42,889.15,124.91,0.2272,782,890.92,887.96,87.77,0.9314,37.14,1
68,Ear+Ura,2,True,523,295.23,299.18,177.15,0.2008,143,302.68,299.66,47.25,0.238,129.9,1
69,Mer+Ear+Ura,3,True,669,444.54,448.31,150.49,0.2112,302,450.52,447.61,67.03,0.5463,83.46,1
70,Ven+Ear+Ura,3,True,689,443.75,447.71,155.27,0.1208,302,451.39,448.14,66.91,0.5327,88.36,1
71,Mer+Ven+Ear+Ura,4,True,834,592.25,596.01,140.82,0.1276,459,598.41,595.26,76.7,0.7067,64.12,1
76,Ear+Mar+Ura,3,True,650,443.57,447.48,146.54,0.2939,305,451.21,448.34,67.6,0.5815,78.94,1
77,Mer+Ear+Mar+Ura,4,True,795,592.05,595.79,134.28,0.3103,463,598.21,595.47,77.4,0.7463,56.88,1
78,Ven+Ear+Mar+Ura,4,True,816,591.27,595.18,138.01,0.2044,463,599.09,596.0,77.28,0.7187,60.72,1
79,Mer+Ven+Ear+Mar+Ura,5,True,960,738.93,742.67,129.92,0.2184,619,745.29,742.31,83.05,0.8222,46.86,1
84,Ear+Jup+Ura,3,True,662,443.84,447.67,149.15,0.2436,291,451.44,448.16,64.46,0.2835,84.69,1
85,Mer+Ear+Jup+Ura,4,True,808,592.3,595.97,136.42,0.2472,450,598.45,595.28,75.19,0.5335,61.22,1
86,Ven+Ear+Jup+Ura,4,True,827,591.54,595.38,139.81,0.1644,449,599.33,595.81,74.92,0.4831,64.89,1
87,Mer+Ven+Ear+Jup+Ura,5,True,972,739.17,742.84,131.5,0.1684,606,745.53,742.11,81.28,0.6563,50.21,1
92,Ear+Mar+Jup+Ura,4,True,788,591.32,595.14,133.26,0.3303,453,599.15,596.01,75.61,0.5499,57.65,1
93,Mer+Ear+Mar+Jup+Ura,5,True,933,738.95,742.62,126.26,0.3407,611,745.33,742.32,81.98,0.7179,44.28,1
94,Ven+Ear+Mar+Jup+Ura,5,True,953,738.19,742.03,129.1,0.25,610,746.22,742.84,81.75,0.6963,47.35,1
95,Mer+Ven+Ear+Mar+Jup+Ura,6,True,1097,885.01,888.68,123.95,0.2607,766,891.59,888.34,85.91,0.7942,38.04,1
100,Ear+Sat+Ura,3,True,672,443.9,447.86,151.38,0.1964,300,450.93,448.06,66.53,0.4743,84.85,1
101,Mer+Ear+Sat+Ura,4,True,818,592.36,596.14,138.09,0.1964,459,597.9,595.17,76.77,0.6807,61.32,1
102,Ven+Ear+Sat+Ura,4,True,837,591.61,595.56,141.48,0.1164,456,598.8,595.71,76.15,0.6171,65.33,1
103,Mer+Ven+Ear+Sat+Ura,5,True,982,739.25,743.02,132.84,0.1256,613,744.96,742.0,82.29,0.7666,50.55,1
108,Ear+Mar+Sat+Ura,4,True,798,591.43,595.34,134.93,0.2867,462,598.64,595.92,77.17,0.7043,57.75,1
109,Mer+Ear+Mar+Sat+Ura,5,True,943,739.05,742.8,127.6,0.2971,620,744.78,742.22,83.25,0.825,44.35,1
110,Ven+Ear+Mar+Sat+Ura,5,True,963,738.32,742.22,130.43,0.1996,617,745.69,742.75,82.74,0.7814,47.69,1
111,Mer+Ven+Ear+Mar+Sat+Ura,6,True,1107,885.14,888.86,125.07,0.2092,773,891.03,888.24,86.75,0.8642,38.31,1
