SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC17,1933-09,1944-01,109,Mercury,1,Conjunction,0,0.56,0.0,1.0,-0.75
SC17,1933-09,1944-01,109,Mercury,1,Opposition,1,0.65,153.14,1.0,0.45
SC17,1933-09,1944-01,109,Venus,1,Conjunction,1,0.61,163.4,0.9754,0.54
SC17,1933-09,1944-01,109,Venus,1,Opposition,0,0.59,0.0,1.0,-0.82
SC17,1933-09,1944-01,109,Mars,1,Conjunction,3,0.57,525.58,0.0712,2.95
SC17,1933-09,1944-01,109,Mars,1,Opposition,0,0.62,0.0,1.0,-0.75
SC17,1933-09,1944-01,109,Jupiter,1,Conjunction,1,0.57,176.37,0.909,0.59
SC17,1933-09,1944-01,109,Jupiter,1,Opposition,0,0.61,0.0,1.0,-0.76
SC17,1933-09,1944-01,109,Saturn,1,Conjunction,1,0.59,170.65,0.897,0.55
SC17,1933-09,1944-01,109,Saturn,1,Opposition,0,0.62,0.0,1.0,-0.81
SC17,1933-09,1944-01,109,Uranus,1,Conjunction,1,0.64,156.1,0.9658,0.46
SC17,1933-09,1944-01,109,Uranus,1,Opposition,0,0.56,0.0,1.0,-0.74
SC17,1933-09,1944-01,109,Neptune,1,Conjunction,1,0.68,146.76,0.9886,0.38
SC17,1933-09,1944-01,109,Neptune,1,Opposition,0,0.56,0.0,1.0,-0.73
SC17,1933-09,1944-01,109,Mercury,2,Conjunction,1,1.1,91.04,1.0,-0.1
SC17,1933-09,1944-01,109,Mercury,2,Opposition,1,1.3,77.08,1.0,-0.29
SC17,1933-09,1944-01,109,Venus,2,Conjunction,2,1.23,162.31,0.7167,0.82
SC17,1933-09,1944-01,109,Venus,2,Opposition,0,1.21,0.0,0.4891,-1.28
SC17,1933-09,1944-01,109,Mars,2,Conjunction,4,1.15,346.74,0.1196,2.35
SC17,1933-09,1944-01,109,Mars,2,Opposition,0,1.26,0.0,0.6063,-1.03
SC17,1933-09,1944-01,109,Jupiter,2,Conjunction,1,1.2,83.08,1.0,-0.19
SC17,1933-09,1944-01,109,Jupiter,2,Opposition,1,1.23,81.16,1.0,-0.2
SC17,1933-09,1944-01,109,Saturn,2,Conjunction,2,1.2,167.28,0.6935,0.71
SC17,1933-09,1944-01,109,Saturn,2,Opposition,0,1.24,0.0,0.5343,-1.1
SC17,1933-09,1944-01,109,Uranus,2,Conjunction,1,1.24,80.41,1.0,-0.22
SC17,1933-09,1944-01,109,Uranus,2,Opposition,0,1.12,0.0,0.6567,-1.04
SC17,1933-09,1944-01,109,Neptune,2,Conjunction,2,1.35,147.73,0.7023,0.52
SC17,1933-09,1944-01,109,Neptune,2,Opposition,1,1.08,92.99,1.0,-0.07
SC17,1933-09,1944-01,109,Mercury,3,Conjunction,1,1.64,61.0,0.9042,-0.54
SC17,1933-09,1944-01,109,Mercury,3,Opposition,1,1.95,51.19,0.779,-0.75
SC17,1933-09,1944-01,109,Venus,3,Conjunction,4,1.83,218.82,0.1328,2.03
SC17,1933-09,1944-01,109,Venus,3,Opposition,0,1.82,0.0,0.1884,-1.66
SC17,1933-09,1944-01,109,Mars,3,Conjunction,4,1.74,230.07,0.2675,1.56
