Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,3,3.45,3.46,86.85,1.0,3,3.51,3.51,85.53,1.0,1.32,1
2,Ven,1,False,3,3.49,3.5,85.93,1.0,1,3.5,3.5,28.56,0.2677,57.37,1
3,Mer+Ven,2,False,6,6.93,6.93,86.63,0.9092,4,6.99,6.99,57.24,0.3308,29.39,1
8,Mar,1,False,6,3.52,3.52,170.3,0.3028,4,3.49,3.48,114.77,0.8921,55.54,1
9,Mer+Mar,2,False,9,6.96,6.96,129.33,0.5343,7,6.97,6.98,100.37,1.0,28.95,1
10,Ven+Mar,2,False,9,6.99,7.0,128.71,0.5327,5,6.97,6.96,71.76,0.6153,56.95,1
11,Mer+Ven+Mar,3,False,12,10.41,10.42,115.28,0.6973,8,10.44,10.44,76.66,0.5655,38.62,1
16,Jup,1,False,2,3.52,3.51,56.86,0.6472,3,3.5,3.49,85.73,1.0,-28.87,1
17,Mer+Jup,2,False,5,6.95,6.94,71.92,0.6157,6,6.99,6.99,85.86,0.8825,-13.94,1
18,Ven+Jup,2,False,5,6.99,6.99,71.54,0.5717,4,6.98,6.98,57.28,0.3285,14.26,1
19,Mer+Ven+Jup,3,False,8,10.4,10.4,76.89,0.556,7,10.45,10.45,66.98,0.3396,9.91,1
24,Mar+Jup,2,False,8,7.02,7.01,113.93,0.8175,7,6.97,6.96,100.49,1.0,13.45,1
25,Mer+Mar+Jup,3,False,11,10.44,10.43,105.38,0.9407,10,10.44,10.43,95.82,1.0,9.56,1
26,Ven+Mar+Jup,3,False,11,10.47,10.47,105.05,0.9562,8,10.43,10.42,76.7,0.566,28.35,1
27,Mer+Ven+Mar+Jup,4,False,14,13.87,13.87,100.94,1.0,11,13.88,13.87,79.25,0.5292,21.69,1
32,Sat,1,False,1,3.49,3.49,28.65,0.2149,4,3.49,3.5,114.56,0.9139,-85.91,1
33,Mer+Sat,2,False,4,6.93,6.93,57.75,0.3358,7,6.98,6.99,100.29,1.0,-42.54,1
34,Ven+Sat,2,False,4,6.96,6.97,57.45,0.297,5,6.97,6.98,71.69,0.6022,-14.24,1
35,Mer+Ven+Sat,3,False,7,10.38,10.39,67.44,0.3368,8,10.44,10.45,76.61,0.5557,-9.17,1
40,Mar+Sat,2,False,7,7.0,7.0,100.07,1.0,7,6.96,6.96,100.61,1.0,-0.54,1
41,Mer+Mar+Sat,3,False,10,10.41,10.41,96.03,1.0,10,10.43,10.43,95.9,1.0,0.13,1
42,Ven+Mar+Sat,3,False,10,10.45,10.46,95.74,1.0,8,10.42,10.42,76.76,0.5763,18.97,1
43,Mer+Ven+Mar+Sat,4,False,13,13.84,13.85,93.9,0.9544,11,13.87,13.88,79.3,0.5429,14.6,1
48,Jup+Sat,2,False,3,6.99,6.98,42.94,0.1491,7,6.97,6.97,100.44,1.0,-57.49,1
49,Mer+Jup+Sat,3,False,6,10.4,10.39,57.68,0.1995,10,10.44,10.44,95.8,1.0,-38.12,1
50,Ven+Jup+Sat,3,False,6,10.44,10.44,57.48,0.1828,8,10.43,10.44,76.67,0.5601,-19.19,1
51,Mer+Ven+Jup+Sat,4,False,9,13.84,13.84,65.05,0.213,11,13.88,13.89,79.23,0.5284,-14.18,1
56,Mar+Jup+Sat,3,False,9,10.47,10.46,85.94,0.7947,10,10.42,10.42,96.0,1.0,-10.05,1
57,Mer+Mar+Jup+Sat,4,False,12,13.87,13.86,86.51,0.7401,13,13.87,13.87,93.74,0.9546,-7.23,1
58,Ven+Mar+Jup+Sat,4,False,12,13.9,13.9,86.32,0.7197,11,13.86,13.86,79.35,0.5379,6.97,1
59,Mer+Ven+Mar+Jup+Sat,5,False,15,17.28,17.28,86.79,0.6771,14,17.29,17.29,80.95,0.506,5.84,1
64,Ura,1,False,6,3.5,3.5,171.28,0.2944,3,3.46,3.47,86.69,1.0,84.59,1
65,Mer+Ura,2,False,9,6.94,6.93,129.73,0.5281,6,6.95,6.96,86.35,0.9013,43.39,1
66,Ven+Ura,2,False,9,6.97,6.97,129.04,0.5292,4,6.94,6.95,57.62,0.345,71.42,1
67,Mer+Ven+Ura,3,False,12,10.39,10.39,115.5,0.693,7,10.41,10.42,67.25,0.3521,48.25,1
72,Mar+Ura,2,False,12,7.01,7.0,171.25,0.1204,7,6.93,6.93,101.06,1.0,70.19,1
73,Mer+Mar+Ura,3,False,15,10.42,10.42,143.9,0.2252,10,10.4,10.4,96.19,1.0,47.72,1
74,Ven+Mar+Ura,3,False,15,10.46,10.46,143.44,0.2128,8,10.39,10.39,77.01,0.5812,66.44,1
75,Mer+Ven+Mar+Ura,4,False,18,13.85,13.86,129.92,0.3209,11,13.84,13.85,79.49,0.5426,50.43,1
80,Jup+Ura,2,False,8,7.0,6.98,114.27,0.817,6,6.94,6.94,86.46,0.9054,27.81,1
81,Mer+Jup+Ura,3,False,11,10.42,10.4,105.61,0.9377,9,10.41,10.42,86.46,0.7988,19.15,1
82,Ven+Jup+Ura,3,False,11,10.45,10.44,105.24,0.9572,7,10.4,10.41,67.29,0.3553,37.95,1
83,Mer+Ven+Jup+Ura,4,False,14,13.85,13.84,101.09,1.0,10,13.85,13.86,72.19,0.3539,28.9,1
88,Mar+Jup+Ura,3,False,14,10.49,10.47,133.51,0.3606,10,10.39,10.39,96.28,1.0,37.24,1
89,Mer+Mar+Jup+Ura,4,False,17,13.88,13.87,122.45,0.4776,13,13.84,13.84,93.94,0.9583,28.51,1
90,Ven+Mar+Jup+Ura,4,False,17,13.92,13.91,122.16,0.4683,11,13.83,13.83,79.53,0.5376,42.63,1
91,Mer+Ven+Mar+Jup+Ura,5,False,20,17.3,17.29,115.64,0.5725,14,17.26,17.27,81.1,0.5129,34.54,1
96,Sat+Ura,2,False,7,6.98,6.97,100.34,1.0,7,6.93,6.94,100.98,1.0,-0.64,1
97,Mer+Sat+Ura,3,False,10,10.39,10.39,96.22,1.0,10,10.4,10.42,96.14,1.0,0.08,1
98,Ven+Sat+Ura,3,False,10,10.43,10.43,95.89,1.0,8,10.39,10.41,76.96,0.5786,18.93,1
99,Mer+Ven+Sat+Ura,4,False,13,13.83,13.83,94.03,0.9574,11,13.84,13.86,79.46,0.5331,14.57,1
104,Mar+Sat+Ura,3,False,13,10.46,10.45,124.26,0.5101,10,10.38,10.39,96.35,1.0,27.91,1
105,Mer+Mar+Sat+Ura,4,False,16,13.86,13.85,115.43,0.6351,13,13.83,13.84,94.0,0.9695,21.44,1
106,Ven+Mar+Sat+Ura,4,False,16,13.89,13.89,115.17,0.6322,11,13.82,13.83,79.58,0.5527,35.59,1
