Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,11,3.48,3.5,315.94,0.188,0,3.49,3.5,0.0,1.0,315.94,1
5,Mer+Ear,2,True,14,6.93,6.93,202.1,0.2431,3,6.99,6.99,42.93,0.5763,159.18,1
6,Ven+Ear,2,True,14,6.95,6.98,201.38,0.2464,1,6.99,6.98,14.31,0.1423,187.08,1
7,Mer+Ven+Ear,3,True,17,10.38,10.39,163.78,0.2914,4,10.47,10.46,38.21,0.1764,125.57,1
12,Ear+Mar,2,True,17,6.99,7.0,243.37,0.0806,4,6.96,6.97,57.51,0.8441,185.86,1
13,Mer+Ear+Mar,3,True,20,10.41,10.42,192.08,0.1144,7,10.43,10.44,67.09,0.6932,124.99,1
14,Ven+Ear+Mar,3,True,20,10.43,10.46,191.66,0.1127,5,10.43,10.43,47.92,0.3372,143.74,1
15,Mer+Ven+Ear+Mar,4,True,23,13.84,13.86,166.13,0.1496,8,13.89,13.88,57.58,0.3123,108.55,1
20,Ear+Jup,2,True,13,6.98,6.98,186.32,0.3315,3,6.97,6.98,43.07,0.5955,143.25,1
21,Mer+Ear+Jup,3,True,16,10.4,10.4,153.81,0.3744,6,10.44,10.45,57.46,0.4996,96.36,1
22,Ven+Ear+Jup,3,True,16,10.43,10.44,153.43,0.3764,4,10.45,10.44,38.3,0.1842,115.13,1
23,Mer+Ven+Ear+Jup,4,True,19,13.84,13.84,137.32,0.416,7,13.9,13.89,50.35,0.1896,86.98,1
28,Ear+Mar+Jup,3,True,19,10.46,10.47,181.63,0.1662,7,10.41,10.42,67.25,0.6989,114.39,1
29,Mer+Ear+Mar+Jup,4,True,22,13.87,13.87,158.64,0.2041,10,13.87,13.88,72.11,0.6189,86.54,1
30,Ven+Ear+Mar+Jup,4,True,22,13.89,13.91,158.37,0.2043,8,13.87,13.87,57.68,0.3152,100.69,1
31,Mer+Ven+Ear+Mar+Jup,5,True,25,17.28,17.29,144.67,0.2424,11,17.31,17.3,63.55,0.2968,81.12,1
36,Ear+Sat,2,True,12,6.95,6.97,172.68,0.4178,4,6.96,6.98,57.49,0.8257,115.19,1
37,Mer+Ear+Sat,3,True,15,10.38,10.39,144.57,0.4599,7,10.43,10.45,67.08,0.6916,77.48,1
38,Ven+Ear+Sat,3,True,15,10.4,10.43,144.22,0.4605,5,10.44,10.44,47.91,0.3336,96.31,1
39,Mer+Ven+Ear+Sat,4,True,18,13.81,13.83,130.34,0.5025,8,13.89,13.9,57.58,0.3125,72.76,1
44,Ear+Mar+Sat,3,True,18,10.43,10.45,172.52,0.2212,7,10.4,10.43,67.3,0.7081,105.22,1
45,Mer+Ear+Mar+Sat,4,True,21,13.84,13.85,151.71,0.2669,10,13.86,13.88,72.15,0.6216,79.56,1
46,Ven+Ear+Mar+Sat,4,True,21,13.87,13.89,151.46,0.2575,8,13.86,13.87,57.72,0.3214,93.74,1
