Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect
All,Small <100,1,Conjunction,151201,5925,5882.85,5883.27,100.72,0.5961080778384432,0.53,Enhancement
All,Small <100,1,Opposition,151201,5877,5875.49,5876.02,100.03,0.9801803963920721,0.02,Enhancement
All,Small <100,2,Conjunction,151201,11726,11766.1,11766.37,99.66,0.7340253194936102,-0.36,Suppression
All,Small <100,2,Opposition,151201,11886,11751.62,11752.05,101.14,0.22571548569028618,1.22,Enhancement
All,Small <100,3,Conjunction,151201,17634,17649.32,17649.42,99.91,0.9339013219735606,-0.11,Suppression
All,Small <100,3,Opposition,151201,17795,17627.45,17628.14,100.95,0.23079538409231815,1.22,Enhancement
All,Small <100,4,Conjunction,151201,23461,23532.38,23532.33,99.7,0.6836263274734505,-0.43,Suppression
All,Small <100,4,Opposition,151201,23621,23503.72,23504.26,100.5,0.46851062978740426,0.73,Enhancement
All,Small <100,5,Conjunction,151201,29269,29415.62,29415.22,99.5,0.4370712585748285,-0.79,Suppression
All,Small <100,5,Opposition,151201,29619,29379.79,29380.44,100.81,0.20647587048259033,1.3,Enhancement
All,Medium 100-500,1,Conjunction,86883,3332,3380.22,3379.86,98.57,0.41991160176796466,-0.82,Suppression
All,Medium 100-500,1,Opposition,86883,3431,3378.19,3378.81,101.56,0.374192516149677,0.89,Enhancement
All,Medium 100-500,2,Conjunction,86883,6752,6760.28,6759.7,99.88,0.9429811403771925,-0.1,Suppression
All,Medium 100-500,2,Opposition,86883,6880,6757.01,6757.65,101.82,0.15295694086118278,1.45,Enhancement
All,Medium 100-500,3,Conjunction,86883,10151,10140.41,10139.53,100.1,0.9134617307653847,0.1,Enhancement
All,Medium 100-500,3,Opposition,86883,10202,10135.71,10136.36,100.65,0.5252694946101077,0.64,Enhancement
All,Medium 100-500,4,Conjunction,86883,13561,13520.12,13519.29,100.3,0.7353852922941542,0.34,Enhancement
All,Medium 100-500,4,Opposition,86883,13586,13514.51,13515.01,100.53,0.5505889882202356,0.6,Enhancement
All,Medium 100-500,5,Conjunction,86883,16949,16899.61,16899.0,100.29,0.7117057658846823,0.37,Enhancement
All,Medium 100-500,5,Opposition,86883,16896,16892.88,16893.73,100.02,0.9752604947901042,0.02,Enhancement
All,Large 500-2000,1,Conjunction,18110,720,704.24,704.34,102.24,0.5695886082278354,0.59,Enhancement
All,Large 500-2000,1,Opposition,18110,700,703.91,703.9,99.44,0.8991820163596728,-0.15,Suppression
All,Large 500-2000,2,Conjunction,18110,1470,1408.71,1408.69,104.35,0.10567788644227115,1.61,Enhancement
All,Large 500-2000,2,Opposition,18110,1467,1407.73,1407.83,104.21,0.12343753124937501,1.55,Enhancement
All,Large 500-2000,3,Conjunction,18110,2145,2112.96,2113.03,101.52,0.501629967400652,0.68,Enhancement
All,Large 500-2000,3,Opposition,18110,2155,2111.37,2111.77,102.07,0.36539269214615705,0.92,Enhancement
All,Large 500-2000,4,Conjunction,18110,2891,2817.46,2817.38,102.61,0.1867162656746865,1.32,Enhancement
All,Large 500-2000,4,Opposition,18110,2861,2815.21,2815.75,101.63,0.42111157776844466,0.83,Enhancement
All,Large 500-2000,5,Conjunction,18110,3538,3521.68,3521.66,100.46,0.8247035059298814,0.26,Enhancement
All,Large 500-2000,5,Opposition,18110,3551,3519.06,3519.73,100.91,0.632027359452811,0.51,Enhancement
All,XLarge >2000,1,Conjunction,630,23,24.51,24.51,93.83,0.8564628707425852,-0.31,Suppression
All,XLarge >2000,1,Opposition,630,20,24.51,24.51,81.59,0.43263134737305253,-0.91,Suppression
All,XLarge >2000,2,Conjunction,630,51,49.02,49.01,104.05,0.8045439091218176,0.3,Enhancement
All,XLarge >2000,2,Opposition,630,47,49.01,49.02,95.9,0.8383432331353373,-0.29,Suppression
All,XLarge >2000,3,Conjunction,630,82,73.55,73.52,111.49,0.2982340353192936,1.11,Enhancement
All,XLarge >2000,3,Opposition,630,67,73.52,73.53,91.14,0.46755064898702026,-0.79,Suppression
All,XLarge >2000,4,Conjunction,630,102,98.06,98.02,104.02,0.6739865202695946,0.46,Enhancement
All,XLarge >2000,4,Opposition,630,85,98.0,98.03,86.73,0.18079638407231854,-1.39,Suppression
All,XLarge >2000,5,Conjunction,630,134,122.55,122.54,109.34,0.24451510969780604,1.22,Enhancement
All,XLarge >2000,5,Opposition,630,96,122.47,122.52,78.39,0.00747985040299194,-2.57,Suppression
All,Total,1,Conjunction,256824,10000,9991.82,9991.98,100.08,0.9385812283754325,0.08,Enhancement
All,Total,1,Opposition,256824,10028,9982.1,9983.23,100.46,0.6553868922621547,0.44,Enhancement
All,Total,2,Conjunction,256824,19999,19984.11,19983.77,100.07,0.9151816963660727,0.1,Enhancement
All,Total,2,Opposition,256824,20280,19965.36,19966.56,101.58,0.04359912801743965,2.06,Enhancement
All,Total,3,Conjunction,256824,30012,29976.24,29975.5,100.12,0.8410231795364093,0.18,Enhancement
All,Total,3,Opposition,256824,30219,29948.06,29949.8,100.9,0.17671646567068658,1.37,Enhancement
All,Total,4,Conjunction,256824,40015,39968.03,39967.02,100.12,0.8211435771284574,0.2,Enhancement
All,Total,4,Opposition,256824,40153,39931.44,39933.06,100.55,0.34615307693846126,0.94,Enhancement
All,Total,5,Conjunction,256824,49890,49959.46,49958.41,99.86,0.8136237275254495,-0.26,Suppression
All,Total,5,Opposition,256824,50162,49914.21,49916.41,100.5,0.35787284254314916,0.91,Enhancement
Daily,Small <100,1,Conjunction,8268,355,322.18,322.08,110.19,0.06779864402711945,1.86,Enhancement
Daily,Small <100,1,Opposition,8268,338,320.95,321.1,105.31,0.34823303533929323,0.97,Enhancement
Daily,Small <100,2,Conjunction,8268,656,644.25,644.17,101.82,0.6441071178576429,0.47,Enhancement
Daily,Small <100,2,Opposition,8268,700,642.1,642.2,109.02,0.019639607207855844,2.32,Enhancement
Daily,Small <100,3,Conjunction,8268,965,966.34,966.24,99.86,0.991060178796424,-0.04,Suppression
Daily,Small <100,3,Opposition,8268,1036,963.21,963.3,107.56,0.01727965440691186,2.34,Enhancement
Daily,Small <100,4,Conjunction,8268,1299,1288.35,1288.32,100.83,0.7629847403051939,0.3,Enhancement
Daily,Small <100,4,Opposition,8268,1367,1284.2,1284.41,106.45,0.01995960080798384,2.3,Enhancement
Daily,Small <100,5,Conjunction,8268,1588,1610.48,1610.41,98.6,0.5783084338313234,-0.57,Suppression
Daily,Small <100,5,Opposition,8268,1694,1605.24,1605.54,105.53,0.028119437611247775,2.18,Enhancement
Daily,Medium 100-500,1,Conjunction,29,1,1.15,1.14,87.15,1.0,-0.14,Suppression
Daily,Medium 100-500,1,Opposition,29,0,1.12,1.11,0.0,0.6551468970620588,-1.06,Suppression
Daily,Medium 100-500,2,Conjunction,29,1,2.3,2.29,43.52,0.6801463970720586,-0.84,Suppression
Daily,Medium 100-500,2,Opposition,29,1,2.23,2.23,44.8,0.6820663586728265,-0.85,Suppression
Daily,Medium 100-500,3,Conjunction,29,3,3.45,3.44,86.99,1.0,-0.24,Suppression
Daily,Medium 100-500,3,Opposition,29,2,3.34,3.34,59.81,0.6881462370752585,-0.76,Suppression
Daily,Medium 100-500,4,Conjunction,29,3,4.6,4.58,65.23,0.6502669946601068,-0.74,Suppression
Daily,Medium 100-500,4,Opposition,29,3,4.45,4.45,67.43,0.6847463050738986,-0.72,Suppression
Daily,Medium 100-500,5,Conjunction,29,6,5.74,5.73,104.52,1.0,0.11,Enhancement
Daily,Medium 100-500,5,Opposition,29,5,5.56,5.56,89.92,1.0,-0.25,Suppression
Daily,Large 500-2000,1,Conjunction,4,0,0.15,0.15,0.0,1.0,-0.4,Suppression
Daily,Large 500-2000,1,Opposition,4,0,0.16,0.16,0.0,1.0,-0.4,Suppression
Daily,Large 500-2000,2,Conjunction,4,0,0.31,0.31,0.0,1.0,-0.57,Suppression
Daily,Large 500-2000,2,Opposition,4,0,0.31,0.32,0.0,1.0,-0.57,Suppression
Daily,Large 500-2000,3,Conjunction,4,0,0.46,0.46,0.0,1.0,-0.7,Suppression
Daily,Large 500-2000,3,Opposition,4,0,0.47,0.48,0.0,1.0,-0.69,Suppression
Daily,Large 500-2000,4,Conjunction,4,0,0.61,0.61,0.0,1.0,-0.81,Suppression
Daily,Large 500-2000,4,Opposition,4,0,0.63,0.63,0.0,1.0,-0.8,Suppression
Daily,Large 500-2000,5,Conjunction,4,1,0.77,0.76,130.34,1.0,0.27,Enhancement
Daily,Large 500-2000,5,Opposition,4,0,0.79,0.79,0.0,0.9085418291634167,-0.89,Suppression
Daily,Total,1,Conjunction,8301,356,323.48,323.37,110.05,0.07239855202895942,1.84,Enhancement
Daily,Total,1,Opposition,8301,338,322.23,322.37,104.9,0.38963220735585286,0.89,Enhancement
Daily,Total,2,Conjunction,8301,657,646.86,646.76,101.57,0.6919061618767625,0.41,Enhancement
Daily,Total,2,Opposition,8301,701,644.65,644.74,108.74,0.02379952400951981,2.26,Enhancement
Daily,Total,3,Conjunction,8301,968,970.25,970.13,99.77,0.9677006459870803,-0.07,Suppression
Daily,Total,3,Opposition,8301,1038,967.03,967.11,107.34,0.01995960080798384,2.28,Enhancement
Daily,Total,4,Conjunction,8301,1302,1293.56,1293.51,100.65,0.8102237955240895,0.24,Enhancement
Daily,Total,4,Opposition,8301,1370,1289.28,1289.49,106.26,0.02375952480950381,2.24,Enhancement
Daily,Total,5,Conjunction,8301,1595,1616.99,1616.9,98.64,0.5921481570368593,-0.56,Suppression
Daily,Total,5,Opposition,8301,1699,1611.59,1611.89,105.42,0.030239395212095756,2.15,Enhancement
Dissipation,Small <100,1,Conjunction,27541,1112,1071.77,1071.87,103.75,0.24507509849803005,1.18,Enhancement
Dissipation,Small <100,1,Opposition,27541,1068,1070.01,1070.28,99.81,0.9637007259854803,-0.06,Suppression
