Stage,Group,Window,Type,N_Records,k_obs,k_exp,k_exp_kepler,Ratio,p_val,Z_score,Effect
All,Small <100,1,Conjunction,151201,5805,5786.88,5786.51,100.31,0.8232635347293055,0.24,Enhancement
All,Small <100,1,Opposition,151201,5780,5780.45,5779.49,99.99,0.99730005399892,-0.01,Suppression
All,Small <100,2,Conjunction,151201,11269,11382.34,11382.85,99.0,0.2901141977160457,-1.07,Suppression
All,Small <100,2,Opposition,151201,11477,11371.38,11369.45,100.93,0.34147317053658927,0.96,Enhancement
All,Small <100,3,Conjunction,151201,16649,16793.73,16794.36,99.14,0.2660346793064139,-1.12,Suppression
All,Small <100,3,Opposition,151201,16863,16780.44,16775.1,100.49,0.5707885842283155,0.57,Enhancement
All,Small <100,4,Conjunction,151201,21792,22025.55,22026.04,98.94,0.12723745525089497,-1.56,Suppression
All,Small <100,4,Opposition,151201,21986,22010.44,22001.48,99.89,0.9131817363652727,-0.14,Suppression
All,Small <100,5,Conjunction,151201,26730,27085.95,27083.0,98.69,0.04391912161756765,-2.08,Suppression
All,Small <100,5,Opposition,151201,27066,27071.59,27053.57,99.98,0.9865402691946161,-0.03,Suppression
All,Medium 100-500,1,Conjunction,86883,3270,3324.22,3324.28,98.37,0.35479290414191716,-0.94,Suppression
All,Medium 100-500,1,Opposition,86883,3379,3323.59,3323.26,101.67,0.3456730865382692,0.96,Enhancement
All,Medium 100-500,2,Conjunction,86883,6510,6539.76,6539.42,99.54,0.7305853882922342,-0.36,Suppression
All,Medium 100-500,2,Opposition,86883,6655,6538.43,6537.5,101.78,0.15747685046299073,1.42,Enhancement
All,Medium 100-500,3,Conjunction,86883,9641,9649.94,9648.41,99.91,0.9273814523709526,-0.09,Suppression
All,Medium 100-500,3,Opposition,86883,9701,9647.29,9645.53,100.56,0.6000279994400112,0.53,Enhancement
All,Medium 100-500,4,Conjunction,86883,12674,12656.28,12654.12,100.14,0.8956220875582488,0.16,Enhancement
All,Medium 100-500,4,Opposition,86883,12705,12653.16,12650.36,100.41,0.6771464570708586,0.44,Enhancement
All,Medium 100-500,5,Conjunction,86883,15566,15564.18,15559.42,100.01,0.9975400491990161,0.01,Enhancement
All,Medium 100-500,5,Opposition,86883,15573,15561.99,15554.94,100.07,0.9387412251754965,0.08,Enhancement
All,Large 500-2000,1,Conjunction,18110,708,692.67,692.76,102.21,0.5674286514269714,0.59,Enhancement
All,Large 500-2000,1,Opposition,18110,686,692.29,692.33,99.09,0.8278234435311294,-0.24,Suppression
All,Large 500-2000,2,Conjunction,18110,1421,1362.81,1362.79,104.27,0.10695786084278315,1.6,Enhancement
All,Large 500-2000,2,Opposition,18110,1402,1361.93,1361.99,102.94,0.27899442011159775,1.1,Enhancement
All,Large 500-2000,3,Conjunction,18110,2033,2010.95,2010.7,101.1,0.628467430651387,0.5,Enhancement
All,Large 500-2000,3,Opposition,18110,2031,2010.02,2009.55,101.04,0.6410671786564268,0.47,Enhancement
All,Large 500-2000,4,Conjunction,18110,2684,2637.51,2637.11,101.76,0.3629927401451971,0.92,Enhancement
All,Large 500-2000,4,Opposition,18110,2652,2636.23,2635.69,100.6,0.7705045899082018,0.3,Enhancement
All,Large 500-2000,5,Conjunction,18110,3243,3243.2,3242.55,99.99,0.9829003419931601,-0.0,Suppression
All,Large 500-2000,5,Opposition,18110,3249,3242.2,3240.91,100.21,0.9309013819723605,0.11,Enhancement
All,XLarge >2000,1,Conjunction,630,23,24.09,24.1,95.47,0.9187416251674967,-0.23,Suppression
All,XLarge >2000,1,Opposition,630,19,24.09,24.11,78.87,0.3520329593408132,-1.04,Suppression
All,XLarge >2000,2,Conjunction,630,49,47.44,47.41,103.28,0.8532629347413052,0.25,Enhancement
All,XLarge >2000,2,Opposition,630,45,47.41,47.43,94.92,0.7838243235135297,-0.37,Suppression
All,XLarge >2000,3,Conjunction,630,77,69.96,69.96,110.07,0.35823283534329314,0.99,Enhancement
All,XLarge >2000,3,Opposition,630,64,69.95,69.97,91.5,0.48063038739225217,-0.77,Suppression
All,XLarge >2000,4,Conjunction,630,94,91.88,91.75,102.31,0.8355832883342333,0.27,Enhancement
All,XLarge >2000,4,Opposition,630,82,91.68,91.75,89.44,0.2854342913141737,-1.14,Suppression
All,XLarge >2000,5,Conjunction,630,119,113.02,112.82,105.29,0.5188696226075479,0.7,Enhancement
All,XLarge >2000,5,Opposition,630,92,112.85,112.81,81.53,0.022879542409151816,-2.28,Suppression
All,Total,1,Conjunction,256824,9806,9828.17,9827.65,99.77,0.8337033259334813,-0.22,Suppression
All,Total,1,Opposition,256824,9864,9820.3,9819.19,100.45,0.6713465730685386,0.43,Enhancement
All,Total,2,Conjunction,256824,19249,19332.88,19332.47,99.57,0.5711485770284594,-0.57,Suppression
All,Total,2,Opposition,256824,19579,19321.13,19316.36,101.33,0.1007179856402872,1.65,Enhancement
All,Total,3,Conjunction,256824,28400,28523.71,28523.43,99.57,0.500029999400012,-0.66,Suppression
All,Total,3,Opposition,256824,28659,28508.45,28500.15,100.53,0.48055038899222013,0.71,Enhancement
All,Total,4,Conjunction,256824,37244,37410.28,37409.02,99.56,0.4381912361752765,-0.74,Suppression
All,Total,4,Opposition,256824,37425,37391.03,37379.28,100.09,0.8865822683546329,0.13,Enhancement
All,Total,5,Conjunction,256824,45658,46006.8,45997.8,99.24,0.19231615367692645,-1.33,Suppression
All,Total,5,Opposition,256824,45980,45988.77,45962.24,99.98,1.0,-0.03,Suppression
Daily,Small <100,1,Conjunction,8268,349,316.71,316.77,110.19,0.06799864002719945,1.88,Enhancement
Daily,Small <100,1,Opposition,8268,332,315.73,315.83,105.15,0.37007259854802904,0.94,Enhancement
Daily,Small <100,2,Conjunction,8268,636,623.09,623.15,102.07,0.5927081458370833,0.55,Enhancement
Daily,Small <100,2,Opposition,8268,675,621.57,621.3,108.6,0.028159436811263774,2.22,Enhancement
Daily,Small <100,3,Conjunction,8268,926,919.38,919.38,100.72,0.8235835283294334,0.23,Enhancement
Daily,Small <100,3,Opposition,8268,974,917.3,916.71,106.18,0.05483890322193556,1.92,Enhancement
Daily,Small <100,4,Conjunction,8268,1231,1205.86,1205.77,102.08,0.4378712425751485,0.79,Enhancement
Daily,Small <100,4,Opposition,8268,1270,1202.93,1202.34,105.58,0.04927901441971161,1.97,Enhancement
Daily,Small <100,5,Conjunction,8268,1475,1482.89,1482.59,99.47,0.8393832123357533,-0.23,Suppression
Daily,Small <100,5,Opposition,8268,1555,1479.85,1478.46,105.08,0.04403911921761565,1.98,Enhancement
Daily,Medium 100-500,1,Conjunction,29,1,1.13,1.13,88.63,1.0,-0.12,Suppression
Daily,Medium 100-500,1,Opposition,29,0,1.1,1.1,0.0,0.6575068498630028,-1.06,Suppression
Daily,Medium 100-500,2,Conjunction,29,1,2.22,2.22,45.12,0.6914261714765705,-0.83,Suppression
Daily,Medium 100-500,2,Opposition,29,1,2.17,2.16,46.14,0.7031459370812584,-0.83,Suppression
Daily,Medium 100-500,3,Conjunction,29,3,3.25,3.27,92.23,1.0,-0.14,Suppression
Daily,Medium 100-500,3,Opposition,29,2,3.19,3.18,62.67,0.7319053618927621,-0.72,Suppression
Daily,Medium 100-500,4,Conjunction,29,3,4.28,4.28,70.06,0.7326653466930662,-0.66,Suppression
Daily,Medium 100-500,4,Opposition,29,3,4.19,4.17,71.56,0.754144917101658,-0.65,Suppression
Daily,Medium 100-500,5,Conjunction,29,6,5.26,5.27,114.09,0.869742605147897,0.35,Enhancement
Daily,Medium 100-500,5,Opposition,29,5,5.17,5.12,96.7,1.0,-0.08,Suppression
Daily,Large 500-2000,1,Conjunction,4,0,0.15,0.15,0.0,1.0,-0.4,Suppression
Daily,Large 500-2000,1,Opposition,4,0,0.15,0.16,0.0,1.0,-0.4,Suppression
Daily,Large 500-2000,2,Conjunction,4,0,0.3,0.3,0.0,1.0,-0.58,Suppression
Daily,Large 500-2000,2,Opposition,4,0,0.3,0.31,0.0,1.0,-0.58,Suppression
Daily,Large 500-2000,3,Conjunction,4,0,0.44,0.44,0.0,1.0,-0.71,Suppression
Daily,Large 500-2000,3,Opposition,4,0,0.45,0.45,0.0,1.0,-0.72,Suppression
Daily,Large 500-2000,4,Conjunction,4,0,0.58,0.57,0.0,1.0,-0.83,Suppression
Daily,Large 500-2000,4,Opposition,4,0,0.58,0.59,0.0,1.0,-0.83,Suppression
Daily,Large 500-2000,5,Conjunction,4,1,0.7,0.7,143.58,1.0,0.41,Enhancement
Daily,Large 500-2000,5,Opposition,4,0,0.71,0.73,0.0,0.9085018299634008,-0.94,Suppression
Daily,Total,1,Conjunction,8301,350,318.02,318.05,110.06,0.07159856802863943,1.86,Enhancement
Daily,Total,1,Opposition,8301,332,317.12,317.08,104.69,0.4124317513649727,0.86,Enhancement
Daily,Total,2,Conjunction,8301,637,625.66,625.66,101.81,0.6428671426571468,0.48,Enhancement
Daily,Total,2,Opposition,8301,676,624.04,623.76,108.33,0.031679366412671744,2.16,Enhancement
Daily,Total,3,Conjunction,8301,929,922.96,923.08,100.65,0.8358632827343453,0.21,Enhancement
Daily,Total,3,Opposition,8301,976,920.65,920.34,106.01,0.06087878242435151,1.87,Enhancement
Daily,Total,4,Conjunction,8301,1234,1210.57,1210.62,101.94,0.4731905361892762,0.74,Enhancement
Daily,Total,4,Opposition,8301,1273,1207.82,1207.1,105.4,0.05351892962140757,1.93,Enhancement
Daily,Total,5,Conjunction,8301,1482,1488.71,1488.56,99.55,0.8570628587428252,-0.19,Suppression
Daily,Total,5,Opposition,8301,1560,1486.05,1484.31,104.98,0.04803903921921562,1.94,Enhancement
Dissipation,Small <100,1,Conjunction,27541,1088,1054.18,1054.24,103.21,0.3170336593268135,1.02,Enhancement
Dissipation,Small <100,1,Opposition,27541,1047,1052.72,1052.7,99.46,0.879342413151737,-0.17,Suppression
Dissipation,Small <100,2,Conjunction,27541,2058,2073.66,2073.85,99.24,0.7308653826923461,-0.34,Suppression
Dissipation,Small <100,2,Opposition,27541,2126,2071.28,2070.87,102.64,0.25399492010159797,1.16,Enhancement
Dissipation,Small <100,3,Conjunction,27541,3039,3059.54,3059.8,99.33,0.7142257154856902,-0.37,Suppression
Dissipation,Small <100,3,Opposition,27541,3106,3056.53,3055.45,101.62,0.4078318433631327,0.85,Enhancement
Dissipation,Small <100,4,Conjunction,27541,4005,4013.08,4012.98,99.8,0.8994620107597848,-0.13,Suppression
Dissipation,Small <100,4,Opposition,27541,4082,4008.88,4007.31,101.82,0.2966340673186536,1.07,Enhancement
Dissipation,Small <100,5,Conjunction,27541,4898,4935.51,4934.32,99.24,0.5847883042339154,-0.55,Suppression
Dissipation,Small <100,5,Opposition,27541,4974,4930.54,4927.42,100.88,0.5897482050358993,0.56,Enhancement
Dissipation,Medium 100-500,1,Conjunction,318,6,12.11,12.13,49.53,0.07983840323193536,-1.81,Suppression
