SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC12,1878-12,1890-02,364,Mercury,1,Conjunction,1,2.04,48.94,0.8126,-0.69
SC12,1878-12,1890-02,364,Mercury,1,Opposition,3,2.0,149.9,0.6571,0.77
SC12,1878-12,1890-02,364,Venus,1,Conjunction,1,2.02,49.61,0.8102,-0.71
SC12,1878-12,1890-02,364,Venus,1,Opposition,0,2.02,0.0,0.2456,-1.45
SC12,1878-12,1890-02,364,Mars,1,Conjunction,3,2.04,147.03,0.6891,0.64
SC12,1878-12,1890-02,364,Mars,1,Opposition,1,2.02,49.45,0.8006,-0.73
SC12,1878-12,1890-02,364,Jupiter,1,Conjunction,1,2.06,48.46,0.7558,-0.75
SC12,1878-12,1890-02,364,Jupiter,1,Opposition,3,2.02,148.69,0.5967,0.72
SC12,1878-12,1890-02,364,Saturn,1,Conjunction,1,2.04,49.05,0.7734,-0.74
SC12,1878-12,1890-02,364,Saturn,1,Opposition,2,1.99,100.67,1.0,0.01
SC12,1878-12,1890-02,364,Uranus,1,Conjunction,7,2.01,348.74,0.008,3.51
SC12,1878-12,1890-02,364,Uranus,1,Opposition,1,2.07,48.36,0.8142,-0.73
SC12,1878-12,1890-02,364,Neptune,1,Conjunction,1,2.04,48.93,0.817,-0.75
SC12,1878-12,1890-02,364,Neptune,1,Opposition,1,2.1,47.61,0.7814,-0.77
SC12,1878-12,1890-02,364,Mercury,2,Conjunction,5,4.11,121.78,0.7618,0.41
SC12,1878-12,1890-02,364,Mercury,2,Opposition,5,3.98,125.63,0.7151,0.57
SC12,1878-12,1890-02,364,Venus,2,Conjunction,5,4.09,122.27,0.783,0.45
SC12,1878-12,1890-02,364,Venus,2,Opposition,4,4.06,98.45,1.0,-0.03
SC12,1878-12,1890-02,364,Mars,2,Conjunction,3,4.01,74.76,0.8594,-0.49
SC12,1878-12,1890-02,364,Mars,2,Opposition,5,3.96,126.28,0.7247,0.54
SC12,1878-12,1890-02,364,Jupiter,2,Conjunction,2,4.09,48.93,0.4163,-1.03
SC12,1878-12,1890-02,364,Jupiter,2,Opposition,4,4.04,99.12,1.0,-0.02
SC12,1878-12,1890-02,364,Saturn,2,Conjunction,4,4.07,98.26,1.0,-0.04
SC12,1878-12,1890-02,364,Saturn,2,Opposition,4,4.02,99.45,1.0,-0.01
SC12,1878-12,1890-02,364,Uranus,2,Conjunction,11,3.95,278.82,0.0088,3.75
SC12,1878-12,1890-02,364,Uranus,2,Opposition,3,4.08,73.59,0.7706,-0.54
SC12,1878-12,1890-02,364,Neptune,2,Conjunction,4,4.09,97.75,1.0,-0.05
SC12,1878-12,1890-02,364,Neptune,2,Opposition,4,4.12,97.06,1.0,-0.06
SC12,1878-12,1890-02,364,Mercury,3,Conjunction,7,6.16,113.7,0.803,0.31
SC12,1878-12,1890-02,364,Mercury,3,Opposition,5,5.96,83.85,0.859,-0.45
SC12,1878-12,1890-02,364,Venus,3,Conjunction,7,6.06,115.56,0.8042,0.39
SC12,1878-12,1890-02,364,Venus,3,Opposition,7,6.01,116.48,0.7734,0.41
SC12,1878-12,1890-02,364,Mars,3,Conjunction,4,6.14,65.18,0.5699,-0.82
SC12,1878-12,1890-02,364,Mars,3,Opposition,9,6.1,147.56,0.3259,1.25
SC12,1878-12,1890-02,364,Jupiter,3,Conjunction,2,6.11,32.73,0.1196,-1.61
SC12,1878-12,1890-02,364,Jupiter,3,Opposition,7,6.05,115.79,0.7586,0.4
SC12,1878-12,1890-02,364,Saturn,3,Conjunction,11,6.09,180.55,0.1036,1.91
SC12,1878-12,1890-02,364,Saturn,3,Opposition,5,6.01,83.19,0.851,-0.43
SC12,1878-12,1890-02,364,Uranus,3,Conjunction,12,6.06,198.1,0.0304,2.57
SC12,1878-12,1890-02,364,Uranus,3,Opposition,4,6.1,65.57,0.5235,-0.89
SC12,1878-12,1890-02,364,Neptune,3,Conjunction,6,6.2,96.77,1.0,-0.08
