Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,146,46.03,46.2,317.2,0.1983,0,45.92,46.03,0.0,1.0,317.2,1
5,Mer+Ear,2,True,200,92.84,93.02,215.42,0.1544,57,90.87,90.96,62.73,0.8658,152.7,1
6,Ven+Ear,2,True,190,91.91,92.08,206.72,0.2037,39,91.74,91.87,42.51,0.2002,164.21,1
7,Mer+Ven+Ear,3,True,243,138.46,138.64,175.5,0.1658,96,136.43,136.55,70.36,0.863,105.13,1
12,Ear+Mar,2,True,196,91.67,91.81,213.81,0.1689,50,92.06,92.14,54.31,0.8688,159.5,1
13,Mer+Ear+Mar,3,True,250,138.22,138.37,180.86,0.1282,107,136.75,136.82,78.25,0.8757,102.62,1
14,Ven+Ear+Mar,3,True,239,137.3,137.44,174.07,0.1808,88,137.61,137.72,63.95,0.4144,110.12,1
15,Mer+Ven+Ear+Mar,4,True,292,183.6,183.74,159.04,0.1437,145,182.06,182.15,79.64,0.9253,79.4,1
20,Ear+Jup,2,True,205,91.9,92.08,223.07,0.1216,49,91.76,91.87,53.4,0.8188,169.68,1
21,Mer+Ear+Jup,3,True,259,138.44,138.64,187.08,0.0815,106,136.45,136.55,77.68,0.8847,109.4,1
22,Ven+Ear+Jup,3,True,249,137.53,137.71,181.06,0.129,88,137.32,137.46,64.08,0.4265,116.97,1
23,Mer+Ven+Ear+Jup,4,True,302,183.81,184.01,164.3,0.0934,145,181.76,181.89,79.78,0.9346,84.52,1
28,Ear+Mar+Jup,3,True,255,137.29,137.43,185.74,0.0958,98,137.64,137.72,71.2,0.8827,114.54,1
29,Mer+Ear+Mar+Jup,4,True,309,183.58,183.74,168.32,0.0619,155,182.08,182.15,85.13,0.8832,83.19,1
30,Ven+Ear+Mar+Jup,4,True,298,182.67,182.81,163.14,0.1093,136,182.94,183.05,74.34,0.5405,88.8,1
31,Mer+Ven+Ear+Mar+Jup,5,True,351,228.7,228.86,153.48,0.0776,193,227.13,227.23,84.97,0.9592,68.5,1
36,Ear+Sat,2,True,193,92.16,92.29,209.43,0.1896,53,91.58,91.68,57.87,0.9916,151.55,1
37,Mer+Ear+Sat,3,True,247,138.7,138.84,178.09,0.1453,110,136.27,136.36,80.72,0.8319,97.36,1
38,Ven+Ear+Sat,3,True,237,137.78,137.92,172.01,0.1973,92,137.14,137.27,67.09,0.6257,104.93,1
39,Mer+Ven+Ear+Sat,4,True,290,184.06,184.21,157.55,0.1567,149,181.58,181.69,82.06,0.9766,75.5,1
44,Ear+Mar+Sat,3,True,243,137.55,137.64,176.66,0.1602,103,137.46,137.53,74.93,0.9673,101.73,1
45,Mer+Ear+Mar+Sat,4,True,297,183.84,183.94,161.56,0.1192,160,181.89,181.96,87.96,0.8276,73.59,1
46,Ven+Ear+Mar+Sat,4,True,286,182.93,183.02,156.35,0.171,141,182.76,182.86,77.15,0.7579,79.2,1
47,Mer+Ven+Ear+Mar+Sat,5,True,339,228.96,229.06,148.06,0.1339,198,226.95,227.04,87.24,0.9482,60.82,1
52,Ear+Jup+Sat,3,True,251,137.77,137.91,182.19,0.1198,102,137.18,137.27,74.36,0.9884,107.83,1
53,Mer+Ear+Jup+Sat,4,True,305,184.04,184.21,165.72,0.0813,159,181.61,181.7,87.55,0.8336,78.17,1
54,Ven+Ear+Jup+Sat,4,True,295,183.14,183.29,161.08,0.1265,141,182.48,182.6,77.27,0.7603,83.81,1
55,Mer+Ven+Ear+Jup+Sat,5,True,348,229.16,229.32,151.86,0.0914,198,226.66,226.78,87.35,0.943,64.51,1
60,Ear+Mar+Jup+Sat,4,True,301,182.91,183.01,164.56,0.093,151,182.8,182.86,82.6,0.9667,81.96,1
61,Mer+Ear+Mar+Jup+Sat,5,True,355,228.93,229.05,155.07,0.0593,208,226.98,227.04,91.64,0.8287,63.43,1
62,Ven+Ear+Mar+Jup+Sat,5,True,344,228.03,228.14,150.86,0.1048,189,227.85,227.94,82.95,0.8215,67.91,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,397,273.8,273.92,145.0,0.0731,246,271.79,271.87,90.51,0.9271,54.48,1
68,Ear+Ura,2,True,191,91.37,91.54,209.05,0.1932,42,92.3,92.42,45.5,0.3309,163.54,1
69,Mer+Ear+Ura,3,True,245,137.94,138.12,177.62,0.1498,99,137.0,137.11,72.26,0.9389,105.36,1
70,Ven+Ear+Ura,3,True,235,137.0,137.17,171.53,0.1981,80,137.86,138.0,58.03,0.1236,113.5,1
71,Mer+Ven+Ear+Ura,4,True,288,183.31,183.49,157.11,0.1596,137,182.31,182.45,75.14,0.6145,81.97,1
76,Ear+Mar+Ura,3,True,241,136.76,136.9,176.22,0.1631,91,138.17,138.27,65.86,0.5327,110.37,1
77,Mer+Ear+Mar+Ura,4,True,295,183.07,183.22,161.14,0.1214,148,182.63,182.71,81.04,0.9821,80.1,1
78,Ven+Ear+Mar+Ura,4,True,284,182.14,182.28,155.92,0.1737,128,183.48,183.59,69.76,0.2339,86.16,1
79,Mer+Ven+Ear+Mar+Ura,5,True,337,228.2,228.34,147.68,0.1351,185,227.68,227.79,81.25,0.6965,66.43,1
84,Ear+Jup+Ura,3,True,250,137.01,137.18,182.47,0.1142,91,137.9,138.01,65.99,0.5407,116.48,1
85,Mer+Ear+Jup+Ura,4,True,304,183.31,183.49,165.84,0.0781,148,182.35,182.45,81.16,0.985,84.68,1
86,Ven+Ear+Jup+Ura,4,True,294,182.39,182.55,161.2,0.1227,129,183.21,183.33,70.41,0.2721,90.78,1
87,Mer+Ven+Ear+Jup+Ura,5,True,347,228.43,228.61,151.91,0.0886,186,227.4,227.53,81.79,0.7288,70.11,1
92,Ear+Mar+Jup+Ura,4,True,300,182.15,182.28,164.7,0.0904,139,183.52,183.6,75.74,0.6289,88.96,1
93,Mer+Ear+Mar+Jup+Ura,5,True,354,228.2,228.34,155.13,0.06,196,227.72,227.79,86.07,1.0,69.06,1
94,Ven+Ear+Mar+Jup+Ura,5,True,343,227.28,227.4,150.92,0.1001,176,228.57,228.67,77.0,0.3507,73.92,1
95,Mer+Ven+Ear+Mar+Jup+Ura,6,True,396,273.07,273.21,145.02,0.0714,233,272.52,272.62,85.5,0.7674,59.52,1
100,Ear+Sat+Ura,3,True,238,137.18,137.38,173.49,0.1829,95,137.69,137.82,68.99,0.7473,104.5,1
101,Mer+Ear+Sat+Ura,4,True,292,183.48,183.69,159.15,0.1391,152,182.14,182.26,83.45,0.9423,75.69,1
102,Ven+Ear+Sat+Ura,4,True,282,182.56,182.76,154.47,0.1873,133,183.0,183.15,72.68,0.4259,81.79,1
103,Mer+Ven+Ear+Sat+Ura,5,True,335,228.6,228.81,146.55,0.1486,190,227.2,227.34,83.63,0.8613,62.92,1
108,Ear+Mar+Sat+Ura,4,True,288,182.32,182.49,157.96,0.1525,144,183.31,183.41,78.56,0.8379,79.4,1
109,Mer+Ear+Mar+Sat+Ura,5,True,342,228.37,228.54,149.76,0.1116,201,227.51,227.6,88.35,0.9201,61.41,1
110,Ven+Ear+Mar+Sat+Ura,5,True,331,227.45,227.61,145.52,0.1613,181,228.36,228.49,79.26,0.5185,66.26,1
111,Mer+Ven+Ear+Mar+Sat+Ura,6,True,384,273.24,273.41,140.53,0.1243,238,272.31,272.43,87.4,0.9099,53.13,1
116,Ear+Jup+Sat+Ura,4,True,296,182.56,182.76,162.14,0.1126,144,183.05,183.15,78.67,0.8371,83.47,1
117,Mer+Ear+Jup+Sat+Ura,5,True,350,228.59,228.81,153.11,0.0752,201,227.24,227.34,88.45,0.916,64.66,1
118,Ven+Ear+Jup+Sat+Ura,5,True,340,227.69,227.88,149.33,0.1174,182,228.1,228.23,79.79,0.5627,69.54,1
119,Mer+Ven+Ear+Jup+Sat+Ura,6,True,393,273.46,273.68,143.71,0.0836,239,272.05,272.17,87.85,0.9356,55.86,1
124,Ear+Mar+Jup+Sat+Ura,5,True,346,227.46,227.61,152.12,0.0868,192,228.41,228.49,84.06,0.8802,68.06,1
125,Mer+Ear+Mar+Jup+Sat+Ura,6,True,400,273.24,273.41,146.39,0.0581,249,272.36,272.43,91.42,0.9034,54.97,1
126,Ven+Ear+Mar+Jup+Sat+Ura,6,True,389,272.33,272.48,142.84,0.0957,229,273.21,273.31,83.82,0.6134,59.02,1
127,Mer+Ven+Ear+Mar+Jup+Sat+Ura,7,True,442,317.86,318.03,139.05,0.0688,286,316.91,317.01,90.25,0.9535,48.81,1
132,Ear+Nep,2,True,201,91.99,92.15,218.5,0.1462,48,91.69,91.86,52.35,0.7437,166.15,1
133,Mer+Ear+Nep,3,True,255,138.55,138.72,184.05,0.1018,104,136.39,136.55,76.25,0.9282,107.79,1
134,Ven+Ear+Nep,3,True,245,137.62,137.77,178.03,0.1525,87,137.26,137.44,63.39,0.3916,114.64,1
135,Mer+Ven+Ear+Nep,4,True,298,183.92,184.08,162.02,0.1129,143,181.71,181.88,78.7,0.8653,83.33,1
140,Ear+Mar+Nep,3,True,250,137.39,137.5,181.97,0.1242,98,137.58,137.72,71.23,0.8819,110.74,1
141,Mer+Ear+Mar+Nep,4,True,304,183.69,183.82,165.49,0.0845,154,182.03,182.16,84.6,0.8982,80.89,1
142,Ven+Ear+Mar+Nep,4,True,293,182.76,182.88,160.32,0.133,136,182.88,183.04,74.36,0.5533,85.95,1
