Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,10000,9991.7,100.08,0.08,0.9415,10028,9982.8,100.45,0.44,0.6655
2,4,0.3,19999,19983.4,100.08,0.1,0.9243,20280,19966.3,101.57,2.05,0.042
3,6,0.45,30012,29973.2,100.13,0.19,0.8305,30219,29954.2,100.88,1.33,0.1818
4,8,0.61,40015,39963.1,100.13,0.22,0.8077,40153,39934.5,100.55,0.93,0.3534
5,10,0.76,49890,49958.2,99.86,-0.25,0.8209,50162,49918.0,100.49,0.91,0.3504
6,12,0.91,60000,59951.7,100.08,0.16,0.8719,60205,59902.2,100.51,0.99,0.3114
7,14,1.06,69925,69936.5,99.98,-0.03,0.9911,70106,69879.5,100.32,0.64,0.5113
8,16,1.21,79939,79931.3,100.01,0.02,0.9861,80120,79875.5,100.31,0.61,0.5447
9,18,1.36,90013,89923.9,100.1,0.21,0.8255,90097,89851.6,100.27,0.55,0.5727
10,20,1.52,99993,99920.7,100.07,0.15,0.8965,100146,99836.8,100.31,0.64,0.5167
