SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC12,1878-12,1890-02,1372,Mercury,1,Conjunction,4,7.73,51.71,0.2779,-1.25
SC12,1878-12,1890-02,1372,Mercury,1,Opposition,6,7.5,80.04,0.755,-0.55
SC12,1878-12,1890-02,1372,Venus,1,Conjunction,5,7.57,66.07,0.5051,-0.96
SC12,1878-12,1890-02,1372,Venus,1,Opposition,8,7.55,105.9,0.9882,0.17
SC12,1878-12,1890-02,1372,Mars,1,Conjunction,7,7.75,90.36,0.9918,-0.27
SC12,1878-12,1890-02,1372,Mars,1,Opposition,6,7.57,79.31,0.7894,-0.54
SC12,1878-12,1890-02,1372,Jupiter,1,Conjunction,5,7.69,65.0,0.4751,-0.92
SC12,1878-12,1890-02,1372,Jupiter,1,Opposition,10,7.55,132.47,0.4139,0.91
SC12,1878-12,1890-02,1372,Saturn,1,Conjunction,2,7.6,26.31,0.0516,-2.04
SC12,1878-12,1890-02,1372,Saturn,1,Opposition,6,7.62,78.78,0.7191,-0.57
SC12,1878-12,1890-02,1372,Uranus,1,Conjunction,9,7.64,117.74,0.6863,0.5
SC12,1878-12,1890-02,1372,Uranus,1,Opposition,8,7.64,104.71,0.9974,0.13
SC12,1878-12,1890-02,1372,Neptune,1,Conjunction,4,7.67,52.15,0.2268,-1.37
SC12,1878-12,1890-02,1372,Neptune,1,Opposition,12,7.84,153.02,0.1868,1.51
SC12,1878-12,1890-02,1372,Mercury,2,Conjunction,12,15.38,78.01,0.5247,-0.78
SC12,1878-12,1890-02,1372,Mercury,2,Opposition,15,15.01,99.94,1.0,-0.0
SC12,1878-12,1890-02,1372,Venus,2,Conjunction,13,15.25,85.25,0.7095,-0.59
SC12,1878-12,1890-02,1372,Venus,2,Opposition,18,15.23,118.21,0.5299,0.77
SC12,1878-12,1890-02,1372,Mars,2,Conjunction,14,15.37,91.09,0.895,-0.37
SC12,1878-12,1890-02,1372,Mars,2,Opposition,15,15.14,99.05,1.0,-0.03
SC12,1878-12,1890-02,1372,Jupiter,2,Conjunction,11,15.29,71.95,0.3379,-1.04
SC12,1878-12,1890-02,1372,Jupiter,2,Opposition,18,15.18,118.55,0.4819,0.71
SC12,1878-12,1890-02,1372,Saturn,2,Conjunction,7,15.24,45.92,0.0364,-2.12
SC12,1878-12,1890-02,1372,Saturn,2,Opposition,15,15.11,99.24,1.0,-0.03
SC12,1878-12,1890-02,1372,Uranus,2,Conjunction,20,15.09,132.54,0.2492,1.28
SC12,1878-12,1890-02,1372,Uranus,2,Opposition,16,15.28,104.73,0.9186,0.18
SC12,1878-12,1890-02,1372,Neptune,2,Conjunction,12,15.26,78.65,0.4291,-0.91
SC12,1878-12,1890-02,1372,Neptune,2,Opposition,18,15.61,115.35,0.6039,0.63
SC12,1878-12,1890-02,1372,Mercury,3,Conjunction,19,22.92,82.88,0.5243,-0.74
SC12,1878-12,1890-02,1372,Mercury,3,Opposition,21,22.57,93.03,0.8342,-0.31
SC12,1878-12,1890-02,1372,Venus,3,Conjunction,20,22.87,87.46,0.6871,-0.63
SC12,1878-12,1890-02,1372,Venus,3,Opposition,22,22.97,95.78,0.9606,-0.22
SC12,1878-12,1890-02,1372,Mars,3,Conjunction,23,23.06,99.74,1.0,-0.01
SC12,1878-12,1890-02,1372,Mars,3,Opposition,22,22.61,97.3,1.0,-0.11
SC12,1878-12,1890-02,1372,Jupiter,3,Conjunction,19,22.91,82.93,0.5239,-0.72
SC12,1878-12,1890-02,1372,Jupiter,3,Opposition,26,22.75,114.3,0.4619,0.7
SC12,1878-12,1890-02,1372,Saturn,3,Conjunction,20,23.02,86.87,0.5975,-0.63
SC12,1878-12,1890-02,1372,Saturn,3,Opposition,21,22.61,92.87,0.8354,-0.34
SC12,1878-12,1890-02,1372,Uranus,3,Conjunction,26,22.83,113.89,0.5195,0.68
SC12,1878-12,1890-02,1372,Uranus,3,Opposition,20,22.78,87.8,0.6471,-0.57
SC12,1878-12,1890-02,1372,Neptune,3,Conjunction,21,22.77,92.21,0.8514,-0.39
SC12,1878-12,1890-02,1372,Neptune,3,Opposition,23,23.39,98.35,1.0,-0.08
SC12,1878-12,1890-02,1372,Mercury,4,Conjunction,24,30.7,78.18,0.3147,-1.08
SC12,1878-12,1890-02,1372,Mercury,4,Opposition,30,29.95,100.16,1.0,0.01
SC12,1878-12,1890-02,1372,Venus,4,Conjunction,26,30.35,85.66,0.4995,-0.85
SC12,1878-12,1890-02,1372,Venus,4,Opposition,30,30.42,98.63,1.0,-0.08
SC12,1878-12,1890-02,1372,Mars,4,Conjunction,36,30.68,117.32,0.3351,1.05
SC12,1878-12,1890-02,1372,Mars,4,Opposition,25,30.21,82.76,0.5167,-0.82
SC12,1878-12,1890-02,1372,Jupiter,4,Conjunction,26,30.51,85.21,0.5383,-0.69
SC12,1878-12,1890-02,1372,Jupiter,4,Opposition,36,30.31,118.76,0.3179,1.03
SC12,1878-12,1890-02,1372,Saturn,4,Conjunction,27,30.6,88.22,0.6095,-0.64
SC12,1878-12,1890-02,1372,Saturn,4,Opposition,30,30.36,98.81,1.0,-0.07
SC12,1878-12,1890-02,1372,Uranus,4,Conjunction,36,30.44,118.28,0.3427,1.02
SC12,1878-12,1890-02,1372,Uranus,4,Opposition,26,30.57,85.05,0.4951,-0.8
SC12,1878-12,1890-02,1372,Neptune,4,Conjunction,31,30.41,101.94,0.8862,0.11
SC12,1878-12,1890-02,1372,Neptune,4,Opposition,29,31.28,92.71,0.8246,-0.41
SC12,1878-12,1890-02,1372,Mercury,5,Conjunction,32,38.35,83.44,0.4327,-0.92
SC12,1878-12,1890-02,1372,Mercury,5,Opposition,38,37.55,101.2,0.9746,0.07
SC12,1878-12,1890-02,1372,Venus,5,Conjunction,35,38.01,92.09,0.7003,-0.52
SC12,1878-12,1890-02,1372,Venus,5,Opposition,40,38.07,105.08,0.8506,0.35
SC12,1878-12,1890-02,1372,Mars,5,Conjunction,41,38.43,106.69,0.6987,0.45
SC12,1878-12,1890-02,1372,Mars,5,Opposition,33,38.05,86.73,0.5939,-0.71
SC12,1878-12,1890-02,1372,Jupiter,5,Conjunction,34,38.06,89.33,0.6399,-0.55
SC12,1878-12,1890-02,1372,Jupiter,5,Opposition,42,37.93,110.73,0.5127,0.65
SC12,1878-12,1890-02,1372,Saturn,5,Conjunction,37,38.21,96.84,0.9282,-0.19
SC12,1878-12,1890-02,1372,Saturn,5,Opposition,39,37.93,102.82,0.8862,0.17
SC12,1878-12,1890-02,1372,Uranus,5,Conjunction,45,37.76,119.18,0.2731,1.16
SC12,1878-12,1890-02,1372,Uranus,5,Opposition,36,38.35,93.88,0.8078,-0.36
SC12,1878-12,1890-02,1372,Neptune,5,Conjunction,38,38.1,99.74,1.0,-0.02
SC12,1878-12,1890-02,1372,Neptune,5,Opposition,36,38.98,92.37,0.763,-0.46
SC13,1890-03,1901-12,2109,Mercury,1,Conjunction,12,11.9,100.86,1.0,0.03
SC13,1890-03,1901-12,2109,Mercury,1,Opposition,17,11.53,147.41,0.1952,1.52
SC13,1890-03,1901-12,2109,Venus,1,Conjunction,7,11.72,59.72,0.2531,-1.28
SC13,1890-03,1901-12,2109,Venus,1,Opposition,15,11.74,127.82,0.4555,0.87
SC13,1890-03,1901-12,2109,Mars,1,Conjunction,15,11.72,127.97,0.4219,0.93
SC13,1890-03,1901-12,2109,Mars,1,Opposition,9,11.83,76.1,0.4987,-0.86
SC13,1890-03,1901-12,2109,Jupiter,1,Conjunction,10,11.71,85.43,0.7682,-0.47
SC13,1890-03,1901-12,2109,Jupiter,1,Opposition,8,11.74,68.15,0.3783,-0.99
SC13,1890-03,1901-12,2109,Saturn,1,Conjunction,12,11.84,101.31,0.997,0.05
SC13,1890-03,1901-12,2109,Saturn,1,Opposition,16,11.67,137.12,0.2667,1.29
SC13,1890-03,1901-12,2109,Uranus,1,Conjunction,10,11.52,86.8,0.8402,-0.39
