Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,147,156.45,156.5,93.96,0.4736,160,153.07,153.11,104.52,0.5971,-10.57,1
2,Ven,1,False,143,154.87,154.89,92.34,0.3764,163,154.67,154.78,105.39,0.5509,-13.05,1
3,Mer+Ven,2,False,289,310.45,310.52,93.09,0.2329,320,306.89,307.04,104.27,0.4811,-11.18,1
8,Mar,1,False,177,154.18,154.19,114.8,0.0988,142,155.51,155.49,91.31,0.3477,23.49,1
9,Mer+Mar,2,False,324,309.77,309.83,104.6,0.4351,300,307.73,307.76,97.49,0.7058,7.11,1
10,Ven+Mar,2,False,319,308.19,308.22,103.51,0.5598,304,309.31,309.41,98.28,0.8141,5.23,1
11,Mer+Ven+Mar,3,False,465,462.92,463.0,100.45,0.9267,459,460.69,460.83,99.63,0.9725,0.82,1
16,Jup,1,False,181,154.7,154.76,117.0,0.0275,152,154.81,154.9,98.19,0.8292,18.81,1
17,Mer+Jup,2,False,328,310.27,310.39,105.71,0.3194,312,307.03,307.16,101.62,0.7991,4.1,1
18,Ven+Jup,2,False,323,308.71,308.79,104.63,0.4384,315,308.62,308.82,102.07,0.7448,2.56,1
19,Mer+Ven+Jup,3,False,469,463.42,463.55,101.2,0.8136,472,459.99,460.23,102.61,0.5933,-1.41,1
24,Mar+Jup,2,False,354,308.03,308.09,114.92,0.012,292,309.45,309.53,94.36,0.3481,20.56,1
25,Mer+Mar+Jup,3,False,501,462.74,462.86,108.27,0.0805,450,460.83,460.94,97.65,0.6411,10.62,1
26,Ven+Mar+Jup,3,False,495,461.19,461.27,107.33,0.1334,454,462.39,462.59,98.18,0.728,9.15,1
27,Mer+Ven+Mar+Jup,4,False,641,615.04,615.18,104.22,0.3045,609,612.92,613.16,99.36,0.8998,4.86,1
32,Sat,1,False,147,155.26,155.21,94.68,0.5281,166,154.4,154.42,107.51,0.3905,-12.83,1
33,Mer+Sat,2,False,294,310.82,310.82,94.59,0.347,326,306.61,306.67,106.32,0.29,-11.73,1
34,Ven+Sat,2,False,290,309.26,309.23,93.77,0.2933,329,308.21,308.34,106.75,0.2666,-12.97,1
35,Mer+Ven+Sat,3,False,436,463.95,463.98,93.97,0.1998,486,459.57,459.74,105.75,0.2391,-11.78,1
40,Mar+Sat,2,False,323,308.58,308.54,104.67,0.4354,308,309.05,309.05,99.66,0.9785,5.01,1
41,Mer+Mar+Sat,3,False,470,463.29,463.3,101.45,0.7714,466,460.4,460.46,101.22,0.8112,0.23,1
42,Ven+Mar+Sat,3,False,465,461.74,461.71,100.71,0.8884,470,461.99,462.11,101.73,0.7336,-1.03,1
43,Mer+Ven+Mar+Sat,4,False,611,615.58,615.61,99.26,0.8757,625,612.51,612.68,102.04,0.6341,-2.78,1
48,Jup+Sat,2,False,327,309.09,309.11,105.79,0.3051,318,308.36,308.46,103.13,0.6074,2.67,1
49,Mer+Jup+Sat,3,False,474,463.78,463.85,102.2,0.6426,478,459.72,459.86,103.98,0.4117,-1.77,1
50,Ven+Jup+Sat,3,False,469,462.24,462.28,101.46,0.7673,481,461.31,461.53,104.27,0.3825,-2.81,1
51,Mer+Ven+Jup+Sat,4,False,615,616.06,616.16,99.83,0.9815,638,611.82,612.08,104.28,0.3078,-4.45,1
56,Mar+Jup+Sat,3,False,499,461.57,461.58,108.11,0.0874,458,462.13,462.23,99.11,0.8745,9.0,1
57,Mer+Mar+Jup+Sat,4,False,646,615.4,615.48,104.97,0.2189,616,612.65,612.78,100.55,0.9062,4.42,1
58,Ven+Mar+Jup+Sat,4,False,640,613.87,613.91,104.26,0.3004,620,614.22,614.44,100.94,0.8346,3.32,1
59,Mer+Ven+Mar+Jup+Sat,5,False,786,766.85,766.94,102.5,0.4947,775,763.9,764.16,101.45,0.7063,1.04,1
64,Ura,1,False,149,153.94,153.88,96.79,0.7055,141,155.8,155.78,90.5,0.266,6.29,1
65,Mer+Ura,2,False,296,309.58,309.56,95.61,0.4541,300,308.06,308.08,97.38,0.6686,-1.77,1
66,Ven+Ura,2,False,291,307.97,307.91,94.49,0.3584,301,309.6,309.69,97.22,0.6602,-2.73,1
67,Mer+Ven+Ura,3,False,437,462.73,462.73,94.44,0.2402,457,461.01,461.15,99.13,0.8719,-4.69,1
72,Mar+Ura,2,False,326,307.27,307.21,106.1,0.3088,280,310.44,310.4,90.2,0.0913,15.9,1
73,Mer+Mar+Ura,3,False,473,462.05,462.04,102.37,0.6261,437,461.85,461.86,94.62,0.2633,7.75,1
74,Ven+Mar+Ura,3,False,467,460.44,460.39,101.42,0.7747,439,463.38,463.46,94.74,0.2846,6.69,1
75,Mer+Ven+Mar+Ura,4,False,613,614.36,614.36,99.78,0.9769,593,613.95,614.07,96.59,0.4214,3.19,1
80,Jup+Ura,2,False,329,307.85,307.79,106.87,0.2457,293,309.79,309.82,94.58,0.3451,12.29,1
81,Mer+Jup+Ura,3,False,476,462.61,462.6,102.89,0.544,452,461.21,461.27,98.0,0.6808,4.89,1
82,Ven+Jup+Ura,3,False,470,461.02,460.97,101.95,0.6897,453,462.74,462.88,97.9,0.6639,4.05,1
83,Mer+Ven+Jup+Ura,4,False,616,614.91,614.92,100.18,0.978,609,613.31,613.49,99.3,0.8742,0.88,1
88,Mar+Jup+Ura,3,False,502,460.33,460.27,109.05,0.0593,430,463.56,463.58,92.76,0.1226,16.29,1
89,Mer+Mar+Jup+Ura,4,False,649,614.23,614.23,105.66,0.1683,587,614.14,614.19,95.58,0.2797,10.08,1
90,Ven+Mar+Jup+Ura,4,False,642,612.65,612.6,104.79,0.2542,589,615.65,615.78,95.67,0.3,9.12,1
91,Mer+Ven+Mar+Jup+Ura,5,False,788,765.7,765.7,102.91,0.4326,743,765.39,765.55,97.08,0.4321,5.84,1
96,Sat+Ura,2,False,293,308.19,308.24,95.07,0.4012,305,309.26,309.35,98.62,0.8331,-3.55,1
97,Mer+Sat+Ura,3,False,440,462.94,463.03,95.04,0.291,464,460.66,460.78,100.73,0.8954,-5.68,1
98,Ven+Sat+Ura,3,False,435,461.36,461.41,94.29,0.2354,465,462.21,462.41,100.6,0.9162,-6.32,1
99,Mer+Ven+Sat+Ura,4,False,581,615.24,615.35,94.44,0.1724,621,612.76,613.0,101.34,0.761,-6.91,1
104,Mar+Sat+Ura,3,False,469,460.67,460.72,101.81,0.7193,444,463.03,463.11,95.89,0.408,5.92,1
105,Mer+Mar+Sat+Ura,4,False,616,614.57,614.67,100.23,0.9733,601,613.59,613.71,97.95,0.6422,2.28,1
106,Ven+Mar+Sat+Ura,4,False,610,613.0,613.05,99.51,0.9225,603,615.13,615.32,98.03,0.6593,1.48,1
107,Mer+Ven+Mar+Sat+Ura,5,False,756,766.03,766.14,98.69,0.7294,757,764.84,765.08,98.97,0.8022,-0.28,1
112,Jup+Sat+Ura,3,False,472,461.24,461.29,102.33,0.6315,457,462.4,462.53,98.83,0.8077,3.5,1
113,Mer+Jup+Sat+Ura,4,False,619,615.11,615.22,100.63,0.8927,616,612.96,613.12,100.5,0.9263,0.14,1
114,Ven+Jup+Sat+Ura,4,False,613,613.55,613.62,99.91,0.9999,617,614.49,614.74,100.41,0.9457,-0.5,1
115,Mer+Ven+Jup+Sat+Ura,5,False,759,766.56,766.69,99.01,0.7938,773,764.21,764.49,101.15,0.7701,-2.14,1
120,Mar+Jup+Sat+Ura,4,False,644,612.87,612.92,105.08,0.221,594,615.3,615.44,96.54,0.4119,8.54,1
121,Mer+Mar+Jup+Sat+Ura,5,False,791,765.9,766.01,103.28,0.3694,751,765.03,765.19,98.17,0.6295,5.11,1
122,Ven+Mar+Jup+Sat+Ura,5,False,784,764.34,764.41,102.57,0.4906,753,766.54,766.8,98.23,0.646,4.34,1
123,Mer+Ven+Mar+Jup+Sat+Ura,6,False,930,916.52,916.64,101.47,0.667,907,915.43,915.72,99.08,0.797,2.39,1
128,Nep,1,False,174,155.18,155.2,112.13,0.1922,154,154.63,154.56,99.6,0.9912,12.53,1
129,Mer+Nep,2,False,321,310.79,310.87,103.28,0.6051,313,306.88,306.85,101.99,0.758,1.29,1
130,Ven+Nep,2,False,316,309.19,309.23,102.2,0.7297,316,308.44,308.47,102.45,0.6961,-0.25,1
131,Mer+Ven+Nep,3,False,462,463.93,464.03,99.58,0.9607,472,459.84,459.92,102.64,0.5973,-3.06,1
