Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,466,155.29,155.0,300.09,0.3648,0,155.97,154.67,0.0,1.0,300.09,1
5,Mer+Ear,2,True,609,310.88,310.63,195.89,0.3916,160,308.19,306.93,51.92,0.8294,143.98,1
6,Ven+Ear,2,True,608,309.29,309.03,196.58,0.3906,163,309.78,308.59,52.62,0.8573,143.96,1
7,Mer+Ven+Ear,3,True,750,464.03,463.79,161.63,0.4062,320,461.16,460.0,69.39,0.8949,92.24,1
12,Ear+Mar,2,True,643,308.6,308.33,208.36,0.2809,142,310.62,309.3,45.72,0.1993,162.64,1
13,Mer+Ear+Mar,3,True,786,463.34,463.11,169.64,0.3149,300,461.98,460.71,64.94,0.402,104.7,1
14,Ven+Ear+Mar,3,True,784,461.76,461.51,169.79,0.3181,304,463.56,462.36,65.58,0.4707,104.21,1
15,Mer+Ven+Ear+Mar,4,True,926,615.65,615.42,150.41,0.345,459,614.1,612.93,74.74,0.5625,75.67,1
20,Ear+Jup,2,True,640,309.14,308.9,207.03,0.292,152,309.91,308.71,49.05,0.466,157.98,1
21,Mer+Ear+Jup,3,True,783,463.85,463.66,168.8,0.3228,312,461.28,460.12,67.64,0.7098,101.16,1
22,Ven+Ear+Jup,3,True,781,462.28,462.07,168.95,0.3258,315,462.86,461.78,68.06,0.7447,100.89,1
23,Mer+Ven+Ear+Jup,4,True,923,616.15,615.97,149.8,0.3545,472,613.39,612.34,76.95,0.8315,72.85,1
28,Ear+Mar+Jup,3,True,813,461.61,461.38,176.12,0.2062,292,463.68,462.48,62.97,0.2018,113.15,1
29,Mer+Ear+Mar+Jup,4,True,956,615.48,615.29,155.33,0.2405,450,614.21,613.04,73.26,0.3673,82.06,1
30,Ven+Ear+Mar+Jup,4,True,953,613.91,613.7,155.24,0.2463,454,615.77,614.69,73.73,0.4228,81.51,1
31,Mer+Ven+Ear+Mar+Jup,5,True,1095,766.93,766.75,142.78,0.2791,609,765.47,764.42,79.56,0.5217,63.22,1
36,Ear+Sat,2,True,609,309.67,309.34,196.66,0.3886,166,309.51,308.23,53.63,0.9407,143.03,1
37,Mer+Ear+Sat,3,True,752,464.38,464.09,161.94,0.4031,326,460.87,459.63,70.74,0.9982,91.2,1
38,Ven+Ear+Sat,3,True,751,462.81,462.51,162.27,0.4034,329,462.47,461.29,71.14,0.9985,91.13,1
39,Mer+Ven+Ear+Sat,4,True,893,616.67,616.39,144.81,0.4139,486,612.98,611.85,79.28,0.9746,65.53,1
44,Ear+Mar+Sat,3,True,785,462.15,461.83,169.86,0.3138,308,463.29,462.0,66.48,0.5573,103.38,1
45,Mer+Ear+Mar+Sat,4,True,928,616.0,615.72,150.65,0.3401,466,613.79,612.56,75.92,0.7032,74.73,1
46,Ven+Ear+Mar+Sat,4,True,926,614.44,614.15,150.71,0.3424,470,615.39,614.22,76.37,0.7466,74.33,1
47,Mer+Ven+Ear+Mar+Sat,5,True,1068,767.45,767.18,139.16,0.3642,625,765.06,763.94,81.69,0.8068,57.47,1
52,Ear+Jup+Sat,3,True,782,462.66,462.39,169.02,0.3263,318,462.6,461.42,68.74,0.8147,100.28,1
53,Mer+Ear+Jup+Sat,4,True,925,616.5,616.26,150.04,0.3508,478,613.11,611.97,77.96,0.9305,72.08,1
54,Ven+Ear+Jup+Sat,4,True,923,614.95,614.71,150.09,0.3524,481,614.69,613.63,78.25,0.9478,71.84,1
55,Mer+Ven+Ear+Jup+Sat,5,True,1065,767.93,767.73,138.68,0.3724,638,764.37,763.34,83.47,0.995,55.22,1
60,Ear+Mar+Jup+Sat,4,True,954,614.29,614.02,155.3,0.246,458,615.51,614.33,74.41,0.5029,80.89,1
61,Mer+Ear+Mar+Jup+Sat,5,True,1097,767.28,767.05,142.97,0.2728,616,765.18,764.05,80.5,0.6474,62.47,1
62,Ven+Ear+Mar+Jup+Sat,5,True,1094,765.74,765.49,142.87,0.2802,620,766.75,765.7,80.86,0.6928,62.01,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,1236,917.88,917.67,134.66,0.3062,775,915.6,914.58,84.64,0.7673,50.01,1
68,Ear+Ura,2,True,611,308.38,308.03,198.13,0.3784,141,310.91,309.59,45.35,0.147,152.78,1
69,Mer+Ear+Ura,3,True,754,463.16,462.84,162.8,0.3968,300,462.32,461.04,64.89,0.3758,97.91,1
70,Ven+Ear+Ura,3,True,752,461.54,461.2,162.93,0.3974,301,463.86,462.65,64.89,0.3755,98.04,1
71,Mer+Ven+Ear+Ura,4,True,894,615.46,615.15,145.26,0.4105,457,614.43,613.25,74.38,0.4994,70.88,1
76,Ear+Mar+Ura,3,True,788,460.85,460.51,170.99,0.2981,280,464.68,463.35,60.26,0.0537,110.73,1
77,Mer+Ear+Mar+Ura,4,True,931,614.78,614.47,151.44,0.3273,437,615.25,613.96,71.03,0.1495,80.41,1
78,Ven+Ear+Mar+Ura,4,True,928,613.16,612.84,151.35,0.3315,439,616.77,615.56,71.18,0.163,80.17,1
79,Mer+Ven+Ear+Mar+Ura,5,True,1070,766.25,765.94,139.64,0.3549,593,766.51,765.33,77.36,0.2432,62.28,1
84,Ear+Jup+Ura,3,True,785,461.45,461.08,170.12,0.3082,293,464.04,462.78,63.14,0.188,106.98,1
85,Mer+Ear+Jup+Ura,4,True,928,615.35,615.03,150.81,0.3339,452,614.6,613.38,73.54,0.3775,77.27,1
86,Ven+Ear+Jup+Ura,4,True,925,613.75,613.41,150.71,0.3391,453,616.13,614.98,73.52,0.3745,77.19,1
87,Mer+Ven+Ear+Jup+Ura,5,True,1067,766.81,766.49,139.15,0.3612,609,765.86,764.75,79.52,0.4957,59.63,1
92,Ear+Mar+Jup+Ura,4,True,958,613.07,612.71,156.26,0.2226,430,616.94,615.68,69.7,0.0685,86.57,1
93,Mer+Ear+Mar+Jup+Ura,5,True,1101,766.13,765.81,143.71,0.2524,587,766.68,765.44,76.56,0.1565,67.14,1
94,Ven+Ear+Mar+Jup+Ura,5,True,1097,764.54,764.2,143.49,0.2629,589,768.19,767.04,76.67,0.1702,66.81,1
95,Mer+Ven+Ear+Mar+Jup+Ura,6,True,1239,916.76,916.44,135.15,0.2901,743,917.09,915.97,81.02,0.2468,54.13,1
100,Ear+Sat+Ura,3,True,751,461.77,461.53,162.64,0.3985,305,463.51,462.3,65.8,0.4748,96.83,1
101,Mer+Ear+Sat+Ura,4,True,894,615.66,615.46,145.21,0.4098,464,614.06,612.89,75.56,0.6484,69.65,1
102,Ven+Ear+Sat+Ura,4,True,892,614.07,613.85,145.26,0.4123,465,615.61,614.51,75.53,0.6359,69.73,1
103,Mer+Ven+Ear+Sat+Ura,5,True,1034,767.11,766.92,134.79,0.4206,621,765.33,764.26,81.14,0.7283,53.65,1
108,Ear+Mar+Sat+Ura,4,True,927,613.4,613.16,151.13,0.3314,444,616.42,615.21,72.03,0.2308,79.1,1
109,Mer+Ear+Mar+Sat+Ura,5,True,1070,766.45,766.25,139.61,0.3526,601,766.14,764.97,78.45,0.3626,61.16,1
110,Ven+Ear+Mar+Sat+Ura,5,True,1067,764.87,764.64,139.5,0.3574,603,767.68,766.57,78.55,0.373,60.95,1
111,Mer+Ven+Ear+Mar+Sat+Ura,6,True,1209,917.07,916.88,131.83,0.3751,757,916.56,915.5,82.59,0.4586,49.24,1
116,Ear+Jup+Sat+Ura,4,True,924,613.98,613.73,150.49,0.3435,457,615.8,614.64,74.21,0.4484,76.28,1
117,Mer+Ear+Jup+Sat+Ura,5,True,1067,767.0,766.8,139.11,0.3606,616,765.51,764.38,80.47,0.626,58.64,1
118,Ven+Ear+Jup+Sat+Ura,5,True,1064,765.43,765.21,139.01,0.3663,617,767.04,766.0,80.44,0.6119,58.57,1
119,Mer+Ven+Ear+Jup+Sat+Ura,6,True,1206,917.61,917.42,131.43,0.3826,773,915.92,914.92,84.4,0.7175,47.03,1
124,Ear+Mar+Jup+Sat+Ura,5,True,1096,764.76,764.52,143.31,0.2666,594,767.84,766.69,77.36,0.2285,65.95,1
125,Mer+Ear+Mar+Jup+Sat+Ura,6,True,1239,916.95,916.74,135.12,0.2898,751,916.72,915.61,81.92,0.3525,53.2,1
126,Ven+Ear+Mar+Jup+Sat+Ura,6,True,1235,915.38,915.16,134.92,0.2977,753,918.24,917.21,82.0,0.3631,52.91,1
127,Mer+Ven+Ear+Mar+Jup+Sat+Ura,7,True,1377,1066.73,1066.54,129.09,0.3206,907,1066.3,1065.3,85.06,0.4529,44.03,1
132,Ear+Nep,2,True,640,309.6,309.34,206.72,0.2936,154,309.73,308.37,49.72,0.5505,157.0,1
133,Mer+Ear+Nep,3,True,783,464.36,464.13,168.62,0.326,313,461.13,459.81,67.88,0.7339,100.74,1
134,Ven+Ear+Nep,3,True,781,462.74,462.51,168.78,0.3288,316,462.68,461.43,68.3,0.771,100.48,1
135,Mer+Ven+Ear+Nep,4,True,923,616.65,616.44,149.68,0.355,472,613.25,612.03,76.97,0.8274,72.71,1
140,Ear+Mar+Nep,3,True,815,462.08,461.84,176.38,0.2012,296,463.55,462.16,63.86,0.2947,112.52,1
141,Mer+Ear+Mar+Nep,4,True,958,615.99,615.78,155.52,0.2361,453,614.1,612.76,73.77,0.441,81.76,1
142,Ven+Ear+Mar+Nep,4,True,955,614.37,614.16,155.44,0.2437,457,615.64,614.37,74.23,0.4922,81.21,1
143,Mer+Ven+Ear+Mar+Nep,5,True,1097,767.44,767.25,142.94,0.2743,611,765.37,764.14,79.83,0.5617,63.11,1
148,Ear+Jup+Nep,3,True,812,462.62,462.4,175.52,0.2148,306,462.8,461.57,66.12,0.5234,109.4,1
149,Mer+Ear+Jup+Nep,4,True,955,616.5,616.33,154.91,0.2474,465,613.36,612.16,75.81,0.6908,79.09,1
150,Ven+Ear+Jup+Nep,4,True,952,614.9,614.72,154.82,0.2533,468,614.91,613.78,76.11,0.719,78.71,1
151,Mer+Ven+Ear+Jup+Nep,5,True,1094,767.95,767.79,142.46,0.2846,624,764.63,763.54,81.61,0.7981,60.85,1
156,Ear+Mar+Jup+Nep,4,True,983,614.25,614.05,160.03,0.1385,446,615.76,614.5,72.43,0.2863,87.6,1
157,Mer+Ear+Mar+Jup+Nep,5,True,1126,767.3,767.13,146.75,0.1696,603,765.48,764.26,78.77,0.4187,67.97,1
158,Ven+Ear+Mar+Jup+Nep,5,True,1122,765.7,765.52,146.53,0.1796,607,767.0,765.87,79.14,0.4647,67.39,1
159,Mer+Ven+Ear+Mar+Jup+Nep,6,True,1264,917.91,917.75,137.7,0.211,761,915.9,914.79,83.09,0.5423,54.62,1
164,Ear+Sat+Nep,3,True,779,463.23,462.83,168.17,0.3366,318,462.55,461.08,68.75,0.8115,99.42,1
165,Mer+Ear+Sat+Nep,4,True,922,617.11,616.75,149.41,0.3587,477,613.09,611.67,77.8,0.9082,71.6,1
166,Ven+Ear+Sat+Nep,4,True,920,615.51,615.15,149.47,0.3597,480,614.65,613.3,78.09,0.9324,71.38,1
167,Mer+Ven+Ear+Sat+Nep,5,True,1062,768.54,768.2,138.18,0.3783,636,764.36,763.05,83.21,0.9729,54.98,1
172,Ear+Mar+Sat+Nep,4,True,953,614.87,614.49,154.99,0.2532,460,615.5,614.02,74.74,0.5446,80.26,1
173,Mer+Ear+Mar+Sat+Nep,5,True,1096,767.9,767.55,142.73,0.2814,617,765.2,763.78,80.63,0.6639,62.09,1
174,Ven+Ear+Mar+Sat+Nep,5,True,1093,766.31,765.96,142.63,0.2859,621,766.75,765.39,80.99,0.7099,61.64,1
175,Mer+Ven+Ear+Mar+Sat+Nep,6,True,1235,918.5,918.17,134.46,0.312,775,915.63,914.31,84.64,0.7647,49.82,1
180,Ear+Jup+Sat+Nep,4,True,950,615.39,615.04,154.37,0.265,470,614.78,613.44,76.45,0.7542,77.92,1
181,Mer+Ear+Jup+Sat+Nep,5,True,1093,768.4,768.09,142.24,0.29,629,764.49,763.18,82.28,0.8725,59.97,1
182,Ven+Ear+Jup+Sat+Nep,5,True,1090,766.82,766.51,142.14,0.2972,632,766.03,764.8,82.5,0.8972,59.64,1
183,Mer+Ven+Ear+Jup+Sat+Nep,6,True,1232,918.99,918.71,134.06,0.3214,788,914.91,913.71,86.13,0.9456,47.93,1
188,Ear+Mar+Jup+Sat+Nep,5,True,1120,766.19,765.84,146.18,0.1877,610,766.87,765.52,79.54,0.5165,66.63,1
189,Mer+Ear+Mar+Jup+Sat+Nep,6,True,1263,918.35,918.05,137.53,0.215,767,915.74,914.43,83.76,0.6399,53.77,1
190,Ven+Ear+Mar+Jup+Sat+Nep,6,True,1259,916.78,916.47,137.33,0.225,771,917.27,916.05,84.05,0.6785,53.27,1
191,Mer+Ven+Ear+Mar+Jup+Sat+Nep,7,True,1401,1068.12,1067.84,131.17,0.2482,925,1065.32,1064.13,86.83,0.7486,44.34,1
196,Ear+Ura+Nep,3,True,784,461.86,461.5,169.75,0.3127,295,463.89,462.42,63.59,0.2504,106.15,1
197,Mer+Ear+Ura+Nep,4,True,927,615.81,615.48,150.53,0.3374,453,614.48,613.05,73.72,0.4117,76.81,1
198,Ven+Ear+Ura+Nep,4,True,924,614.17,613.83,150.45,0.3445,454,615.99,614.63,73.7,0.4089,76.74,1
199,Mer+Ven+Ear+Ura+Nep,5,True,1066,767.27,766.95,138.93,0.3644,609,765.75,764.42,79.53,0.5068,59.4,1
204,Ear+Mar+Ura+Nep,4,True,959,613.5,613.16,156.32,0.2236,434,616.83,615.35,70.36,0.1202,85.96,1
205,Mer+Ear+Mar+Ura+Nep,5,True,1102,766.6,766.29,143.75,0.2532,590,766.59,765.15,76.96,0.2084,66.79,1
206,Ven+Ear+Mar+Ura+Nep,5,True,1098,764.96,764.64,143.54,0.2613,592,768.08,766.71,77.08,0.2167,66.46,1
207,Mer+Ven+Ear+Mar+Ura+Nep,6,True,1240,917.23,916.92,135.19,0.2902,745,917.02,915.68,81.24,0.2864,53.95,1
212,Ear+Jup+Ura+Nep,4,True,956,614.1,613.72,155.67,0.2338,447,616.16,614.77,72.55,0.2717,83.13,1
213,Mer+Ear+Jup+Ura+Nep,5,True,1099,767.18,766.84,143.25,0.2608,605,765.92,764.56,78.99,0.4286,64.26,1
214,Ven+Ear+Jup+Ura+Nep,5,True,1095,765.56,765.2,143.03,0.2714,606,767.41,766.13,78.97,0.4201,64.07,1
215,Mer+Ven+Ear+Jup+Ura+Nep,6,True,1237,917.79,917.46,134.78,0.2999,761,916.34,915.09,83.05,0.5223,51.73,1
220,Ear+Mar+Jup+Ura+Nep,5,True,1127,764.89,764.53,147.34,0.1576,584,768.24,766.84,76.02,0.1294,71.32,1
221,Mer+Ear+Mar+Jup+Ura+Nep,6,True,1270,917.14,916.8,138.47,0.1841,740,917.17,915.81,80.68,0.2174,57.79,1
222,Ven+Ear+Mar+Jup+Ura+Nep,6,True,1265,915.52,915.17,138.17,0.1983,742,918.64,917.36,80.77,0.2282,57.4,1
223,Mer+Ven+Ear+Mar+Jup+Ura+Nep,7,True,1407,1066.92,1066.6,131.87,0.2233,895,1066.75,1065.5,83.9,0.2933,47.98,1
228,Ear+Sat+Ura+Nep,4,True,920,614.5,614.16,149.71,0.3535,457,615.77,614.29,74.22,0.4631,75.5,1
229,Mer+Ear+Sat+Ura+Nep,5,True,1063,767.57,767.26,138.49,0.3698,615,765.52,764.07,80.34,0.6103,58.15,1
230,Ven+Ear+Sat+Ura+Nep,5,True,1060,765.95,765.63,138.39,0.3741,616,767.03,765.65,80.31,0.6005,58.08,1
231,Mer+Ven+Ear+Sat+Ura+Nep,6,True,1202,918.17,917.88,130.91,0.388,771,915.94,914.6,84.18,0.6841,46.74,1
236,Ear+Mar+Sat+Ura+Nep,5,True,1094,765.3,764.97,142.95,0.2767,596,767.86,766.37,77.62,0.2662,65.33,1
