SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC12,1878-12,1890-02,3754,Mercury,1,Conjunction,17,20.85,81.53,0.5171,-0.8
SC12,1878-12,1890-02,3754,Mercury,1,Opposition,23,20.81,110.55,0.7143,0.46
SC12,1878-12,1890-02,3754,Venus,1,Conjunction,13,20.83,62.41,0.08,-1.75
SC12,1878-12,1890-02,3754,Venus,1,Opposition,21,20.84,100.79,1.0,0.04
SC12,1878-12,1890-02,3754,Mars,1,Conjunction,14,20.99,66.69,0.1608,-1.46
SC12,1878-12,1890-02,3754,Mars,1,Opposition,12,20.82,57.63,0.052,-1.91
SC12,1878-12,1890-02,3754,Jupiter,1,Conjunction,9,20.88,43.11,0.0184,-2.53
SC12,1878-12,1890-02,3754,Jupiter,1,Opposition,20,20.73,96.48,1.0,-0.16
SC12,1878-12,1890-02,3754,Saturn,1,Conjunction,15,20.88,71.84,0.2252,-1.34
SC12,1878-12,1890-02,3754,Saturn,1,Opposition,24,20.8,115.39,0.5183,0.77
SC12,1878-12,1890-02,3754,Uranus,1,Conjunction,24,20.82,115.28,0.4987,0.75
SC12,1878-12,1890-02,3754,Uranus,1,Opposition,19,20.86,91.09,0.751,-0.43
SC12,1878-12,1890-02,3754,Neptune,1,Conjunction,22,20.75,106.0,0.8382,0.29
SC12,1878-12,1890-02,3754,Neptune,1,Opposition,19,20.71,91.73,0.8122,-0.39
SC12,1878-12,1890-02,3754,Mercury,2,Conjunction,31,41.97,73.87,0.0812,-1.6
SC12,1878-12,1890-02,3754,Mercury,2,Opposition,48,41.64,115.27,0.4199,0.92
SC12,1878-12,1890-02,3754,Venus,2,Conjunction,34,41.79,81.35,0.2156,-1.35
SC12,1878-12,1890-02,3754,Venus,2,Opposition,42,41.69,100.75,0.927,0.05
SC12,1878-12,1890-02,3754,Mars,2,Conjunction,34,41.88,81.17,0.2859,-1.15
SC12,1878-12,1890-02,3754,Mars,2,Opposition,38,41.44,91.69,0.6263,-0.55
SC12,1878-12,1890-02,3754,Jupiter,2,Conjunction,31,41.8,74.17,0.0904,-1.64
SC12,1878-12,1890-02,3754,Jupiter,2,Opposition,41,41.55,98.67,1.0,-0.09
SC12,1878-12,1890-02,3754,Saturn,2,Conjunction,32,41.77,76.61,0.1332,-1.6
SC12,1878-12,1890-02,3754,Saturn,2,Opposition,51,41.72,122.25,0.118,1.71
SC12,1878-12,1890-02,3754,Uranus,2,Conjunction,47,41.65,112.84,0.3919,0.94
SC12,1878-12,1890-02,3754,Uranus,2,Opposition,44,41.71,105.5,0.7199,0.39
SC12,1878-12,1890-02,3754,Neptune,2,Conjunction,38,41.59,91.36,0.6219,-0.62
SC12,1878-12,1890-02,3754,Neptune,2,Opposition,42,41.62,100.92,0.9366,0.07
SC12,1878-12,1890-02,3754,Mercury,3,Conjunction,55,62.6,87.86,0.4155,-0.89
SC12,1878-12,1890-02,3754,Mercury,3,Opposition,68,62.48,108.84,0.5671,0.63
SC12,1878-12,1890-02,3754,Venus,3,Conjunction,58,62.69,92.51,0.5899,-0.69
SC12,1878-12,1890-02,3754,Venus,3,Opposition,59,62.53,94.35,0.7315,-0.49
SC12,1878-12,1890-02,3754,Mars,3,Conjunction,59,62.74,94.05,0.7343,-0.45
SC12,1878-12,1890-02,3754,Mars,3,Opposition,54,62.57,86.31,0.2683,-1.12
SC12,1878-12,1890-02,3754,Jupiter,3,Conjunction,53,62.62,84.63,0.2172,-1.22
SC12,1878-12,1890-02,3754,Jupiter,3,Opposition,59,62.55,94.33,0.7103,-0.47
SC12,1878-12,1890-02,3754,Saturn,3,Conjunction,54,62.48,86.43,0.2579,-1.17
SC12,1878-12,1890-02,3754,Saturn,3,Opposition,64,62.46,102.46,0.8458,0.24
SC12,1878-12,1890-02,3754,Uranus,3,Conjunction,65,62.82,103.47,0.8138,0.33
SC12,1878-12,1890-02,3754,Uranus,3,Opposition,65,62.6,103.84,0.7726,0.34
SC12,1878-12,1890-02,3754,Neptune,3,Conjunction,54,62.23,86.77,0.2012,-1.26
SC12,1878-12,1890-02,3754,Neptune,3,Opposition,54,62.29,86.69,0.2004,-1.23
SC12,1878-12,1890-02,3754,Mercury,4,Conjunction,68,83.42,81.52,0.1192,-1.57
SC12,1878-12,1890-02,3754,Mercury,4,Opposition,93,83.47,111.42,0.3891,0.9
SC12,1878-12,1890-02,3754,Venus,4,Conjunction,73,83.7,87.21,0.1932,-1.32
SC12,1878-12,1890-02,3754,Venus,4,Opposition,81,83.58,96.92,0.8718,-0.31
SC12,1878-12,1890-02,3754,Mars,4,Conjunction,83,83.47,99.43,1.0,-0.05
SC12,1878-12,1890-02,3754,Mars,4,Opposition,81,83.25,97.3,0.9178,-0.25
SC12,1878-12,1890-02,3754,Jupiter,4,Conjunction,76,83.82,90.67,0.3695,-0.88
SC12,1878-12,1890-02,3754,Jupiter,4,Opposition,82,83.47,98.24,0.9898,-0.17
SC12,1878-12,1890-02,3754,Saturn,4,Conjunction,81,83.37,97.15,0.8102,-0.29
SC12,1878-12,1890-02,3754,Saturn,4,Opposition,86,83.46,103.05,0.7962,0.34
SC12,1878-12,1890-02,3754,Uranus,4,Conjunction,89,83.36,106.77,0.4739,0.77
SC12,1878-12,1890-02,3754,Uranus,4,Opposition,85,83.54,101.75,0.8738,0.19
SC12,1878-12,1890-02,3754,Neptune,4,Conjunction,78,83.39,93.54,0.5435,-0.69
SC12,1878-12,1890-02,3754,Neptune,4,Opposition,76,83.17,91.38,0.3379,-0.99
SC12,1878-12,1890-02,3754,Mercury,5,Conjunction,94,104.15,90.25,0.4115,-0.91
SC12,1878-12,1890-02,3754,Mercury,5,Opposition,110,104.43,105.34,0.6391,0.46
SC12,1878-12,1890-02,3754,Venus,5,Conjunction,94,104.11,90.29,0.2771,-1.14
SC12,1878-12,1890-02,3754,Venus,5,Opposition,102,104.38,97.72,0.9286,-0.26
SC12,1878-12,1890-02,3754,Mars,5,Conjunction,100,104.19,95.98,0.7718,-0.39
SC12,1878-12,1890-02,3754,Mars,5,Opposition,107,104.32,102.57,0.763,0.26
SC12,1878-12,1890-02,3754,Jupiter,5,Conjunction,105,104.22,100.74,0.9378,0.08
SC12,1878-12,1890-02,3754,Jupiter,5,Opposition,106,104.24,101.69,0.8362,0.19
SC12,1878-12,1890-02,3754,Saturn,5,Conjunction,107,104.21,102.67,0.8446,0.31
SC12,1878-12,1890-02,3754,Saturn,5,Opposition,101,104.43,96.71,0.7558,-0.41
SC12,1878-12,1890-02,3754,Uranus,5,Conjunction,110,104.47,105.29,0.5371,0.7
SC12,1878-12,1890-02,3754,Uranus,5,Opposition,101,104.07,97.05,0.7475,-0.38
SC12,1878-12,1890-02,3754,Neptune,5,Conjunction,103,103.95,99.08,1.0,-0.11
SC12,1878-12,1890-02,3754,Neptune,5,Opposition,96,104.23,92.1,0.2995,-1.03
SC13,1890-03,1901-12,5141,Mercury,1,Conjunction,28,28.92,96.82,0.971,-0.16
SC13,1890-03,1901-12,5141,Mercury,1,Opposition,32,28.19,113.5,0.5351,0.71
SC13,1890-03,1901-12,5141,Venus,1,Conjunction,25,28.58,87.48,0.6139,-0.66
SC13,1890-03,1901-12,5141,Venus,1,Opposition,39,28.55,136.6,0.0896,1.85
SC13,1890-03,1901-12,5141,Mars,1,Conjunction,32,28.4,112.66,0.5919,0.61
SC13,1890-03,1901-12,5141,Mars,1,Opposition,26,28.77,90.38,0.7403,-0.51
SC13,1890-03,1901-12,5141,Jupiter,1,Conjunction,23,28.52,80.66,0.3467,-1.03
