Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,409,423.65,423.8,96.54,0.5201,422,417.15,417.32,101.16,0.8361,-4.62,1
2,Ven,1,False,414,420.55,420.51,98.44,0.7699,430,420.43,420.37,102.28,0.6566,-3.83,1
3,Mer+Ven,2,False,822,841.85,841.96,97.64,0.5139,844,835.26,835.37,101.05,0.7656,-3.4,1
8,Mar,1,False,430,419.58,419.63,102.48,0.6371,417,421.3,421.18,98.98,0.8888,3.5,1
9,Mer+Mar,2,False,838,840.87,841.11,99.66,0.9375,838,836.11,836.19,100.23,0.9455,-0.57,1
10,Ven+Mar,2,False,843,837.81,837.82,100.62,0.8754,845,839.38,839.21,100.67,0.8526,-0.05,1
11,Mer+Ven+Mar,3,False,1250,1256.76,1256.94,99.46,0.8578,1258,1251.89,1251.92,100.49,0.8625,-1.03,1
16,Jup,1,False,431,420.44,420.54,102.51,0.6416,431,420.31,420.33,102.54,0.6311,-0.03,1
17,Mer+Jup,2,False,839,841.73,841.96,99.68,0.9474,853,835.12,835.32,102.14,0.544,-2.47,1
18,Ven+Jup,2,False,844,838.64,838.71,100.64,0.8695,857,838.41,838.37,102.22,0.5366,-1.58,1
19,Mer+Ven+Jup,3,False,1251,1257.59,1257.8,99.48,0.8718,1271,1250.91,1251.05,101.61,0.5762,-2.13,1
24,Mar+Jup,2,False,856,837.71,837.82,102.18,0.5523,843,839.26,839.15,100.45,0.9023,1.74,1
25,Mer+Mar+Jup,3,False,1263,1256.66,1256.93,100.5,0.8711,1264,1251.76,1251.85,100.98,0.7343,-0.47,1
26,Ven+Mar+Jup,3,False,1268,1253.6,1253.68,101.15,0.7046,1267,1255.02,1254.86,100.95,0.7469,0.19,1
27,Mer+Ven+Mar+Jup,4,False,1674,1670.22,1670.46,100.23,0.9369,1680,1665.23,1665.26,100.89,0.7243,-0.66,1
32,Sat,1,False,391,421.39,421.27,92.79,0.147,437,419.89,419.75,104.07,0.4325,-11.29,1
33,Mer+Sat,2,False,798,842.64,842.67,94.7,0.1299,857,834.67,834.71,102.67,0.4503,-7.97,1
34,Ven+Sat,2,False,804,839.59,839.44,95.76,0.224,867,837.99,837.79,103.46,0.3312,-7.7,1
35,Mer+Ven+Sat,3,False,1210,1258.5,1258.49,96.15,0.1738,1279,1250.45,1250.44,102.28,0.4302,-6.14,1
40,Mar+Sat,2,False,818,838.64,838.57,97.54,0.4954,853,838.85,838.59,101.69,0.6454,-4.15,1
41,Mer+Mar+Sat,3,False,1224,1257.54,1257.65,97.33,0.3548,1272,1251.31,1251.26,101.65,0.5649,-4.32,1
42,Ven+Mar+Sat,3,False,1230,1254.54,1254.42,98.04,0.4977,1281,1254.61,1254.3,102.1,0.4734,-4.06,1
43,Mer+Ven+Mar+Sat,4,False,1635,1671.11,1671.17,97.84,0.3843,1692,1664.78,1664.68,101.64,0.5112,-3.8,1
48,Jup+Sat,2,False,819,839.49,839.46,97.56,0.5067,865,837.87,837.75,103.24,0.3639,-5.68,1
49,Mer+Jup+Sat,3,False,1225,1258.39,1258.49,97.35,0.3642,1285,1250.33,1250.38,102.77,0.3307,-5.43,1
50,Ven+Jup+Sat,3,False,1231,1255.35,1255.31,98.06,0.5078,1291,1253.64,1253.46,102.98,0.3048,-4.92,1
51,Mer+Ven+Jup+Sat,4,False,1636,1671.91,1672.01,97.85,0.3934,1703,1663.79,1663.8,102.36,0.3453,-4.5,1
56,Mar+Jup+Sat,3,False,1241,1254.43,1254.42,98.93,0.7214,1276,1254.48,1254.25,101.72,0.5569,-2.79,1
57,Mer+Mar+Jup+Sat,4,False,1646,1671.0,1671.15,98.5,0.553,1695,1664.63,1664.6,101.82,0.4594,-3.32,1
58,Ven+Mar+Jup+Sat,4,False,1652,1667.99,1667.97,99.04,0.7026,1700,1667.93,1667.65,101.92,0.4479,-2.88,1
59,Mer+Ven+Mar+Jup+Sat,5,False,2056,2082.25,2082.38,98.74,0.5788,2111,2075.8,2075.72,101.7,0.4444,-2.96,1
64,Ura,1,False,433,418.57,418.6,103.45,0.5389,432,422.34,422.39,102.29,0.6354,1.16,1
65,Mer+Ura,2,False,841,840.01,840.17,100.12,0.982,852,837.27,837.49,101.76,0.6071,-1.64,1
66,Ven+Ura,2,False,846,836.8,836.79,101.1,0.7657,858,840.42,840.41,102.09,0.5427,-0.99,1
67,Mer+Ven+Ura,3,False,1253,1255.88,1256.01,99.77,0.9478,1270,1253.04,1253.21,101.35,0.6294,-1.58,1
72,Mar+Ura,2,False,862,835.83,835.9,103.13,0.3874,843,841.27,841.2,100.21,0.9542,2.93,1
73,Mer+Mar+Ura,3,False,1269,1254.92,1255.16,101.12,0.7093,1262,1253.89,1254.02,100.65,0.8137,0.48,1
74,Ven+Mar+Ura,3,False,1274,1251.74,1251.77,101.78,0.549,1267,1257.02,1256.9,100.79,0.7851,0.98,1
75,Mer+Ven+Mar+Ura,4,False,1680,1668.51,1668.69,100.69,0.791,1678,1667.35,1667.42,100.64,0.7995,0.05,1
80,Jup+Ura,2,False,862,836.78,836.82,103.01,0.4263,863,840.4,840.39,102.69,0.4358,0.32,1
81,Mer+Jup+Ura,3,False,1269,1255.86,1256.03,101.05,0.7331,1283,1253.01,1253.17,102.39,0.3941,-1.35,1
82,Ven+Jup+Ura,3,False,1274,1252.67,1252.69,101.7,0.5703,1285,1256.17,1256.09,102.29,0.4154,-0.59,1
83,Mer+Ven+Jup+Ura,4,False,1680,1669.41,1669.56,100.63,0.8094,1697,1666.47,1666.57,101.83,0.4497,-1.2,1
88,Mar+Jup+Ura,3,False,1286,1251.72,1251.79,102.74,0.3619,1269,1256.99,1256.86,100.96,0.7361,1.78,1
89,Mer+Mar+Jup+Ura,4,False,1692,1668.49,1668.69,101.41,0.5829,1688,1667.31,1667.36,101.24,0.6065,0.17,1
90,Ven+Mar+Jup+Ura,4,False,1697,1665.31,1665.35,101.9,0.46,1689,1670.43,1670.25,101.11,0.6541,0.79,1
91,Mer+Ven+Mar+Jup+Ura,5,False,2102,2079.76,2079.93,101.07,0.6391,2100,2078.47,2078.47,101.04,0.6347,0.03,1
96,Sat+Ura,2,False,818,837.3,837.57,97.69,0.5279,868,839.65,839.82,103.38,0.3338,-5.68,1
97,Mer+Sat+Ura,3,False,1224,1256.34,1256.74,97.43,0.385,1286,1252.22,1252.57,102.7,0.3402,-5.27,1
98,Ven+Sat+Ura,3,False,1230,1253.2,1253.42,98.15,0.5283,1294,1255.42,1255.52,103.07,0.2785,-4.92,1
99,Mer+Ven+Sat+Ura,4,False,1635,1669.9,1670.27,97.91,0.4096,1704,1665.69,1665.98,102.3,0.3464,-4.39,1
104,Mar+Sat+Ura,3,False,1244,1252.25,1252.55,99.34,0.8304,1278,1256.26,1256.31,101.73,0.5519,-2.39,1
105,Mer+Mar+Sat+Ura,4,False,1649,1668.96,1669.42,98.8,0.6418,1695,1666.54,1666.79,101.71,0.4928,-2.9,1
106,Ven+Mar+Sat+Ura,4,False,1655,1665.86,1666.1,99.35,0.8025,1702,1669.71,1669.71,101.93,0.4404,-2.59,1
107,Mer+Ven+Mar+Sat+Ura,5,False,2059,2080.25,2080.65,98.98,0.6531,2111,2077.71,2077.9,101.6,0.4687,-2.62,1
112,Jup+Sat+Ura,3,False,1244,1253.17,1253.45,99.27,0.8183,1296,1255.38,1255.5,103.24,0.2505,-3.97,1
113,Mer+Jup+Sat+Ura,4,False,1649,1669.87,1670.28,98.75,0.6313,1714,1665.64,1665.94,102.9,0.23,-4.15,1
114,Ven+Jup+Sat+Ura,4,False,1655,1666.74,1667.0,99.3,0.7911,1718,1668.84,1668.89,102.95,0.2286,-3.65,1
115,Mer+Ven+Jup+Sat+Ura,5,False,2059,2081.11,2081.51,98.94,0.6428,2128,2076.81,2077.05,102.46,0.2575,-3.53,1
120,Mar+Jup+Sat+Ura,4,False,1665,1665.8,1666.11,99.95,0.9977,1701,1669.64,1669.66,101.88,0.4408,-1.93,1
121,Mer+Mar+Jup+Sat+Ura,5,False,2069,2080.2,2080.65,99.46,0.8159,2118,2077.63,2077.84,101.94,0.3722,-2.48,1
122,Ven+Mar+Jup+Sat+Ura,5,False,2075,2077.09,2077.37,99.9,0.9703,2121,2080.8,2080.76,101.93,0.3794,-2.03,1
123,Mer+Ven+Mar+Jup+Sat+Ura,6,False,2478,2489.18,2489.6,99.55,0.8329,2530,2486.51,2486.67,101.75,0.3793,-2.2,1
128,Nep,1,False,465,419.99,420.05,110.72,0.0556,390,420.01,420.05,92.86,0.1604,17.86,1
129,Mer+Nep,2,False,868,841.37,841.58,103.16,0.4006,808,834.91,835.13,96.78,0.3587,6.39,1
130,Ven+Nep,2,False,876,838.2,838.22,104.51,0.2285,820,838.09,838.08,97.84,0.5503,6.67,1
131,Mer+Ven+Nep,3,False,1278,1257.25,1257.41,101.65,0.5851,1230,1250.69,1250.85,98.35,0.5729,3.31,1
136,Mar+Nep,2,False,890,837.3,837.4,106.29,0.0912,805,839.04,838.94,95.94,0.2548,10.35,1
137,Mer+Mar+Nep,3,False,1292,1256.33,1256.62,102.84,0.3509,1222,1251.63,1251.73,97.63,0.4115,5.21,1
138,Ven+Mar+Nep,3,False,1300,1253.19,1253.26,103.74,0.2149,1233,1254.78,1254.65,98.26,0.5565,5.47,1
139,Mer+Ven+Mar+Nep,4,False,1701,1669.91,1670.14,101.86,0.4741,1642,1665.09,1665.14,98.61,0.5876,3.25,1
144,Jup+Nep,2,False,893,838.13,838.28,106.55,0.0792,820,838.02,838.08,97.85,0.5724,8.7,1
145,Mer+Jup+Nep,3,False,1295,1257.15,1257.45,103.01,0.3146,1238,1250.6,1250.84,98.99,0.7503,4.02,1
146,Ven+Jup+Nep,3,False,1303,1254.0,1254.14,103.91,0.1898,1246,1253.79,1253.79,99.38,0.854,4.53,1
