Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,1408,422.42,420.71,333.32,0.1291,0,418.34,420.15,0.0,1.0,333.32,1
5,Mer+Ear,2,True,1812,843.72,842.15,214.76,0.1456,422,833.16,835.15,50.65,0.6851,164.11,1
6,Ven+Ear,2,True,1815,840.61,838.89,215.91,0.1399,430,836.43,838.19,51.41,0.8037,164.51,1
7,Mer+Ven+Ear,3,True,2218,1259.59,1257.97,176.09,0.1516,844,1248.97,1250.87,67.58,0.7374,108.51,1
12,Ear+Mar,2,True,1833,839.65,838.02,218.31,0.11,417,837.31,839.0,49.8,0.5109,168.5,1
13,Mer+Ear+Mar,3,True,2236,1258.6,1257.13,177.66,0.1247,838,1249.82,1251.7,67.05,0.6249,110.61,1
14,Ven+Ear+Mar,3,True,2239,1255.53,1253.87,178.33,0.1202,845,1253.07,1254.71,67.43,0.6873,110.9,1
15,Mer+Ven+Ear+Mar,4,True,2641,1672.19,1670.66,157.94,0.1319,1258,1663.32,1665.11,75.63,0.6786,82.31,1
20,Ear+Jup,2,True,1826,840.52,838.91,217.25,0.1216,431,836.33,838.16,51.53,0.7976,165.71,1
21,Mer+Ear+Jup,3,True,2229,1259.46,1257.98,176.98,0.1344,853,1248.83,1250.82,68.3,0.8478,108.68,1
22,Ven+Ear+Jup,3,True,2232,1256.36,1254.76,177.66,0.1293,857,1252.1,1253.87,68.45,0.8618,109.21,1
23,Mer+Ven+Ear+Jup,4,True,2634,1673.0,1671.5,157.44,0.1397,1271,1662.33,1664.24,76.46,0.8403,80.98,1
28,Ear+Mar+Jup,3,True,2247,1255.44,1253.88,178.98,0.1036,843,1252.97,1254.65,67.28,0.6471,111.7,1
29,Mer+Ear+Mar+Jup,4,True,2649,1672.06,1670.64,158.43,0.1168,1264,1663.17,1665.04,76.0,0.7476,82.43,1
30,Ven+Ear+Mar+Jup,4,True,2652,1668.98,1667.43,158.9,0.111,1267,1666.42,1668.06,76.03,0.7467,82.87,1
31,Mer+Ven+Ear+Mar+Jup,5,True,3053,2083.32,2081.87,146.55,0.1211,1680,2074.37,2076.16,80.99,0.76,65.56,1
36,Ear+Sat,2,True,1788,841.45,839.64,212.49,0.1709,437,835.91,837.57,52.28,0.9006,160.21,1
37,Mer+Ear+Sat,3,True,2190,1260.35,1258.67,173.76,0.1808,857,1248.37,1250.21,68.65,0.8975,105.11,1
38,Ven+Ear+Sat,3,True,2194,1257.3,1255.48,174.5,0.1761,867,1251.68,1253.29,69.27,0.9717,105.23,1
39,Mer+Ven+Ear+Sat,4,True,2595,1673.89,1672.19,155.03,0.1851,1279,1661.87,1663.63,76.96,0.9194,78.07,1
44,Ear+Mar+Sat,3,True,2210,1256.35,1254.62,175.91,0.1551,853,1252.55,1254.09,68.1,0.7883,107.8,1
45,Mer+Ear+Mar+Sat,4,True,2611,1672.92,1671.35,156.07,0.1659,1272,1662.71,1664.46,76.5,0.8378,79.57,1
46,Ven+Ear+Mar+Sat,4,True,2615,1669.92,1668.16,156.59,0.1607,1281,1666.01,1667.5,76.89,0.8989,79.7,1
47,Mer+Ven+Ear+Mar+Sat,5,True,3015,2084.2,2082.58,144.66,0.1688,1692,2073.91,2075.58,81.58,0.8757,63.08,1
52,Ear+Jup+Sat,3,True,2204,1257.22,1255.5,175.31,0.1622,865,1251.58,1253.25,69.11,0.9435,106.2,1
53,Mer+Ear+Jup+Sat,4,True,2605,1673.77,1672.19,155.64,0.1726,1285,1661.73,1663.58,77.33,0.9695,78.31,1
54,Ven+Ear+Jup+Sat,4,True,2609,1670.73,1669.04,156.16,0.1674,1291,1665.03,1666.65,77.54,0.9909,78.62,1
55,Mer+Ven+Ear+Jup+Sat,5,True,3009,2084.99,2083.41,144.32,0.1765,1703,2072.92,2074.7,82.15,0.9667,62.16,1
60,Ear+Mar+Jup+Sat,4,True,2622,1669.82,1668.16,157.02,0.1494,1276,1665.89,1667.44,76.6,0.8429,80.43,1
61,Mer+Ear+Mar+Jup+Sat,5,True,3022,2084.06,2082.56,145.01,0.1582,1695,2073.76,2075.5,81.74,0.9033,63.27,1
62,Ven+Ear+Mar+Jup+Sat,5,True,3026,2081.06,2079.41,145.41,0.1524,1700,2077.04,2078.55,81.85,0.9147,63.56,1
63,Mer+Ven+Ear+Mar+Jup+Sat,6,True,3425,2493.03,2491.5,137.38,0.1604,2111,2482.66,2484.34,85.03,0.9151,52.35,1
68,Ear+Ura,2,True,1830,838.67,836.99,218.2,0.1111,432,838.37,840.2,51.53,0.7599,166.67,1
69,Mer+Ear+Ura,3,True,2233,1257.75,1256.21,177.54,0.1244,852,1250.98,1252.99,68.11,0.7885,109.43,1
70,Ven+Ear+Ura,3,True,2236,1254.55,1252.85,178.23,0.1195,858,1254.14,1255.91,68.41,0.8371,109.82,1
71,Mer+Ven+Ear+Ura,4,True,2638,1671.32,1669.74,157.84,0.133,1270,1664.47,1666.4,76.3,0.7917,81.54,1
76,Ear+Mar+Ura,3,True,2254,1253.58,1251.98,179.81,0.0917,843,1254.98,1256.7,67.17,0.588,112.63,1
77,Mer+Ear+Mar+Ura,4,True,2656,1670.34,1668.89,159.01,0.1044,1262,1665.31,1667.21,75.78,0.6777,83.23,1
78,Ven+Ear+Mar+Ura,4,True,2659,1667.17,1665.54,159.49,0.0989,1267,1668.44,1670.09,75.94,0.7074,83.55,1
79,Mer+Ven+Ear+Mar+Ura,5,True,3060,2081.64,2080.13,147.0,0.1106,1678,2076.5,2078.31,80.81,0.7,66.19,1
84,Ear+Jup+Ura,3,True,2247,1254.56,1252.89,179.11,0.102,863,1254.15,1255.88,68.81,0.8834,110.29,1
85,Mer+Ear+Jup+Ura,4,True,2649,1671.3,1669.75,158.5,0.113,1283,1664.45,1666.36,77.08,0.9183,81.42,1
86,Ven+Ear+Jup+Ura,4,True,2652,1668.11,1666.44,158.98,0.109,1285,1667.61,1669.28,77.06,0.91,81.93,1
87,Mer+Ven+Ear+Jup+Ura,5,True,3053,2082.55,2080.99,146.6,0.118,1697,2075.64,2077.47,81.76,0.8934,64.84,1
92,Ear+Mar+Jup+Ura,4,True,2667,1667.17,1665.55,159.97,0.086,1269,1668.43,1670.05,76.06,0.7133,83.91,1
93,Mer+Ear+Mar+Jup+Ura,5,True,3068,2081.61,2080.12,147.39,0.0957,1688,2076.46,2078.26,81.29,0.7987,66.09,1
94,Ven+Ear+Mar+Jup+Ura,5,True,3071,2078.43,2076.82,147.76,0.0912,1689,2079.59,2081.14,81.22,0.775,66.54,1
95,Mer+Ven+Ear+Mar+Jup+Ura,6,True,3471,2490.59,2489.08,139.36,0.0996,2100,2485.37,2487.08,84.49,0.7927,54.87,1
100,Ear+Sat+Ura,3,True,2204,1255.06,1253.63,175.61,0.1584,868,1253.38,1255.32,69.25,0.9397,106.36,1
101,Mer+Ear+Sat+Ura,4,True,2605,1671.76,1670.46,155.82,0.1679,1286,1663.64,1665.77,77.3,0.9478,78.52,1
102,Ven+Ear+Sat+Ura,4,True,2609,1668.63,1667.17,156.36,0.1625,1294,1666.85,1668.71,77.63,0.9885,78.72,1
103,Mer+Ven+Ear+Sat+Ura,5,True,3009,2083.02,2081.68,144.45,0.1705,1704,2074.84,2076.88,82.13,0.9537,62.33,1
108,Ear+Mar+Sat+Ura,4,True,2625,1667.67,1666.31,157.41,0.14,1278,1667.68,1669.5,76.63,0.8223,80.77,1
109,Mer+Ear+Mar+Sat+Ura,5,True,3025,2082.05,2080.84,145.29,0.1504,1695,2075.67,2077.69,81.66,0.8629,63.63,1
110,Ven+Ear+Mar+Sat+Ura,5,True,3029,2078.96,2077.56,145.7,0.1445,1702,2078.85,2080.6,81.87,0.8998,63.83,1
111,Mer+Ven+Ear+Mar+Sat+Ura,6,True,3428,2491.07,2489.79,137.61,0.1525,2111,2484.59,2486.51,84.96,0.8841,52.65,1
116,Ear+Jup+Sat+Ura,4,True,2619,1668.63,1667.2,156.96,0.146,1296,1666.84,1668.69,77.75,1.0,79.2,1
117,Mer+Ear+Jup+Sat+Ura,5,True,3019,2082.99,2081.7,144.94,0.1552,1714,2074.81,2076.84,82.61,0.9897,62.33,1
118,Ven+Ear+Jup+Sat+Ura,5,True,3023,2079.87,2078.45,145.35,0.151,1718,2078.0,2079.79,82.68,0.9857,62.67,1
119,Mer+Ven+Ear+Jup+Sat+Ura,6,True,3422,2491.94,2490.64,137.32,0.1576,2128,2483.71,2485.67,85.68,1.0,51.64,1
124,Ear+Mar+Jup+Sat+Ura,5,True,3036,2078.93,2077.57,146.04,0.1317,1701,2078.81,2080.56,81.83,0.891,64.21,1
125,Mer+Ear+Mar+Jup+Sat+Ura,6,True,3435,2491.01,2489.79,137.9,0.1403,2118,2484.52,2486.45,85.25,0.9371,52.65,1
126,Ven+Ear+Mar+Jup+Sat+Ura,6,True,3439,2487.91,2486.54,138.23,0.1337,2121,2487.69,2489.37,85.26,0.9361,52.97,1
127,Mer+Ven+Ear+Mar+Jup+Sat+Ura,7,True,3837,2897.72,2896.46,132.41,0.1412,2530,2891.15,2893.01,87.51,0.9355,44.91,1
132,Ear+Nep,2,True,1864,840.07,838.42,221.89,0.0731,390,836.03,837.87,46.65,0.093,175.24,1
133,Mer+Ear+Nep,3,True,2262,1259.1,1257.6,179.65,0.0906,808,1248.62,1250.63,64.71,0.2031,114.94,1
134,Ven+Ear+Nep,3,True,2268,1255.93,1254.27,180.58,0.0847,820,1251.79,1253.58,65.51,0.3158,115.08,1
135,Mer+Ven+Ear+Nep,4,True,2665,1672.67,1671.12,159.33,0.1028,1230,1662.12,1664.05,74.0,0.3349,85.32,1
140,Ear+Mar+Nep,3,True,2285,1255.03,1253.46,182.07,0.0589,805,1252.75,1254.44,64.26,0.1459,117.81,1
141,Mer+Ear+Mar+Nep,4,True,2682,1671.73,1670.33,160.43,0.0771,1222,1663.04,1664.92,73.48,0.2374,86.95,1
142,Ven+Ear+Mar+Nep,4,True,2688,1668.59,1667.01,161.09,0.0697,1233,1666.19,1667.84,74.0,0.3296,87.09,1
143,Mer+Ven+Ear+Mar+Nep,5,True,3084,2083.02,2081.56,148.05,0.0859,1642,2074.24,2076.04,79.16,0.3501,68.89,1
148,Ear+Jup+Nep,3,True,2279,1255.87,1254.34,181.47,0.0673,820,1251.75,1253.59,65.51,0.3166,115.96,1
149,Mer+Ear+Jup+Nep,4,True,2676,1672.56,1671.16,159.99,0.0859,1238,1662.02,1664.04,74.49,0.4222,85.51,1
150,Ven+Ear+Jup+Nep,4,True,2682,1669.4,1667.88,160.66,0.0787,1246,1665.2,1666.99,74.83,0.4927,85.83,1
151,Mer+Ven+Ear+Jup+Nep,5,True,3078,2083.81,2082.38,147.71,0.0945,1656,2073.22,2075.16,79.88,0.5031,67.83,1
156,Ear+Mar+Jup+Nep,4,True,2696,1668.54,1667.05,161.58,0.0586,1230,1666.14,1667.83,73.82,0.2858,87.76,1
157,Mer+Ear+Mar+Jup+Nep,5,True,3092,2082.92,2081.58,148.45,0.0748,1647,2074.14,2076.01,79.41,0.3908,69.04,1
158,Ven+Ear+Mar+Jup+Nep,5,True,3098,2079.78,2078.3,148.96,0.0669,1654,2077.28,2078.93,79.62,0.4418,69.33,1
159,Mer+Ven+Ear+Mar+Jup+Nep,6,True,3493,2491.89,2490.53,140.17,0.0811,2063,2483.04,2484.84,83.08,0.466,57.09,1
164,Ear+Sat+Nep,3,True,2241,1257.06,1255.04,178.27,0.1182,825,1251.61,1252.99,65.92,0.384,112.36,1
165,Mer+Ear+Sat+Nep,4,True,2637,1673.71,1671.83,157.55,0.137,1241,1661.85,1663.41,74.68,0.4509,82.88,1
166,Ven+Ear+Sat+Nep,4,True,2644,1670.59,1668.58,158.27,0.128,1255,1665.05,1666.39,75.37,0.6001,82.89,1
167,Mer+Ven+Ear+Sat+Nep,5,True,3039,2084.95,2083.05,145.76,0.1443,1663,2073.04,2074.54,80.22,0.5751,65.54,1
172,Ear+Mar+Sat+Nep,4,True,2659,1669.7,1667.78,159.25,0.1042,1239,1666.0,1667.25,74.37,0.3892,84.88,1
173,Mer+Ear+Mar+Sat+Nep,5,True,3054,2084.03,2082.27,146.54,0.1222,1654,2073.96,2075.41,79.75,0.4595,66.79,1
174,Ven+Ear+Mar+Sat+Nep,5,True,3061,2080.95,2079.02,147.1,0.1132,1667,2077.14,2078.36,80.25,0.5793,66.84,1
