Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,720,704.3,102.23,0.59,0.5709,700,703.7,99.48,-0.14,0.9085
2,4,0.3,1470,1409.0,104.33,1.59,0.1078,1467,1408.1,104.19,1.56,0.1294
3,6,0.45,2145,2113.5,101.49,0.67,0.5063,2155,2111.2,102.07,0.92,0.3658
4,8,0.61,2891,2817.4,102.61,1.32,0.193,2861,2816.2,101.59,0.81,0.4288
5,10,0.76,3538,3521.8,100.46,0.25,0.8311,3551,3519.1,100.91,0.51,0.6295
6,12,0.91,4226,4225.7,100.01,0.0,0.9861,4254,4224.5,100.7,0.42,0.6819
7,14,1.06,4960,4929.1,100.63,0.39,0.7301,4962,4927.0,100.71,0.44,0.6817
8,16,1.21,5632,5634.5,99.96,-0.03,0.9563,5634,5630.3,100.07,0.04,0.9893
9,18,1.36,6344,6339.8,100.07,0.04,0.9861,6346,6337.2,100.14,0.09,0.9541
10,20,1.52,7048,7042.7,100.07,0.05,1.0,7003,7039.9,99.48,-0.33,0.7179
