Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,3332,3380.2,98.57,-0.82,0.4206,3431,3378.3,101.56,0.88,0.381
2,4,0.3,6752,6759.2,99.89,-0.08,0.9585,6880,6757.9,101.81,1.44,0.1508
3,6,0.45,10151,10138.0,100.13,0.12,0.8975,10202,10135.7,100.65,0.64,0.5245
4,8,0.61,13561,13519.7,100.31,0.35,0.7359,13586,13515.3,100.52,0.6,0.5673
5,10,0.76,16949,16896.9,100.31,0.39,0.6965,16896,16894.6,100.01,0.01,0.9919
6,12,0.91,20401,20277.1,100.61,0.84,0.3884,20327,20271.4,100.27,0.37,0.7147
7,14,1.06,23757,23656.8,100.42,0.6,0.5325,23627,23651.7,99.9,-0.15,0.8971
8,16,1.21,27197,27038.5,100.59,0.85,0.391,26893,27027.4,99.5,-0.72,0.4702
9,18,1.36,30587,30420.9,100.55,0.8,0.4272,30276,30412.7,99.55,-0.64,0.5253
10,20,1.52,33965,33793.7,100.51,0.75,0.4598,33710,33790.8,99.76,-0.34,0.7407
