SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC12,1878-12,1890-02,1430,Mercury,1,Conjunction,5,8.01,62.45,0.4135,-1.01
SC12,1878-12,1890-02,1430,Mercury,1,Opposition,13,7.94,163.66,0.1184,1.82
SC12,1878-12,1890-02,1430,Venus,1,Conjunction,5,7.96,62.8,0.3615,-1.1
SC12,1878-12,1890-02,1430,Venus,1,Opposition,6,7.97,75.26,0.6275,-0.72
SC12,1878-12,1890-02,1430,Mars,1,Conjunction,4,7.98,50.13,0.1928,-1.43
SC12,1878-12,1890-02,1430,Mars,1,Opposition,5,7.95,62.9,0.4475,-1.0
SC12,1878-12,1890-02,1430,Jupiter,1,Conjunction,4,7.97,50.2,0.176,-1.44
SC12,1878-12,1890-02,1430,Jupiter,1,Opposition,11,7.88,139.58,0.3191,1.13
SC12,1878-12,1890-02,1430,Saturn,1,Conjunction,5,8.0,62.51,0.4011,-1.08
SC12,1878-12,1890-02,1430,Saturn,1,Opposition,8,7.87,101.62,1.0,0.05
SC12,1878-12,1890-02,1430,Uranus,1,Conjunction,11,7.86,139.95,0.3559,1.13
SC12,1878-12,1890-02,1430,Uranus,1,Opposition,6,7.98,75.2,0.6451,-0.72
SC12,1878-12,1890-02,1430,Neptune,1,Conjunction,9,7.89,114.05,0.7822,0.39
SC12,1878-12,1890-02,1430,Neptune,1,Opposition,4,8.0,49.98,0.226,-1.34
SC12,1878-12,1890-02,1430,Mercury,2,Conjunction,11,15.95,68.97,0.2619,-1.17
SC12,1878-12,1890-02,1430,Mercury,2,Opposition,20,15.73,127.12,0.3339,1.13
SC12,1878-12,1890-02,1430,Venus,2,Conjunction,16,15.95,100.34,1.0,0.01
SC12,1878-12,1890-02,1430,Venus,2,Opposition,19,15.84,119.92,0.5079,0.82
SC12,1878-12,1890-02,1430,Mars,2,Conjunction,10,16.05,62.3,0.1364,-1.59
SC12,1878-12,1890-02,1430,Mars,2,Opposition,18,15.68,114.83,0.6619,0.55
SC12,1878-12,1890-02,1430,Jupiter,2,Conjunction,11,16.02,68.67,0.2036,-1.32
SC12,1878-12,1890-02,1430,Jupiter,2,Opposition,16,15.84,101.0,1.0,0.04
SC12,1878-12,1890-02,1430,Saturn,2,Conjunction,11,15.94,68.99,0.2627,-1.29
SC12,1878-12,1890-02,1430,Saturn,2,Opposition,16,15.94,100.38,1.0,0.02
SC12,1878-12,1890-02,1430,Uranus,2,Conjunction,25,15.73,158.9,0.0284,2.43
SC12,1878-12,1890-02,1430,Uranus,2,Opposition,12,15.92,75.4,0.3571,-1.03
SC12,1878-12,1890-02,1430,Neptune,2,Conjunction,18,15.83,113.69,0.6843,0.53
SC12,1878-12,1890-02,1430,Neptune,2,Opposition,13,16.0,81.24,0.6067,-0.71
