Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,194,186.94,186.96,103.78,0.6369,193,183.0,182.94,105.47,0.4776,-1.69,1
2,Ven,1,False,191,184.96,184.92,103.27,0.6775,184,184.82,184.84,99.55,0.9663,3.71,1
3,Mer+Ven,2,False,384,370.86,370.84,103.54,0.5142,374,366.8,366.76,101.96,0.722,1.58,1
8,Mar,1,False,184,184.39,184.5,99.79,1.0,186,185.26,185.22,100.4,0.9812,-0.61,1
9,Mer+Mar,2,False,378,370.3,370.43,102.08,0.7107,379,367.25,367.15,103.2,0.5542,-1.12,1
10,Ven+Mar,2,False,373,368.32,368.39,101.27,0.8249,368,369.07,369.03,99.71,0.9788,1.56,1
11,Mer+Ven+Mar,3,False,566,553.2,553.29,102.31,0.6023,558,550.04,549.95,101.45,0.7467,0.87,1
16,Jup,1,False,196,185.03,184.99,105.93,0.4603,178,184.78,184.76,96.33,0.6717,9.6,1
17,Mer+Jup,2,False,390,370.92,370.9,105.14,0.3545,370,366.75,366.67,100.89,0.8857,4.26,1
18,Ven+Jup,2,False,385,368.96,368.88,104.35,0.422,359,368.56,368.57,97.41,0.6407,6.94,1
19,Mer+Ven+Jup,3,False,578,553.81,553.76,104.37,0.3232,549,549.52,549.47,99.91,0.9988,4.46,1
24,Mar+Jup,2,False,378,368.39,368.45,102.61,0.6389,360,369.01,368.95,97.56,0.6699,5.05,1
25,Mer+Mar+Jup,3,False,572,553.26,553.34,103.39,0.452,552,549.98,549.86,100.37,0.9452,3.02,1
26,Ven+Mar+Jup,3,False,565,551.3,551.33,102.49,0.5777,539,551.77,551.74,97.69,0.6012,4.8,1
27,Mer+Ven+Mar+Jup,4,False,758,735.14,735.19,103.11,0.4139,729,731.73,731.64,99.63,0.9367,3.48,1
32,Sat,1,False,190,185.4,185.43,102.48,0.7645,196,184.46,184.52,106.25,0.4065,-3.77,1
33,Mer+Sat,2,False,382,371.26,371.32,102.89,0.5978,387,366.42,366.43,105.62,0.285,-2.72,1
34,Ven+Sat,2,False,380,369.32,369.32,102.89,0.5845,380,368.26,368.34,103.19,0.5539,-0.29,1
35,Mer+Ven+Sat,3,False,571,554.14,554.18,103.04,0.4782,568,549.21,549.23,103.42,0.4276,-0.38,1
40,Mar+Sat,2,False,374,368.76,368.89,101.42,0.7985,381,368.68,368.72,103.34,0.5316,-1.92,1
41,Mer+Mar+Sat,3,False,566,553.61,553.77,102.24,0.6135,572,549.64,549.62,104.07,0.3408,-1.83,1
42,Ven+Mar+Sat,3,False,562,551.67,551.77,101.87,0.6667,563,551.48,551.51,102.09,0.6348,-0.22,1
43,Mer+Ven+Mar+Sat,4,False,753,735.48,735.61,102.38,0.5272,751,731.42,731.41,102.68,0.4707,-0.29,1
48,Jup+Sat,2,False,384,369.38,369.38,103.96,0.4514,373,368.23,368.26,101.3,0.8288,2.66,1
49,Mer+Jup+Sat,3,False,576,554.21,554.23,103.93,0.3619,563,549.18,549.14,102.52,0.5696,1.41,1
50,Ven+Jup+Sat,3,False,572,552.28,552.25,103.57,0.4008,554,551.0,551.05,100.55,0.9215,3.02,1
51,Mer+Ven+Jup+Sat,4,False,763,736.07,736.07,103.66,0.3248,742,730.93,730.93,101.52,0.6961,2.14,1
56,Mar+Jup+Sat,3,False,566,551.72,551.82,102.59,0.5461,554,551.42,551.42,100.47,0.927,2.12,1
57,Mer+Mar+Jup+Sat,4,False,758,735.53,735.66,103.05,0.4156,744,731.36,731.31,101.73,0.6516,1.33,1
58,Ven+Mar+Jup+Sat,4,False,752,733.61,733.68,102.51,0.5004,733,733.18,733.2,99.98,1.0,2.53,1
59,Mer+Ven+Mar+Jup+Sat,5,False,943,916.39,916.49,102.9,0.381,921,912.12,912.09,100.97,0.7777,1.93,1
64,Ura,1,False,192,183.57,183.6,104.59,0.5661,208,185.86,185.88,111.91,0.1128,-7.32,1
65,Mer+Ura,2,False,386,369.53,369.57,104.46,0.4262,401,367.89,367.85,109.0,0.0805,-4.54,1
66,Ven+Ura,2,False,382,367.51,367.5,103.94,0.464,388,369.65,369.68,104.96,0.3359,-1.02,1
67,Mer+Ven+Ura,3,False,575,552.43,552.44,104.09,0.355,578,550.66,550.64,104.97,0.2386,-0.88,1
