Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,441,184.52,185.04,239.0,0.4466,0,184.63,184.72,0.0,1.0,239.0,1
5,Mer+Ear,2,True,634,370.38,370.95,171.18,0.4181,193,366.57,366.63,52.65,0.8557,118.53,1
6,Ven+Ear,2,True,630,368.36,368.93,171.03,0.4283,184,368.37,368.53,49.95,0.535,121.08,1
7,Mer+Ven+Ear,3,True,822,553.21,553.81,148.59,0.3995,374,549.33,549.43,68.08,0.7291,80.5,1
12,Ear+Mar,2,True,622,367.99,368.51,169.03,0.4435,186,368.73,368.91,50.44,0.589,118.58,1
13,Mer+Ear+Mar,3,True,815,552.82,553.4,147.43,0.4146,379,549.67,549.83,68.95,0.8145,78.47,1
14,Ven+Ear+Mar,3,True,809,550.82,551.39,146.87,0.4287,368,551.45,551.7,66.73,0.5402,80.14,1
15,Mer+Ven+Ear+Mar,4,True,1001,734.65,735.25,136.25,0.398,558,731.4,731.61,76.29,0.7144,59.96,1
20,Ear+Jup,2,True,633,368.51,369.0,171.77,0.4176,178,368.4,368.45,48.32,0.3624,123.46,1
21,Mer+Ear+Jup,3,True,826,553.33,553.87,149.28,0.3822,370,549.34,549.35,67.35,0.6311,81.92,1
22,Ven+Ear+Jup,3,True,820,551.33,551.87,148.73,0.3993,359,551.12,551.24,65.14,0.3547,83.59,1
23,Mer+Ven+Ear+Jup,4,True,1012,735.15,735.71,137.66,0.3643,549,731.06,731.13,75.1,0.5565,62.56,1
28,Ear+Mar+Jup,3,True,813,550.96,551.44,147.56,0.4158,360,551.48,551.62,65.28,0.37,82.28,1
29,Mer+Ear+Mar+Jup,4,True,1006,734.77,735.3,136.91,0.3806,552,731.42,731.52,75.47,0.6011,61.44,1
30,Ven+Ear+Mar+Jup,4,True,998,732.78,733.3,136.19,0.4018,539,733.18,733.39,73.52,0.3394,62.68,1
31,Mer+Ven+Ear+Mar+Jup,5,True,1190,915.59,916.13,129.97,0.3667,729,912.13,912.29,79.92,0.5264,50.05,1
36,Ear+Sat,2,True,630,368.92,369.43,170.77,0.4301,196,368.16,368.21,53.24,0.8826,117.53,1
37,Mer+Ear+Sat,3,True,821,553.71,554.29,148.27,0.4012,387,549.07,549.1,70.48,0.9482,77.79,1
38,Ven+Ear+Sat,3,True,818,551.73,552.3,148.26,0.4088,380,550.88,551.01,68.98,0.8147,79.28,1
39,Mer+Ven+Ear+Sat,4,True,1008,735.52,736.13,137.05,0.3804,568,730.8,730.89,77.72,0.8843,59.32,1
44,Ear+Mar+Sat,3,True,811,551.36,551.88,147.09,0.4248,381,551.23,551.39,69.12,0.8137,77.97,1
45,Mer+Ear+Mar+Sat,4,True,1002,735.14,735.72,136.3,0.3974,572,731.14,731.28,78.23,0.92,58.07,1
46,Ven+Ear+Mar+Sat,4,True,997,733.17,733.74,135.98,0.4087,563,732.93,733.17,76.81,0.7684,59.17,1
47,Mer+Ven+Ear+Mar+Sat,5,True,1187,915.95,916.55,129.59,0.3791,751,911.86,912.06,82.36,0.8579,47.23,1
