Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,5925,5883.9,100.7,0.52,0.5989,5877,5877.2,100.0,-0.0,0.9877
2,4,0.3,11726,11764.7,99.67,-0.35,0.7341,11886,11752.4,101.14,1.21,0.231
3,6,0.45,17634,17647.7,99.92,-0.1,0.9325,17795,17626.7,100.95,1.24,0.2212
4,8,0.61,23461,23532.6,99.7,-0.44,0.6879,23621,23502.1,100.51,0.73,0.4652
5,10,0.76,29269,29410.7,99.52,-0.77,0.4534,29619,29381.4,100.81,1.3,0.2058
6,12,0.91,35215,35299.1,99.76,-0.41,0.7007,35498,35258.6,100.68,1.17,0.2444
7,14,1.06,41019,41178.8,99.61,-0.71,0.4854,41375,41135.7,100.58,1.04,0.2954
8,16,1.21,46904,47065.6,99.66,-0.63,0.5365,47425,47003.1,100.9,1.66,0.091
9,18,1.36,52850,52949.7,99.81,-0.35,0.7437,53283,52889.7,100.74,1.41,0.145
10,20,1.52,58721,58830.6,99.81,-0.36,0.7355,59219,58763.0,100.78,1.5,0.1284
