SC,Start,End,N_Records,Planet,Window,Type,k_obs,k_exp,Ratio,p_val,Z_score
SC12,1878-12,1890-02,10968,Mercury,1,Conjunction,58,61.21,94.76,0.7283,-0.41
SC12,1878-12,1890-02,10968,Mercury,1,Opposition,61,60.49,100.84,0.9674,0.07
SC12,1878-12,1890-02,10968,Venus,1,Conjunction,45,60.85,73.96,0.076,-1.88
SC12,1878-12,1890-02,10968,Venus,1,Opposition,66,60.8,108.55,0.5215,0.65
SC12,1878-12,1890-02,10968,Mars,1,Conjunction,46,61.34,74.99,0.0772,-1.8
SC12,1878-12,1890-02,10968,Mars,1,Opposition,56,60.72,92.23,0.6543,-0.5
SC12,1878-12,1890-02,10968,Jupiter,1,Conjunction,40,61.09,65.47,0.0048,-2.5
SC12,1878-12,1890-02,10968,Jupiter,1,Opposition,56,60.66,92.32,0.6523,-0.56
SC12,1878-12,1890-02,10968,Saturn,1,Conjunction,56,61.12,91.63,0.5507,-0.71
SC12,1878-12,1890-02,10968,Saturn,1,Opposition,70,60.83,115.08,0.2651,1.22
SC12,1878-12,1890-02,10968,Uranus,1,Conjunction,65,60.63,107.21,0.6043,0.58
SC12,1878-12,1890-02,10968,Uranus,1,Opposition,48,61.05,78.62,0.1004,-1.74
SC12,1878-12,1890-02,10968,Neptune,1,Conjunction,61,60.23,101.28,0.9482,0.1
SC12,1878-12,1890-02,10968,Neptune,1,Opposition,56,61.37,91.25,0.5031,-0.7
SC12,1878-12,1890-02,10968,Mercury,2,Conjunction,109,122.68,88.85,0.2396,-1.19
SC12,1878-12,1890-02,10968,Mercury,2,Opposition,130,121.13,107.33,0.3847,0.92
SC12,1878-12,1890-02,10968,Venus,2,Conjunction,103,121.84,84.54,0.1348,-1.52
SC12,1878-12,1890-02,10968,Venus,2,Opposition,126,121.57,103.65,0.7219,0.38
SC12,1878-12,1890-02,10968,Mars,2,Conjunction,104,122.23,85.09,0.1636,-1.35
SC12,1878-12,1890-02,10968,Mars,2,Opposition,130,121.06,107.39,0.5247,0.62
SC12,1878-12,1890-02,10968,Jupiter,2,Conjunction,98,122.38,80.08,0.0288,-1.97
SC12,1878-12,1890-02,10968,Jupiter,2,Opposition,114,121.48,93.84,0.6183,-0.61
SC12,1878-12,1890-02,10968,Saturn,2,Conjunction,116,122.26,94.88,0.5675,-0.65
SC12,1878-12,1890-02,10968,Saturn,2,Opposition,137,121.66,112.61,0.134,1.58
SC12,1878-12,1890-02,10968,Uranus,2,Conjunction,139,121.11,114.77,0.0768,1.68
SC12,1878-12,1890-02,10968,Uranus,2,Opposition,109,122.37,89.07,0.2368,-1.32
SC12,1878-12,1890-02,10968,Neptune,2,Conjunction,111,120.95,91.78,0.3787,-0.89
SC12,1878-12,1890-02,10968,Neptune,2,Opposition,122,122.8,99.35,0.9682,-0.07
SC12,1878-12,1890-02,10968,Mercury,3,Conjunction,163,183.81,88.68,0.0924,-1.52
SC12,1878-12,1890-02,10968,Mercury,3,Opposition,191,181.73,105.1,0.4303,0.82
SC12,1878-12,1890-02,10968,Venus,3,Conjunction,170,183.18,92.81,0.4007,-0.86
SC12,1878-12,1890-02,10968,Venus,3,Opposition,195,182.85,106.64,0.3691,0.83
SC12,1878-12,1890-02,10968,Mars,3,Conjunction,180,183.49,98.1,0.911,-0.2
SC12,1878-12,1890-02,10968,Mars,3,Opposition,187,182.37,102.54,0.8042,0.24
SC12,1878-12,1890-02,10968,Jupiter,3,Conjunction,167,183.13,91.19,0.3363,-1.02
SC12,1878-12,1890-02,10968,Jupiter,3,Opposition,173,182.21,94.95,0.6111,-0.6
SC12,1878-12,1890-02,10968,Saturn,3,Conjunction,177,182.88,96.79,0.6595,-0.49
SC12,1878-12,1890-02,10968,Saturn,3,Opposition,195,182.41,106.9,0.3087,1.04
SC12,1878-12,1890-02,10968,Uranus,3,Conjunction,192,182.51,105.2,0.4911,0.74
SC12,1878-12,1890-02,10968,Uranus,3,Opposition,166,183.63,90.4,0.1944,-1.45
SC12,1878-12,1890-02,10968,Neptune,3,Conjunction,178,181.1,98.29,0.863,-0.23
SC12,1878-12,1890-02,10968,Neptune,3,Opposition,178,184.08,96.7,0.6651,-0.47
SC12,1878-12,1890-02,10968,Mercury,4,Conjunction,226,245.1,92.21,0.1616,-1.28
SC12,1878-12,1890-02,10968,Mercury,4,Opposition,252,242.57,103.89,0.5235,0.71
SC12,1878-12,1890-02,10968,Venus,4,Conjunction,225,243.93,92.24,0.2555,-1.1
SC12,1878-12,1890-02,10968,Venus,4,Opposition,253,243.61,103.85,0.5319,0.56
SC12,1878-12,1890-02,10968,Mars,4,Conjunction,247,244.48,101.03,0.8518,0.12
SC12,1878-12,1890-02,10968,Mars,4,Opposition,252,242.58,103.89,0.7139,0.4
SC12,1878-12,1890-02,10968,Jupiter,4,Conjunction,231,244.77,94.38,0.5271,-0.73
SC12,1878-12,1890-02,10968,Jupiter,4,Opposition,229,243.14,94.19,0.5027,-0.75
SC12,1878-12,1890-02,10968,Saturn,4,Conjunction,243,244.1,99.55,0.9358,-0.08
SC12,1878-12,1890-02,10968,Saturn,4,Opposition,256,243.72,105.04,0.4315,0.85
SC12,1878-12,1890-02,10968,Uranus,4,Conjunction,249,243.04,102.45,0.777,0.41
