Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
1,Mer,1,False,1385,1436.92,1437.11,96.39,0.1563,1436,1417.52,1417.61,101.3,0.6339,-4.92,1
2,Ven,1,False,1442,1426.71,1427.07,101.07,0.7087,1453,1426.48,1426.58,101.86,0.4899,-0.79,1
3,Mer+Ven,2,False,2822,2855.66,2856.19,98.82,0.5307,2874,2836.13,2836.3,101.34,0.4651,-2.51,1
8,Mar,1,False,1439,1424.52,1424.25,101.02,0.7229,1408,1428.79,1429.13,98.54,0.6333,2.47,1
9,Mer+Mar,2,False,2818,2853.44,2853.45,98.76,0.524,2839,2838.4,2838.91,100.02,1.0,-1.26,1
10,Ven+Mar,2,False,2873,2843.32,2843.41,101.04,0.606,2855,2847.34,2847.79,100.27,0.9044,0.77,1
11,Mer+Ven+Mar,3,False,4247,4264.34,4264.66,99.59,0.8056,4271,4249.15,4249.72,100.51,0.7475,-0.92,1
16,Jup,1,False,1435,1427.16,1427.03,100.55,0.8845,1448,1426.2,1426.54,101.53,0.6296,-0.98,1
17,Mer+Jup,2,False,2817,2856.09,2856.08,98.63,0.4977,2880,2835.81,2836.2,101.56,0.4344,-2.93,1
18,Ven+Jup,2,False,2873,2845.96,2846.17,100.95,0.6596,2891,2844.71,2845.2,101.63,0.4207,-0.68,1
19,Mer+Ven+Jup,3,False,4250,4266.95,4267.28,99.6,0.8112,4309,4246.48,4247.02,101.47,0.3506,-1.87,1
24,Mar+Jup,2,False,2862,2843.77,2843.3,100.64,0.7696,2839,2847.05,2847.68,99.72,0.902,0.92,1
25,Mer+Mar+Jup,3,False,4238,4264.77,4264.5,99.37,0.7124,4266,4248.81,4249.56,100.4,0.8072,-1.03,1
26,Ven+Mar+Jup,3,False,4292,4254.67,4254.59,100.88,0.606,4276,4257.65,4258.46,100.43,0.7998,0.45,1
27,Mer+Ven+Mar+Jup,4,False,5663,5667.8,5667.87,99.92,0.9648,5689,5651.64,5652.54,100.66,0.6365,-0.75,1
32,Sat,1,False,1409,1429.26,1429.48,98.58,0.6324,1494,1424.69,1424.8,104.87,0.1005,-6.28,1
33,Mer+Sat,2,False,2787,2858.0,2858.42,97.52,0.1798,2927,2834.17,2834.37,103.28,0.0875,-5.76,1
34,Ven+Sat,2,False,2844,2848.03,2848.6,99.86,0.9589,2940,2843.23,2843.46,103.4,0.0814,-3.54,1
35,Mer+Ven+Sat,3,False,4217,4268.83,4269.6,98.79,0.433,4358,4244.86,4245.2,102.67,0.0827,-3.88,1
40,Mar+Sat,2,False,2836,2845.85,2845.81,99.65,0.8844,2895,2845.54,2846.01,101.74,0.4029,-2.08,1
41,Mer+Mar+Sat,3,False,4208,4266.63,4266.88,98.63,0.383,4323,4247.15,4247.8,101.79,0.2593,-3.16,1
42,Ven+Mar+Sat,3,False,4263,4256.76,4257.07,100.15,0.919,4335,4256.21,4256.79,101.85,0.2476,-1.7,1
43,Mer+Ven+Mar+Sat,4,False,5630,5669.67,5670.24,99.3,0.6147,5748,5650.04,5650.78,101.73,0.2022,-2.43,1
48,Jup+Sat,2,False,2831,2848.41,2848.54,99.39,0.7821,2933,2843.06,2843.41,103.16,0.136,-3.77,1
49,Mer+Jup+Sat,3,False,4206,4269.22,4269.48,98.52,0.3657,4362,4244.67,4245.08,102.76,0.0883,-4.24,1
50,Ven+Jup+Sat,3,False,4262,4259.29,4259.79,100.06,0.9719,4369,4253.66,4254.19,102.71,0.0994,-2.65,1
51,Mer+Ven+Jup+Sat,4,False,5632,5672.19,5672.81,99.29,0.6157,5784,5647.46,5648.07,102.42,0.0778,-3.13,1
56,Mar+Jup+Sat,3,False,4246,4257.08,4256.94,99.74,0.8911,4317,4255.97,4256.67,101.43,0.4027,-1.69,1
57,Mer+Mar+Jup+Sat,4,False,5615,5669.99,5670.06,99.03,0.5,5741,5649.77,5650.61,101.61,0.2574,-2.58,1
58,Ven+Mar+Jup+Sat,4,False,5669,5660.13,5660.37,100.16,0.9122,5747,5658.72,5659.62,101.56,0.2766,-1.4,1
59,Mer+Ven+Mar+Jup+Sat,5,False,7033,7065.21,7065.62,99.54,0.7269,7157,7044.78,7045.8,101.59,0.2015,-2.05,1
64,Ura,1,False,1443,1421.77,1421.71,101.49,0.6229,1488,1432.77,1432.84,103.85,0.1363,-2.36,1
65,Mer+Ura,2,False,2824,2851.13,2851.25,99.05,0.6269,2917,2842.79,2842.92,102.61,0.1451,-3.56,1
66,Ven+Ura,2,False,2876,2840.59,2840.89,101.25,0.537,2928,2851.28,2851.47,102.69,0.138,-1.44,1
67,Mer+Ven+Ura,3,False,4252,4261.97,4262.47,99.77,0.8835,4342,4253.43,4253.7,102.08,0.1496,-2.32,1
72,Mar+Ura,2,False,2870,2838.36,2838.04,101.11,0.5966,2877,2853.54,2853.97,100.82,0.6777,0.29,1
73,Mer+Mar+Ura,3,False,4245,4259.81,4259.71,99.65,0.8363,4301,4255.76,4256.26,101.06,0.4911,-1.41,1
74,Ven+Mar+Ura,3,False,4295,4249.32,4249.36,101.08,0.5204,4311,4264.17,4264.71,101.1,0.4803,-0.02,1
75,Mer+Ven+Mar+Ura,4,False,5665,5662.87,5663.12,100.04,0.9857,5720,5658.59,5659.21,101.09,0.4058,-1.05,1
80,Jup+Ura,2,False,2870,2841.38,2840.88,101.01,0.6508,2935,2851.4,2851.46,102.93,0.1452,-1.92,1
81,Mer+Jup+Ura,3,False,4248,4262.79,4262.41,99.65,0.8393,4360,4253.55,4253.64,102.5,0.1078,-2.85,1
82,Ven+Jup+Ura,3,False,4299,4252.33,4252.17,101.1,0.5187,4365,4262.0,4262.21,102.42,0.1254,-1.32,1
83,Mer+Ven+Jup+Ura,4,False,5672,5665.81,5665.79,100.11,0.9509,5776,5656.31,5656.59,102.12,0.1091,-2.01,1
88,Mar+Jup+Ura,3,False,4285,4250.05,4249.29,100.82,0.6349,4307,4264.23,4264.65,101.0,0.5378,-0.18,1
89,Mer+Mar+Jup+Ura,4,False,5657,5663.63,5662.99,99.88,0.9425,5727,5658.63,5659.08,101.21,0.3792,-1.33,1
90,Ven+Mar+Jup+Ura,4,False,5706,5653.17,5652.76,100.93,0.5255,5731,5666.97,5667.55,101.13,0.4137,-0.2,1
91,Mer+Ven+Mar+Jup+Ura,5,False,7073,7058.88,7058.6,100.2,0.8813,7137,7053.61,7054.23,101.18,0.3231,-0.98,1
96,Sat+Ura,2,False,2831,2842.15,2843.36,99.61,0.8755,2979,2848.75,2849.77,104.57,0.0265,-4.96,1
97,Mer+Sat+Ura,3,False,4205,4263.37,4264.77,98.63,0.3977,4405,4250.77,4251.86,103.63,0.0221,-5.0,1
98,Ven+Sat+Ura,3,False,4257,4253.09,4254.64,100.09,0.9528,4412,4259.38,4260.53,103.58,0.0232,-3.49,1
99,Mer+Ven+Sat+Ura,4,False,5626,5666.37,5668.14,99.29,0.6089,5823,5653.56,5654.82,103.0,0.0235,-3.71,1
104,Mar+Sat+Ura,3,False,4247,4250.86,4251.82,99.91,0.979,4361,4261.63,4263.03,102.33,0.1476,-2.42,1
105,Mer+Mar+Sat+Ura,4,False,5615,5664.22,5665.41,99.13,0.5427,5782,5655.88,5657.38,102.23,0.0971,-3.1,1
106,Ven+Mar+Sat+Ura,4,False,5665,5654.01,5655.28,100.19,0.8905,5788,5664.45,5665.94,102.18,0.1086,-1.99,1
107,Mer+Ven+Mar+Sat+Ura,5,False,7028,7059.5,7061.0,99.55,0.7273,7194,7050.93,7052.53,102.03,0.0893,-2.48,1
112,Jup+Sat+Ura,3,False,4245,4253.75,4254.61,99.79,0.9185,4417,4259.55,4260.51,103.7,0.0285,-3.9,1
113,Mer+Jup+Sat+Ura,4,False,5616,5667.07,5668.06,99.1,0.5335,5839,5653.74,5654.74,103.28,0.0188,-4.18,1
114,Ven+Jup+Sat+Ura,4,False,5667,5656.85,5658.05,100.18,0.9022,5840,5662.3,5663.43,103.14,0.0258,-2.96,1
115,Mer+Ven+Jup+Sat+Ura,5,False,7033,7062.28,7063.63,99.59,0.7568,7248,7048.68,7049.91,102.83,0.0202,-3.24,1
120,Mar+Jup+Sat+Ura,4,False,5649,5654.55,5655.19,99.9,0.9611,5782,5664.5,5665.86,102.07,0.1482,-2.17,1
121,Mer+Mar+Jup+Sat+Ura,5,False,7014,7060.08,7060.85,99.35,0.618,7199,7050.98,7052.39,102.1,0.089,-2.75,1
122,Ven+Mar+Jup+Sat+Ura,5,False,7063,7049.88,7050.85,100.19,0.8867,7199,7059.45,7060.98,101.98,0.1159,-1.79,1
123,Mer+Ven+Mar+Jup+Sat+Ura,6,False,8423,8447.58,8448.69,99.71,0.8115,8602,8438.2,8439.8,101.94,0.0796,-2.23,1
128,Nep,1,False,1447,1425.48,1425.33,101.51,0.6035,1301,1425.64,1425.74,91.26,0.0013,10.25,1
129,Mer+Nep,2,False,2818,2854.66,2854.74,98.72,0.5111,2725,2835.55,2835.73,96.1,0.0499,2.61,1
130,Ven+Nep,2,False,2879,2844.27,2844.48,101.22,0.5339,2752,2844.19,2844.39,96.76,0.1102,4.46,1
