Mask,Label,N_Planets,Has_Earth,Conj_k_obs,Conj_k_exp,Conj_k_exp_kepler,Conj_Ratio,Conj_p,Opp_k_obs,Opp_k_exp,Opp_k_exp_kepler,Opp_Ratio,Opp_p,Asym_Amp,Window
4,Ear,1,True,3626,1423.74,1427.64,254.68,0.1107,0,1428.34,1425.96,0.0,0.959,254.68,1
5,Mer+Ear,2,True,4997,2852.69,2856.72,175.17,0.1554,1436,2837.96,2835.64,50.6,0.6783,124.57,1
6,Ven+Ear,2,True,5053,2842.51,2846.78,177.77,0.0948,1453,2846.84,2844.61,51.04,0.7738,126.73,1
7,Mer+Ven+Ear,3,True,6419,4263.62,4267.9,150.55,0.136,2874,4248.72,4246.46,67.64,0.7774,82.91,1
12,Ear+Mar,2,True,5052,2840.34,2843.99,177.87,0.0918,1408,2849.16,2847.17,49.42,0.32,128.45,1
13,Mer+Ear+Mar,3,True,6417,4261.34,4265.2,150.59,0.1344,2839,4250.91,4249.07,66.79,0.5093,83.8,1
14,Ven+Ear+Mar,3,True,6471,4251.26,4255.26,152.21,0.0778,2855,4259.78,4257.94,67.02,0.5755,85.19,1
15,Mer+Ven+Ear+Mar,4,True,7831,5664.49,5668.56,138.25,0.1153,4271,5653.87,5652.05,75.54,0.6482,62.71,1
20,Ear+Jup,2,True,5033,2842.99,2846.74,177.03,0.1118,1448,2846.62,2844.58,50.87,0.6841,126.16,1
21,Mer+Ear+Jup,3,True,6401,4263.98,4267.8,150.12,0.1481,2880,4248.36,4246.36,67.79,0.7755,82.33,1
22,Ven+Ear+Jup,3,True,6456,4253.85,4257.99,151.77,0.0912,2891,4257.16,4255.36,67.91,0.8029,83.86,1
23,Mer+Ven+Ear+Jup,4,True,7819,5667.05,5671.15,137.97,0.1281,4309,5651.19,5649.35,76.25,0.8322,61.72,1
28,Ear+Mar+Jup,3,True,6448,4251.71,4255.15,151.66,0.0971,2839,4259.53,4257.84,66.65,0.4542,85.01,1
29,Mer+Ear+Mar+Jup,4,True,7810,5664.82,5668.4,137.87,0.1334,4266,5653.48,5651.89,75.46,0.6035,62.41,1
30,Ven+Ear+Mar+Jup,4,True,7863,5654.75,5658.59,139.05,0.0805,4276,5662.22,5660.78,75.52,0.6214,63.53,1
31,Mer+Ven+Ear+Mar+Jup,5,True,9220,7060.13,7063.97,130.59,0.114,5689,7048.53,7047.07,80.71,0.6979,49.88,1
36,Ear+Sat,2,True,5011,2845.06,2849.16,176.13,0.1351,1494,2845.1,2842.83,52.51,0.9397,123.62,1
37,Mer+Ear+Sat,3,True,6375,4265.84,4270.11,149.44,0.1744,2927,4246.7,4244.53,68.92,0.9486,80.52,1
38,Ven+Ear+Sat,3,True,6431,4255.92,4260.4,151.11,0.1184,2940,4255.7,4253.62,69.08,0.9582,82.02,1
39,Mer+Ven+Ear+Sat,4,True,7790,5668.9,5673.44,137.42,0.1558,4358,5649.58,5647.52,77.14,0.9582,60.28,1
44,Ear+Mar+Sat,3,True,6425,4253.76,4257.63,151.04,0.1197,2895,4258.01,4256.17,67.99,0.7979,83.05,1
45,Mer+Ear+Mar+Sat,4,True,7783,5666.63,5670.76,137.35,0.1589,4323,5651.78,5650.13,76.49,0.868,60.86,1
46,Ven+Ear+Mar+Sat,4,True,7837,5656.83,5661.05,138.54,0.1037,4335,5660.8,5659.11,76.58,0.8824,61.96,1
47,Mer+Ven+Ear+Mar+Sat,5,True,9190,7061.97,7066.32,130.13,0.1387,5748,7046.93,7045.32,81.57,0.9054,48.57,1
52,Ear+Jup+Sat,3,True,6406,4256.35,4260.34,150.5,0.1398,2933,4255.6,4253.56,68.92,0.9185,81.58,1
