Window,Deg_Window,Days,Conj_k_obs,Conj_k_exp,Conj_Ratio,Conj_Z,Conj_p,Opp_k_obs,Opp_k_exp,Opp_Ratio,Opp_Z,Opp_p
1,2,0.15,23,24.5,93.75,-0.31,0.8609,20,24.6,81.45,-0.92,0.4302
2,4,0.3,51,49.0,104.09,0.31,0.8049,47,49.0,95.87,-0.29,0.8359
3,6,0.45,82,73.5,111.6,1.11,0.291,67,73.4,91.28,-0.78,0.4736
4,8,0.61,102,98.1,104.0,0.46,0.6891,85,98.2,86.58,-1.42,0.166
5,10,0.76,134,122.7,109.25,1.2,0.2596,96,122.5,78.34,-2.59,0.005
6,12,0.91,158,147.0,107.46,1.08,0.3048,126,146.9,85.74,-1.82,0.0704
7,14,1.06,189,171.5,110.19,1.53,0.1322,142,171.6,82.77,-2.34,0.0138
8,16,1.21,206,196.0,105.11,0.78,0.4572,168,195.9,85.75,-1.99,0.0464
9,18,1.36,232,220.4,105.26,0.82,0.4342,192,220.4,87.13,-1.84,0.0634
10,20,1.52,259,244.9,105.74,0.9,0.4,214,244.8,87.43,-1.83,0.0664
