Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
Flare_All,B-Class,1,Opposition,7127,247,316.42,78.06,0.0633936606339366,-1.51,Suppression
Flare_All,B-Class,1,Conjunction,7127,355,317.2,111.92,0.5571442855714429,0.8,Enhancement
Flare_All,B-Class,2,Opposition,7127,524,632.85,82.8,0.1601839816018398,-1.25,Suppression
Flare_All,B-Class,2,Conjunction,7127,723,634.4,113.97,0.43455654434556545,1.01,Enhancement
Flare_All,B-Class,3,Opposition,7127,787,949.27,82.91,0.12818718128187181,-1.27,Suppression
Flare_All,B-Class,3,Conjunction,7127,1092,951.6,114.75,0.36596340365963403,1.12,Enhancement
Flare_All,B-Class,4,Opposition,7127,1051,1265.69,83.04,0.11998800119988001,-1.28,Suppression
Flare_All,B-Class,4,Conjunction,7127,1481,1268.81,116.72,0.24617538246175383,1.28,Enhancement
Flare_All,B-Class,5,Opposition,7127,1323,1582.12,83.62,0.13038696130386962,-1.25,Suppression
Flare_All,B-Class,5,Conjunction,7127,1868,1586.01,117.78,0.18798120187981202,1.35,Enhancement
Flare_All,C-Class,1,Opposition,26654,1070,1185.14,90.28,0.8211178882111789,-0.7,Suppression
Flare_All,C-Class,1,Conjunction,26654,1470,1185.26,124.02,0.015398460153984602,1.73,Enhancement
Flare_All,C-Class,2,Opposition,26654,2077,2370.28,87.63,0.5125487451254874,-0.91,Suppression
Flare_All,C-Class,2,Conjunction,26654,3002,2370.52,126.64,0.00019998000199980003,1.93,Enhancement
Flare_All,C-Class,3,Opposition,26654,3111,3555.42,87.5,0.47295270472952705,-0.92,Suppression
Flare_All,C-Class,3,Conjunction,26654,4406,3555.78,123.91,0.0027997200279972004,1.79,Enhancement
Flare_All,C-Class,4,Opposition,26654,4168,4740.56,87.92,0.5531446855314468,-0.89,Suppression
Flare_All,C-Class,4,Conjunction,26654,5818,4741.05,122.72,0.0057994200579942,1.67,Enhancement
Flare_All,C-Class,5,Opposition,26654,5268,5925.7,88.9,0.7333266673332667,-0.82,Suppression
Flare_All,C-Class,5,Conjunction,26654,7295,5926.31,123.1,0.001999800019998,1.73,Enhancement
Flare_All,M-Class,1,Opposition,4824,222,214.53,103.48,0.8825117488251175,0.23,Enhancement
Flare_All,M-Class,1,Conjunction,4824,249,214.53,116.07,0.33356664333566644,1.12,Enhancement
Flare_All,M-Class,2,Opposition,4824,418,429.06,97.42,0.9671032896710329,-0.21,Suppression
Flare_All,M-Class,2,Conjunction,4824,501,429.05,116.77,0.24937506249375063,1.23,Enhancement
Flare_All,M-Class,3,Opposition,4824,594,643.59,92.3,0.8445155484451555,-0.58,Suppression
Flare_All,M-Class,3,Conjunction,4824,783,643.58,121.66,0.04279572042795721,1.64,Enhancement
Flare_All,M-Class,4,Opposition,4824,790,858.11,92.06,0.8329167083291671,-0.62,Suppression
Flare_All,M-Class,4,Conjunction,4824,1027,858.1,119.68,0.07339266073392661,1.52,Enhancement
Flare_All,M-Class,5,Opposition,4824,988,1072.64,92.11,0.8827117288271172,-0.59,Suppression
Flare_All,M-Class,5,Conjunction,4824,1246,1072.63,116.16,0.23577642235776422,1.23,Enhancement
Flare_All,X-Class,1,Opposition,429,17,19.08,89.1,0.7887211278872113,-0.43,Suppression
Flare_All,X-Class,1,Conjunction,429,21,19.04,110.31,0.7217278272172782,0.4,Enhancement
Flare_All,X-Class,2,Opposition,429,25,38.16,65.51,0.08099190080991901,-1.69,Suppression
Flare_All,X-Class,2,Conjunction,429,42,38.07,110.31,0.6657334266573343,0.49,Enhancement
Flare_All,X-Class,3,Opposition,429,48,57.24,83.86,0.42355764423557646,-0.92,Suppression
Flare_All,X-Class,3,Conjunction,429,63,57.11,110.31,0.6431356864313569,0.56,Enhancement
Flare_All,X-Class,4,Opposition,429,68,76.32,89.1,0.6001399860013998,-0.65,Suppression
Flare_All,X-Class,4,Conjunction,429,81,76.15,106.37,0.777922207779222,0.35,Enhancement
Flare_All,X-Class,5,Opposition,429,83,95.4,87.0,0.5137486251374862,-0.82,Suppression
Flare_All,X-Class,5,Conjunction,429,100,95.19,105.06,0.8141185881411859,0.31,Enhancement
Flare_All,Total,1,Opposition,39034,1556,1735.17,89.67,0.777922207779222,-0.76,Suppression
Flare_All,Total,1,Conjunction,39034,2095,1736.03,120.68,0.0603939606039396,1.5,Enhancement
Flare_All,Total,2,Opposition,39034,3044,3470.34,87.71,0.505949405059494,-0.94,Suppression
Flare_All,Total,2,Conjunction,39034,4268,3472.05,122.92,0.0027997200279972004,1.72,Enhancement
Flare_All,Total,3,Opposition,39034,4540,5205.51,87.22,0.411958804119588,-0.97,Suppression
Flare_All,Total,3,Conjunction,39034,6344,5208.08,121.81,0.0025997400259974,1.65,Enhancement
Flare_All,Total,4,Opposition,39034,6077,6940.68,87.56,0.4767523247675233,-0.95,Suppression
Flare_All,Total,4,Conjunction,39034,8407,6944.1,121.07,0.0081991800819918,1.58,Enhancement
Flare_All,Total,5,Opposition,39034,7662,8675.86,88.31,0.6673332666733327,-0.88,Suppression
Flare_All,Total,5,Conjunction,39034,10509,8680.13,121.07,0.004399560043995601,1.59,Enhancement
