Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
Flare_All,B-Class,1,Opposition,7127,244,310.36,78.62,0.06239376062393761,-1.5,Suppression
Flare_All,B-Class,1,Conjunction,7127,345,311.11,110.89,0.5767423257674232,0.77,Enhancement
Flare_All,B-Class,2,Opposition,7127,503,608.88,82.61,0.11918808119188082,-1.31,Suppression
Flare_All,B-Class,2,Conjunction,7127,684,610.32,112.07,0.49635036496350365,0.91,Enhancement
Flare_All,B-Class,3,Opposition,7127,745,895.93,83.15,0.10038996100389962,-1.31,Suppression
Flare_All,B-Class,3,Conjunction,7127,997,898.0,111.02,0.5427457254274572,0.88,Enhancement
Flare_All,B-Class,4,Opposition,7127,973,1171.89,83.03,0.06679332066793321,-1.38,Suppression
Flare_All,B-Class,4,Conjunction,7127,1313,1174.55,111.79,0.49255074492550743,0.96,Enhancement
Flare_All,B-Class,5,Opposition,7127,1206,1437.14,83.92,0.0821917808219178,-1.35,Suppression
Flare_All,B-Class,5,Conjunction,7127,1640,1440.34,113.86,0.3421657834216578,1.15,Enhancement
Flare_All,C-Class,1,Opposition,26654,1047,1162.42,90.07,0.7757224277572243,-0.72,Suppression
Flare_All,C-Class,1,Conjunction,26654,1429,1162.53,122.92,0.0245975402459754,1.68,Enhancement
Flare_All,C-Class,2,Opposition,26654,1997,2280.38,87.57,0.413958604139586,-0.95,Suppression
Flare_All,C-Class,2,Conjunction,26654,2833,2280.6,124.22,0.0025997400259974,1.85,Enhancement
Flare_All,C-Class,3,Opposition,26654,2926,3355.34,87.2,0.29557044295570445,-1.02,Suppression
Flare_All,C-Class,3,Conjunction,26654,4034,3355.67,120.21,0.0301969803019698,1.61,Enhancement
Flare_All,C-Class,4,Opposition,26654,3845,4388.74,87.61,0.31156884311568844,-0.99,Suppression
Flare_All,C-Class,4,Conjunction,26654,5206,4389.16,118.61,0.073992600739926,1.5,Enhancement
Flare_All,C-Class,5,Opposition,26654,4737,5381.94,88.02,0.31296870312968705,-0.99,Suppression
Flare_All,C-Class,5,Conjunction,26654,6365,5382.45,118.25,0.0735926407359264,1.49,Enhancement
Flare_All,M-Class,1,Opposition,4824,222,210.41,105.51,0.7917208279172083,0.39,Enhancement
Flare_All,M-Class,1,Conjunction,4824,237,210.41,112.64,0.49995000499950004,0.88,Enhancement
Flare_All,M-Class,2,Opposition,4824,402,412.78,97.39,0.9699030096990301,-0.2,Suppression
Flare_All,M-Class,2,Conjunction,4824,469,412.78,113.62,0.402959704029597,1.05,Enhancement
Flare_All,M-Class,3,Opposition,4824,559,607.36,92.04,0.7865213478652134,-0.64,Suppression
Flare_All,M-Class,3,Conjunction,4824,719,607.36,118.38,0.10358964103589641,1.47,Enhancement
Flare_All,M-Class,4,Opposition,4824,718,794.42,90.38,0.6595340465953404,-0.79,Suppression
Flare_All,M-Class,4,Conjunction,4824,917,794.41,115.43,0.20677932206779323,1.31,Enhancement
Flare_All,M-Class,5,Opposition,4824,880,974.2,90.33,0.6513348665133487,-0.81,Suppression
Flare_All,M-Class,5,Conjunction,4824,1077,974.19,110.55,0.5757424257574243,0.88,Enhancement
Flare_All,X-Class,1,Opposition,429,17,18.71,90.84,0.8465153484651535,-0.35,Suppression
Flare_All,X-Class,1,Conjunction,429,21,18.67,112.46,0.656934306569343,0.5,Enhancement
Flare_All,X-Class,2,Opposition,429,25,36.71,68.1,0.10618938106189381,-1.62,Suppression
Flare_All,X-Class,2,Conjunction,429,40,36.63,109.19,0.6963303669633036,0.46,Enhancement
Flare_All,X-Class,3,Opposition,429,41,54.02,75.9,0.17278272172782722,-1.4,Suppression
Flare_All,X-Class,3,Conjunction,429,60,53.9,111.31,0.5721427857214278,0.65,Enhancement
Flare_All,X-Class,4,Opposition,429,58,70.66,82.09,0.27997200279972,-1.17,Suppression
Flare_All,X-Class,4,Conjunction,429,77,70.51,109.21,0.6337366263373663,0.57,Enhancement
Flare_All,X-Class,5,Opposition,429,72,86.65,83.1,0.293970602939706,-1.17,Suppression
Flare_All,X-Class,5,Conjunction,429,93,86.47,107.56,0.6679332066793321,0.53,Enhancement
Flare_All,Total,1,Opposition,39034,1530,1701.91,89.9,0.7645235476452354,-0.78,Suppression
Flare_All,Total,1,Conjunction,39034,2032,1702.73,119.34,0.08559144085591441,1.49,Enhancement
Flare_All,Total,2,Opposition,39034,2927,3338.75,87.67,0.41135886411358863,-0.95,Suppression
Flare_All,Total,2,Conjunction,39034,4026,3340.33,120.53,0.018198180181981802,1.63,Enhancement
Flare_All,Total,3,Opposition,39034,4271,4912.65,86.94,0.21777822217778223,-1.06,Suppression
Flare_All,Total,3,Conjunction,39034,5810,4914.94,118.21,0.0653934606539346,1.46,Enhancement
Flare_All,Total,4,Opposition,39034,5594,6425.7,87.06,0.19238076192380762,-1.07,Suppression
Flare_All,Total,4,Conjunction,39034,7513,6428.64,116.87,0.12358764123587641,1.37,Enhancement
Flare_All,Total,5,Opposition,39034,6895,7879.92,87.5,0.20277972202779723,-1.06,Suppression
Flare_All,Total,5,Conjunction,39034,9175,7883.45,116.38,0.14378562143785623,1.35,Enhancement
