Body,Window,Type,k_obs,k_exp,Ratio_Freq,Avg_Area,Ratio_Amp,p_val,Effect,Stage,p_adj_bh,sig_fdr
SSB_lon,1,Opposition,229,217.19,105.44,274.8900146484375,90.54000091552734,0.4389119621090021,Enhancement,Flare_All,0.8673529935402386,False
SSB_lon,1,Conjunction,207,218.85,94.59,183.0399932861328,60.290000915527344,0.4444726323714578,Suppression,Flare_All,0.8051471135011387,False
SSB_lon,2,Opposition,458,434.38,105.44,255.0399932861328,84.01000213623047,0.2654882108182156,Enhancement,Flare_All,0.6459386063832597,False
SSB_lon,2,Conjunction,422,437.69,96.41,171.4499969482422,56.470001220703125,0.467402776681693,Suppression,Flare_All,0.7542181169181865,False
SSB_lon,3,Opposition,665,651.58,102.06,262.5400085449219,86.4800033569336,0.6063949392959975,Enhancement,Flare_All,0.8844246179945155,False
SSB_lon,3,Conjunction,646,656.54,98.39,245.02999877929688,80.70999908447266,0.6966510195440887,Suppression,Flare_All,0.8681944279494241,False
SSB_lon,4,Opposition,890,868.77,102.44,260.5799865722656,85.83000183105469,0.4752424249208542,Enhancement,Flare_All,0.7650562087511948,False
SSB_lon,4,Conjunction,857,875.39,97.9,273.2799987792969,90.01000213623047,0.5431408844239102,Suppression,Flare_All,0.7642870312425016,False
SSB_lon,5,Opposition,1121,1085.96,103.23,259.69000244140625,85.54000091552734,0.2880720424499091,Enhancement,Flare_All,0.5535391332797635,False
SSB_lon,5,Conjunction,1060,1094.23,96.87,291.2900085449219,95.9499969482422,0.3007632417838211,Suppression,Flare_All,0.5173922727602738,False
199_lon,1,Opposition,239,215.75,110.78,291.29998779296875,95.9499969482422,0.1240420362900451,Enhancement,Flare_All,0.5524168913672418,False
199_lon,1,Conjunction,231,217.6,106.16,319.739990234375,105.31999969482422,0.3791878761491178,Enhancement,Flare_All,0.7478427557385379,False
199_lon,2,Opposition,458,431.5,106.14,274.5,90.41000366210938,0.2098353662061226,Enhancement,Flare_All,0.5762277161395261,False
199_lon,2,Conjunction,475,435.21,109.14,260.4800109863281,85.80000305175781,0.0608393947250471,Enhancement,Flare_All,0.3418386135270632,False
199_lon,3,Opposition,671,647.26,103.67,309.510009765625,101.9499969482422,0.3563850335833406,Enhancement,Flare_All,0.6835648442832021,False
199_lon,3,Conjunction,701,652.81,107.38,256.6300048828125,84.52999877929688,0.0619410193333775,Enhancement,Flare_All,0.2544775924852398,False
199_lon,4,Opposition,883,863.01,102.32,307.32000732421875,101.22000122070312,0.5003467495849321,Enhancement,Flare_All,0.7744694159901797,False
199_lon,4,Conjunction,936,870.41,107.53,257.3999938964844,84.77999877929688,0.0270955476207626,Enhancement,Flare_All,0.15042924404847569,False
199_lon,5,Opposition,1099,1078.76,101.88,305.9599914550781,100.77999877929688,0.5402068121521815,Enhancement,Flare_All,0.7755542652405399,False
199_lon,5,Conjunction,1180,1088.02,108.45,240.02999877929688,79.05999755859375,0.0054243752005197,Enhancement,Flare_All,0.05574259252113007,False
299_lon,1,Opposition,219,216.82,101.01,344.1099853515625,113.33999633789062,0.9000021263417507,Enhancement,Flare_All,0.9970021385384065,False
299_lon,1,Conjunction,267,217.11,122.98,234.8300018310547,77.3499984741211,0.0011291885776035,Enhancement,Flare_All,0.1763792558216667,False
299_lon,2,Opposition,407,433.63,93.86,280.2200012207031,92.3000030517578,0.2051646222752949,Suppression,Flare_All,0.5682041489255507,False
299_lon,2,Conjunction,522,434.22,120.22,262.5899963378906,86.48999786376953,4.299746968499583e-05,Enhancement,Flare_All,0.011193674607993915,True
299_lon,3,Opposition,616,650.45,94.7,313.6000061035156,103.3000030517578,0.1777252837165574,Suppression,Flare_All,0.48726399840771667,False
299_lon,3,Conjunction,782,651.33,120.06,279.7699890136719,92.1500015258789,5.910532619919701e-07,Enhancement,Flare_All,0.00015387086587190956,True
299_lon,4,Opposition,860,867.27,99.16,327.0899963378906,107.73999786376952,0.8202006972374022,Suppression,Flare_All,0.9481335818011081,False
299_lon,4,Conjunction,1032,868.44,118.83,296.6600036621094,97.70999908447266,5.25909104991494e-08,Enhancement,Flare_All,2.053675054991784e-05,True
299_lon,5,Opposition,1101,1084.09,101.56,344.82000732421875,113.58000183105467,0.6106361863893761,Enhancement,Flare_All,0.8241932465111422,False
