Stage,Body,Window,Type,Raw_Count,Total_Area,Avg_Area
All,SSB,1,Opposition,1416,218124.0,154.0399932861328
All,SSB,1,Conjunction,1492,237745.0,159.35000610351562
All,SSB,2,Opposition,2871,443155.0,154.36000061035156
All,SSB,2,Conjunction,2891,454631.0,157.25999450683594
All,SSB,3,Opposition,4273,668472.0,156.44000244140625
All,SSB,3,Conjunction,4303,680372.0,158.1199951171875
All,SSB,4,Opposition,5660,900214.0,159.0500030517578
All,SSB,4,Conjunction,5743,916928.0,159.66000366210938
All,SSB,5,Opposition,7194,1141694.0,158.6999969482422
All,SSB,5,Conjunction,7171,1152098.0,160.66000366210938
All,199,1,Opposition,1436,229348.0,159.7100067138672
All,199,1,Conjunction,1385,216230.0,156.1199951171875
All,199,2,Opposition,2942,466905.0,158.6999969482422
All,199,2,Conjunction,2799,467862.0,167.14999389648438
All,199,3,Opposition,4354,668414.0,153.52000427246094
All,199,3,Conjunction,4223,685160.9375,162.25
All,199,4,Opposition,5730,883711.0625,154.22999572753906
All,199,4,Conjunction,5676,942266.0,166.00999450683594
All,199,5,Opposition,7176,1092088.0,152.19000244140625
All,199,5,Conjunction,7118,1153657.0,162.0800018310547
All,299,1,Opposition,1453,223483.0,153.80999755859375
All,299,1,Conjunction,1442,218960.0,151.83999633789062
All,299,2,Opposition,2856,436775.0,152.92999267578125
All,299,2,Conjunction,2871,450554.0,156.92999267578125
All,299,3,Opposition,4265,653039.0,153.1199951171875
All,299,3,Conjunction,4324,674324.9375,155.9499969482422
All,299,4,Opposition,5687,882944.0,155.25999450683594
All,299,4,Conjunction,5745,907552.9375,157.97000122070312
All,299,5,Opposition,7108,1092308.0,153.6699981689453
All,299,5,Conjunction,7170,1144524.0,159.6300048828125
All,399,1,Opposition,0,0.0,0.0
All,399,1,Conjunction,3626,534545.0,147.4199981689453
All,399,2,Opposition,0,0.0,0.0
All,399,2,Conjunction,7288,1103550.0,151.4199981689453
All,399,3,Opposition,0,0.0,0.0
All,399,3,Conjunction,11000,1650161.875,150.00999450683594
All,399,4,Opposition,0,0.0,0.0
All,399,4,Conjunction,14686,2184744.0,148.75999450683594
All,399,5,Opposition,0,0.0,0.0
All,399,5,Conjunction,18441,2722378.0,147.6300048828125
All,499,1,Opposition,1408,228606.0,162.36000061035156
All,499,1,Conjunction,1439,241889.0,168.10000610351562
All,499,2,Opposition,2888,458904.0,158.89999389648438
All,499,2,Conjunction,2894,474683.0,164.02000427246094
All,499,3,Opposition,4278,694784.0,162.41000366210938
All,499,3,Conjunction,4330,707867.0625,163.47999572753906
All,499,4,Opposition,5725,912600.9375,159.41000366210938
All,499,4,Conjunction,5771,945214.0,163.7899932861328
All,499,5,Opposition,7149,1149795.0,160.8300018310547
All,499,5,Conjunction,7150,1169330.0,163.5399932861328
All,599,1,Opposition,1448,218204.0,150.69000244140625
All,599,1,Conjunction,1435,215799.0,150.3800048828125
All,599,2,Opposition,2934,456478.0,155.5800018310547
All,599,2,Conjunction,2853,450315.0,157.83999633789062
All,599,3,Opposition,4382,688278.0,157.07000732421875
All,599,3,Conjunction,4359,696448.0,159.77000427246094
All,599,4,Opposition,5799,904678.0,156.00999450683594
All,599,4,Conjunction,5769,922482.0,159.89999389648438
