Stage,Group,Window,Type,N_Records,k_obs,k_exp,Ratio,p_val,Z_score,Effect
Dissipation,Small <100,1,Opposition,27541,1068,1223.14,87.32,0.5587441255874412,-0.73,Suppression
Dissipation,Small <100,1,Conjunction,27541,1575,1225.04,128.57,0.22977702229777022,1.65,Enhancement
Dissipation,Small <100,2,Opposition,27541,2206,2446.27,90.18,0.932906709329067,-0.57,Suppression
Dissipation,Small <100,2,Conjunction,27541,3080,2450.08,125.71,0.33056694330566944,1.51,Enhancement
Dissipation,Small <100,3,Opposition,27541,3290,3669.41,89.66,0.9659034096590341,-0.62,Suppression
Dissipation,Small <100,3,Conjunction,27541,4658,3675.12,126.74,0.29457054294570545,1.6,Enhancement
Dissipation,Small <100,4,Opposition,27541,4379,4892.54,89.5,0.9375062493750624,-0.61,Suppression
Dissipation,Small <100,4,Conjunction,27541,6200,4900.15,126.53,0.30756924307569244,1.57,Enhancement
Dissipation,Small <100,5,Opposition,27541,5432,6115.68,88.82,0.9491050894910509,-0.67,Suppression
Dissipation,Small <100,5,Conjunction,27541,7740,6125.19,126.36,0.32356764323567644,1.55,Enhancement
Dissipation,Medium 100-500,1,Opposition,318,10,14.1,70.9,0.5171482851714828,-0.6,Suppression
Dissipation,Medium 100-500,1,Conjunction,318,9,14.1,63.83,0.3337666233376662,-0.75,Suppression
Dissipation,Medium 100-500,2,Opposition,318,18,28.21,63.81,0.15678432156784322,-0.83,Suppression
Dissipation,Medium 100-500,2,Conjunction,318,21,28.2,74.47,0.393960603939606,-0.59,Suppression
Dissipation,Medium 100-500,3,Opposition,318,27,42.31,63.81,0.07179282071792821,-0.89,Suppression
Dissipation,Medium 100-500,3,Conjunction,318,35,42.3,82.74,0.6167383261673832,-0.43,Suppression
Dissipation,Medium 100-500,4,Opposition,318,36,56.42,63.81,0.0491950804919508,-0.92,Suppression
Dissipation,Medium 100-500,4,Conjunction,318,41,56.4,72.69,0.1663833616638336,-0.71,Suppression
